utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
"What is the best way to cook hotdogs (that tastes decent), at home when you do not have access to a grill?","hotdogs ( that tastes decent ), (1.00)",none,none,grill (1.00),none,none
How do I cook a boneless top round roast?,boneless top round roast (1.00),none,none,none,none,none
How do I cook a beef round eye steak?,beef round eye steak (1.00),none,none,none,none,none
Ive been considering buying wagyu beef steak to cook myself and I’m wondering how a novice cook such as myself should cook it? Grill or pan sear with oven finish? As well as what sort of spice rub marinade or other flavors?,wagyu beef steak to (0.93),novice cook (0.99),it? grill or pan sear with oven finish? as well as what (0.98),none,none,none
Why do some recipes call for eggs at room temperature?,eggs at room temperature (0.88),none,none,recipes (0.92),none,none
Why do we need to cook the food that we eat?,food that (0.84),none,none,none,none,none
How can you cook frozen tilapia?,frozen tilapia? (1.00),none,none,none,none,none
How do you cook a 4lb chicken? How long does it take?,4lb chicken? (1.00),long (0.95),it (1.00),none,none,none
How can I master using a knife for cooking without taking a course?,knife for cooking (1.00),none,none,taking (1.00),course (1.00),none
"What does a ""scant cup"" mean in cooking terms?",""" scant cup "" mean in cooking terms (1.00)",none,none,none,none,none
Should you take the string out of meat before cooking it in the oven?,string out of meat (1.00),it in the oven (0.93),none,none,none,none
Why do some recipes call for sifted flour?,sifted flour? (0.95),none,none,recipes (0.89),none,none
Are potatoes used in Chinese cooking?,chinese cooking (0.96),none,none,potatoes (0.82),none,none
What is the lowest temperature you can cook lamb?,lowest (0.49),lamb (1.00),none,none,none,none
What is the best way to cook a whole pre-cooked lobster?,whole pre - cooked lobster (1.00),none,none,none,none,none
What fancy foods can be cooked cheaply at home?,fancy (0.42),foods (0.93),cooked cheaply (0.82),none,none,none
How many efforts will be wasted in becoming a good cook?,good cook (1.00),none,none,efforts (0.78),none,none
How do I cook pasta without a pot?,pasta (1.00),none,none,a (1.00),pot (1.00),none
How do I cut the chicken into pieces to cook?,chicken into pieces (0.98),none,none,none,none,none
What is the difference between a strata and bread pudding?,strata and bread pudding (1.00),none,none,none,none,none
Why is potato gratin watery?,potato gratin watery (1.00),none,none,none,none,none
Do you watch cooking channels on YouTube to learn to cook new dishes?,cooking channels (0.98),new dishes (1.00),none,none,none,none
"Why do cooks have/want so many sharpies? What are some other habits that cooks do outside of work, without thinking about it?",cooks (0.71),none,none,/ (0.98),many (0.96),sharpies (0.96)
Is slow cooking always the best way to cook brisket?,cooking (0.53),brisket (1.00),none,slow (0.87),none,none
How do I cook snapper in the oven?,snapper in the oven (1.00),none,none,none,none,none
What type of meat is the most tough when cooking?,meat (0.87),the (0.47),most (0.63),tough (0.36),none,none
How do you cook marinated chicken?,marinated chicken? (1.00),none,none,none,none,none
Are you a good cook? What are you good at?,none,none,none,none,none,none
Can I take off the gas deflector on my stove for cooking with a wok?,gas deflector on my stove for cooking with a wok (1.00),none,none,none,none,none
"When cooking frozen meat, I was told you have to cook it at a lower temperature. Why?",frozen meat (1.00),it (0.96),none,none,none,none
"If cooks don't eat their own cooking, what then can we say about cooking shows?",cooks (0.91),cooking (0.59),cooking (0.96),shows (0.51),none,none
"What is the difference between strata, bread pudding, and panade?","strata, bread pudding, and panade (1.00)",none,none,none,none,none
Would you marry an unattractive woman who can cook or an attractive woman who can’t cook?,unattractive woman who (1.00),cook (1.00),attractive woman who can ’ t cook (0.98),none,none,none
Is it okay if I use an aircon while I’m cooking?,aircon (1.00),none,none,none,none,none
"If you had to give either garlic or onion up in cooking, which one would it be?",garlic or onion up in cooking (1.00),one (0.41),none,none,none,none
How can I make hard boiled egg whites?,hard boiled egg whites? (1.00),none,none,none,none,none
How do I cut garlic scapes for cooking?,garlic scapes for cooking (1.00),none,none,none,none,none
Do you like to cook at home?,none,none,none,none,none,none
What can I cook that doesn't leave a strong/lingering smell?,/ lingering (0.69),none,none,strong (0.89),smell (0.99),none
When can you say that you know cooking or you are a good cook at least?,cooking (0.35),none,none,none,none,none
My mom never taught me how to cook. How can I make up for that with my own family now?,up (0.36),none,none,family (0.90),none,none
What can you cook?,none,none,none,none,none,none
"When cooking breakfast, what do you cook first?",breakfast (1.00),first? (0.95),none,none,none,none
How long do you cook stuffed cabbage?,stuffed cabbage? (1.00),none,none,none,none,none
"As a chef, what are some basic things home cooks do wrong?",basic things home cooks do wrong (1.00),none,none,none,none,none
Are there any foods that are cooked directly with electricity?,foods (1.00),none,none,cooked directly with (0.69),electricity (0.87),none
I was given a free pound of 70/30 ground beef from a butcher. What's the best recipe for it that doesn't take many ingredients?,free pound of 70 / 30 ground beef from a butcher (1.00),' (0.98),the best (1.00),ingredients (1.00),none,none
How long does it take to cook pasta in the microwave?,pasta in the microwave? (1.00),none,none,none,none,none
How long does it take to cook an egg? How can I cook it faster?,egg (1.00),none,none,none,none,none
"What should my boyfriend cook? Me (Turkish) bf (Belgian) wants to cook a Turkish meal for his parents to impress them, I can't do it myself due to restrictions. It has to be not too hard and something that can be cooked at home. Any suggestions?",( turkish ) bf ( belgian ) (0.95),turkish meal (1.00),parents (0.98),restrictions (1.00),cooked (0.69),suggestions (0.49)
How long does it take to cook a 1.5 lb meatloaf?,1. 5 lb meatloaf? (1.00),none,none,none,none,none
What is a good starting position for someone interested in cooking?,starting (0.85),none,none,cooking (1.00),none,none
Which dish do you default to when you have no ideas on what to cook?,none,none,none,dish (0.40),ideas (0.74),what (0.83)
How often do professional chefs cut themselves while cooking?,professional chefs (0.86),cooking (0.63),none,none,none,none
What unusual things do you slow cook?,things (0.36),none,none,unusual (0.72),none,none
What is the best way to cook a pig head?,pig head (1.00),none,none,none,none,none
Why do chefs always hold the handle of the pan with a towel when cooking?,chefs (0.98),handle of the pan with a towel when cooking (1.00),none,none,none,none
Why is it more common for women to cook in the home but men to cook as a profession?,home (0.63),none,none,men (0.51),none,none
Does oil or butter help rise the dough?,dough (1.00),none,none,oil or butter (1.00),none,none
I have to cook in hot weather. Should I use the burner or the stove to make it less hot?,in hot weather (0.97),burner (0.89),the (0.86),the (0.96),or (0.47),stove (0.79)
Why is garlic used in every savoury dish?,savoury dish (1.00),none,none,garlic (1.00),none,none
How can I avoid stinking up the house when cooking broccoli?,stinking up the house when cooking broccoli? (1.00),none,none,none,none,none
I want to have my own kitchen to bake in because my mom doesn’t like when I use the kitchen. She says I take up too much room. Is there a way for me to make a kitchen in my small house?,kitchen (0.88),bake in because (0.87),mom (0.69),room (1.00),none,none
Can I substitute brown sugar for white sugar in bread?,brown sugar for white sugar in bread (1.00),none,none,none,none,none
Is it allowed to cook in a hotel room?,hotel room (1.00),none,none,none,none,none
How do different flours affect a sourdough starter?,flours (0.99),sourdough starter (1.00),none,different (0.44),none,none
Do you consider cooking an essential life skill? Do you believe it is necessary for a woman to know how to cook rather than a man also knowing how to cook in this current century? Can this make or break your relationship (in your opinion)?,essential life skill (1.00),cook (0.88),current century (1.00),make (0.80),none,none
How long do you cook canned hominy?,canned hominy? (1.00),none,none,none,none,none
What are some substitutes for eggs in pancakes?,none,none,none,substitutes for eggs in pancakes (0.92),none,none
How does salt affect gluten development?,gluten development (0.99),none,none,salt (1.00),none,none
Why do you want to learn cooking?,cooking (1.00),none,none,none,none,none
Which fish is best to cook in a curry?,fish (0.62),curry? (1.00),none,none,none,none
Why does cooking spoiled food not make it safe?,spoiled food not (1.00),it safe (0.66),none,none,none,none
What are some things that the most popular recipe/cook books do differently?,most popular recipe / cook books (0.99),none,none,differently (0.44),none,none
What is a cake batter?,cake batter (1.00),none,none,none,none,none
What’s the best way to become a decent/better home cook? I want to get to a point where I can just look in my fridge and see possibilities. Does that come with time? How can I get there faster?,decent / better home cook (1.00),fridge (0.59),none,possibilities (0.75),time (1.00),none
How do you cook rice for 100 people?,rice for 100 people (1.00),none,none,none,none,none
How do you cook pasta in advance without ruining the final result?,pasta (1.00),advance (1.00),the final result (1.00),ruining (1.00),none,none
How can I write a cooking book for children?,cooking book (1.00),children (1.00),none,none,none,none
How do I cook pancakes without spreading that horrible smell of burnt oil?,pancakes (1.00),horrible smell of (0.96),none,spreading that (0.98),burnt oil (0.78),none
I don't know how to cook and I'm 21. How important is it that I learn how to cook?,none,none,none,none,none,none
What is the best/most efficient way to learn to cook without recipes?,best / most efficient (0.93),none,none,without (0.59),recipes (0.99),none
"What are heavy-bottom stock pots called (equipment, pot, bulk cooking, cooking)?","heavy - bottom stock pots called ( equipment, pot, bulk cooking, cooking ) (1.00)",none,none,none,none,none
How long does it take to cook pork on a stove?,pork on a stove (1.00),none,none,none,none,none
What is the best way to cook osso bucco?,osso bucco? (1.00),none,none,none,none,none
How do you explore new stuff to cook with?,none,none,none,none,none,none
What is the most economical food to cook and sell in a restaurant?,economical (0.58),sell in (0.59),restaurant (0.98),none,none,none
How do I cook the perfect hot dog?,the perfect hot dog (1.00),none,none,none,none,none
How do you cook an eggplant so it's soft?,eggplant so it's soft (0.99),none,none,none,none,none
What happens if you use water instead of cooking oil in a pan to cook home-made fries?,instead of cooking oil in a pan (1.00),home - made fries (1.00),none,water (1.00),none,none
How often do you cook a slow stew?,slow stew (1.00),none,none,none,none,none
Why is unbleached flour more expensive than bleached flour?,unbleached flour more expensive than bleached flour (1.00),none,none,none,none,none
How do I cook cheeseburgers in the oven?,cheeseburgers in the oven (1.00),none,none,none,none,none
How can I keep my house from being filled with smoke while cooking?,house (0.93),none,none,smoke while (0.98),cooking (0.60),none
How do I cook rib tips in an oven?,rib tips in an oven (1.00),none,none,none,none,none
How does your mother cook?,none,none,none,none,none,none
How do I cook tender country ham slices?,tender country ham slices? (0.99),none,none,none,none,none
What are some cool variants on making gnocchi?,gnocchi? (1.00),none,none,cool variants (0.94),none,none
"If I cooked three stews, one on the hob, one in the oven, and one in a slow cooker, how could a chef tell which way I cooked them?","three stews, one on the hob, one in the oven (1.00)",one in (0.97),slow cooker (0.99),none,none,none
What is an introduction about traditional cooking vs. modern cooking?,traditional cooking vs. modern cooking (1.00),none,none,none,none,none
How long should dry beans be soaked before cooking?,dry beans (1.00),soaked before (0.58),none,cooking (0.81),none,none
What happened when you tried to cook for the first time?,none,none,none,none,none,none
How do you cook chicken drumsticks?,chicken drumsticks? (0.95),none,none,none,none,none
What is mealy pie dough?,mealy pie dough (1.00),none,none,none,none,none
What is the purpose of dusting bread with flour before baking?,dustin (0.64),bread with flour (1.00),none,baking (1.00),none,none
Can I still cook an expired frozen chicken?,expired frozen chicken (1.00),none,none,none,none,none
"What is the difference between white roux, brown roux, and blond roux?","white roux, brown roux, and blond roux (1.00)",none,none,none,none,none
How do you cook instant pudding?,instant pudding (1.00),none,none,none,none,none
"Chefs, have you ever had a customer ask you to cook something illegal?",chefs (0.56),illegal (0.42),none,customer (0.98),none,none
What has cooking taught you?,none,none,none,cooking (1.00),none,none
When cooking quiche how do you know its done?,quiche (1.00),its done? (0.79),none,none,none,none
What are the benefits of learning to cook?,none,none,none,none,none,none
How do I cook neck bones on a stove?,neck bones (1.00),stove (1.00),none,none,none,none
"I can’t cook and it bothers me. What do I do? I used to be able to bake and cook, now I can't. What's happened?",none,none,none,ba (0.87),happened (0.34),none
Why is my pot roast so dry and I can cut it like a steak?,pot roast (1.00),dry (0.99),it (0.99),none,none,none
What are the most valuable cooking skills that you have ever learned?,most (0.78),cooking (0.87),none,valuable (0.46),skills (0.91),none
Should a man compliment his wife's cooking even when she is a bad cook?,wife's cooking even (0.88),she (0.49),bad (0.52),none,none,none
How can I thicken a sauce without cooking it?,sauce (1.00),none,none,cooking it (1.00),none,none
How do I cook oily fish whilst minimising odour?,oily fish whilst minimising odour? (0.99),none,none,none,none,none
How do I cook a thin cut shoulder steak?,thin cut shoulder steak (1.00),none,none,none,none,none
Which country has the most difficult cooking? And why?,none,none,none,difficult (0.91),cooking? (0.76),none
What is the first dish you learned to cook?,first (0.48),dish (0.97),none,none,none,none
What is the best way to cook onion so that to get rid of onion flavor?,onion so that to get rid of onion flavor (0.97),none,none,none,none,none
Do you think chefs enjoy their own cook?,chefs (1.00),none,none,cook (0.95),none,none
How is saltpeter used in cooking?,cooking (0.90),none,none,saltpeter (0.97),none,none
How do I cook a bone in a ham shank?,bone in a ham shank? (0.95),none,none,none,none,none
What can you cook in a multicooker?,multicooker (1.00),none,none,none,none,none
How can you fry chicken without oil?,chicken (1.00),none,none,oil (1.00),none,none
"I’m 15, and I don’t know how to make any meals for myself. I am too dependent on my parents to cook meals. What can I do?",meals (1.00),meals (1.00),none,parents (0.99),none,none
"When cooking on a grill and using a meat thermometer, it seems like the hole I puncture in the meat to check the internal temperature let’s all the internal juices out, is this what really happens or am I imagining things?",grill (1.00),"meat thermometer, it (1.00)",like the hole i puncture in the meat (1.00),internal (0.75),what (0.46),imagining (0.35)
How do you cook goat meat in your country?,goat meat (1.00),country (0.99),none,none,none,none
Are brown sugar and white sugar interchangeable in baked goods?,brown sugar and white sugar interchangeable in baked goods (1.00),none,none,none,none,none
Does pan size matter in baking?,pan size (0.71),baking (0.57),none,none,none,none
Is grading of meat and poultry really required?,meat and poultry (1.00),none,none,none,none,none
What is the best way to increase the juiciness of meat and improve its flavor?,juiciness of meat (1.00),its flavor (0.78),none,none,none,none
Why is it important to measure the ingredients properly when baking cakes?,ingredients properly when baking cakes (1.00),none,none,none,none,none
What ingredients could you replace butter with when cooking?,butter with when cooking (1.00),none,none,ingredients (0.79),none,none
What is your favorite complete meal to cook in a crock pot?,favorite complete meal (0.87),crock pot (1.00),none,none,none,none
How many years of training does it take for a Japanese Chef to learn how to remove the tetrodotoxin from the pufferfish before cooking and serving it?,japanese chef (1.00),tetrodotoxin from the pufferfish (0.99),it (0.92),years (0.55),training (1.00),none
What's the best way to learn how to put the right quantity of spices when cooking?,how to put the right quantity of spices when cooking (1.00),none,none,none,none,none
How do I cook with a crock pot?,none,none,none,crock pot? (0.91),none,none
"I live with my boyfriend& his parents. His ma is leaving for a week and a half. Growing up w my dad, I never learned or taught myself to cook. They expect me to step up when she's gone. What are simple meals I can cook for them? They're Puerto Rican.",his parents (0.58),ma (0.44),week and a half (0.88),none,none,none
How do I cook a 3 lb roast beef?,3 lb roast beef? (1.00),none,none,none,none,none
My girlfriend moved in with me but she doesn't pay the rent or the bills. She also doesn't cook or clean. How can I tell her that she needs to change her attitude without sounding controlling or greedy?,attitude (0.53),none,none,rent or (0.78),the bills (0.54),or clean (0.88)
How do you keep homemade flatbreads soft and pliable when cooking them in advance?,homemade flatbreads soft and pliable when cooking them (1.00),none,none,advance (0.43),none,none
Why are people able to cook when they’re hungry?,when (0.41),none,none,hungry (0.38),none,none
Why should everyone learn how to cook?,none,none,none,none,none,none
How can I make ham taste more interesting? The hams I cooked are usually very plain.,ham taste more interesting (1.00),hams (0.96),none,plain (0.62),none,none
How did microwave ovens change home cooking?,microwave oven (0.86),cooking (0.98),none,##s (0.92),none,none
What is wrong with a woman cooking for her man?,woman (0.86),man (0.74),none,none,none,none
How do people come up with new recipes for food?,food (1.00),none,none,none,none,none
How long should a rub stay on meat before cooking?,rub stay on (1.00),meat before (0.84),none,cooking (0.76),none,none
How long does it take to cook a Tater Tot hot dish?,tater tot hot dish (1.00),none,none,none,none,none
Who taught you how to cook?,none,none,none,none,none,none
How long does it take to cook stuffing in an oven?,stuffing in an oven (1.00),none,none,none,none,none
What are the benefits of cooking from scratch?,scratch (0.64),none,none,none,none,none
How long does oatmeal take to cook?,oatmeal take (0.97),none,none,none,none,none
"I'm 14 and I want to start learning how to cook, but my mom thinks it's not a good idea. How can I gain her trust?",how to cook (0.98),good (0.50),none,trust (0.43),none,none
What do you call a woman who cooks?,woman (0.99),none,none,none,none,none
How do I cook chicken legs on a BBQ?,chicken legs on a bbq? (1.00),none,none,none,none,none
Have you ever used a wrong ingredient while cooking that turned into a disaster?,wrong ingredient (0.98),that turned into a disaster (0.98),none,none,none,none
Is it safe to cook with colored toothpicks?,none,none,none,colored toothpicks (1.00),none,none
Why is cooking beef Wellington difficult? What mistakes are easily made and how can I cook one successfully?,beef wellington difficult (1.00),mistakes (0.62),made (0.94),easily (0.68),none,none
Does the way you prepare garlic impact its flavor?,garlic impact its flavor (1.00),none,none,none,none,none
How do I cook pheasant on the stove?,pheasant on the stove (1.00),none,none,none,none,none
How long does gnocchi take to cook?,gnocchi (1.00),none,none,none,none,none
What is the role of fat in bread making?,bread making (1.00),none,none,fat in (0.84),none,none
What type of mushrooms will produce the most flavorful cream of mushroom soup?,mushrooms (0.49),the most flavorful cream of mushroom soup (1.00),none,none,none,none
How much water do I need to cook jasmine rice?,jasmine rice? (1.00),none,none,water (1.00),none,none
What is a panade in cooking?,panade in cooking (1.00),none,none,none,none,none
What is the importance of cooking materials to the cook?,cook (0.60),none,none,cooking materials (0.74),none,none
What is the minimum cooking time for a turkey?,minimum (0.48),turkey (1.00),none,cooking (0.93),none,none
Which country has the most complicated but rewarding cuisine to cook?,most (0.77),none,none,complicated but rewarding cuisine (0.73),none,none
What made you learn to cook?,none,none,none,none,none,none
How do I cook pork loin cubed steak?,pork loin cubed steak? (0.95),none,none,none,none,none
What is a good fish for cooking crumbed/b battered?,crumbed / b battered? (0.99),none,none,none,none,none
Why is ribeye the most marbled steak?,ribeye (1.00),most marbled steak (0.86),none,none,none,none
Is it worth it to buy more expensive eggs?,more expensive eggs (0.94),none,none,none,none,none
How do I cook on a cast iron griddle?,cast iron griddle? (1.00),none,none,none,none,none
Is Tfal cookware healthy to cook in?,tfal cookware (0.99),in (0.83),none,none,none,none
What drives you nuts about cooking competition shows?,cooking competition shows (0.88),none,none,none,none,none
I’m 25 and need a career. I love to cook but can’t afford culinary school on top of my car payment. What to do?,but can ’ t afford culinary school on (0.94),car payment (0.85),none,none,none,none
Why does my rice come out dry when I cook it in the rice cooker with the Correct rice/water ratio according to the manual?,rice (0.86),dry (0.45),it in the rice cooker with the correct rice / water ratio (0.99),manual (0.99),none,none
How can I cook scalded beef tripe?,scalded beef tripe? (0.96),none,none,none,none,none
What is a simple meal I can cook that will impress my girlfriend?,simple meal (1.00),will impress (0.88),girlfriend (0.76),none,none,none
How do I cook meat in 5 minutes?,meat in 5 minutes (1.00),none,none,none,none,none
How long can you keep cooking oil?,cooking oil (1.00),none,none,none,none,none
"What is the best steak to make at home without a grill? Let me know your best recipe & how to cook it, plus what sides you use.",the best steak (0.99),best (0.99),"it, (0.69)",a (0.96),grill (1.00),what (0.81)
Why is my pot roast so dry when I cook it?,pot roast so dry (0.85),it (0.81),none,none,none,none
What are the advantages of cooking food?,food (1.00),none,none,none,none,none
What was difficult about learning cooking?,cooking (0.28),none,none,none,none,none
Does cooking kill brucellosis?,brucello (0.64),none,none,cooking (0.98),##sis (0.60),none
Why is it impossible to make Chinese “take out” food at home taste like the restaurants?,chinese “ take out ” food (1.00),taste like the restaurants (1.00),none,none,none,none
"If you learned to cook from your mom as a child and always just did it as a normal way to eat, are you disturbed by how people these days seem to make cooking a competition like they saw on TV, alone in their own homes?",from (0.59),mom (0.83),child (0.47),eat (0.80),none,none
Why is it so hard to learn to cook?,none,none,none,none,none,none
How do I keep pasta fresh after cooking?,pasta fresh after cooking? (0.98),none,none,none,none,none
Is cooking a skill that everyone can learn if they just try?,skill (1.00),everyone (0.51),they (0.76),none,none,none
"What is velveting meat, and what are the benefits?",##ing meat (0.56),none,none,velvet (0.62),none,none
What are awesome cooking hacks for fixing burnt food?,burnt food (0.82),none,none,hack (0.72),none,none
What do you do when your girlfriend stops cooking for you?,girlfriend (0.53),none,none,none,none,none
"I've been struggling for days to learn how to make rice pilaf, but I just can't get the hang of it. What is a good recipe or method to learn to make pilaf from scratch?",how to make rice pilaf (1.00),good (0.52),pilaf (1.00),scratch (0.95),none,none
What cooking skills did you learn from a movie?,movie (0.95),none,none,cooking skills (0.92),none,none
If I can cook something at 100 degrees for 25 minutes then can I cook it at 1000 degrees for 2.5 minutes?,none,none,none,100 degrees for 25 minutes (1.00),1000 degrees for 2. 5 minutes (0.84),none
How do I cook cabbage in a pot?,cabbage in a pot? (0.96),none,none,none,none,none
How do I cook a pork blade roast?,pork blade roast (1.00),none,none,none,none,none
How do I cook a rib eye medium rare?,rib eye medium rare? (1.00),none,none,none,none,none
How does one begin to learn cooking? Where does someone start?,cooking (0.88),none,none,none,none,none
Should a knife’s handle be heavy or light?,knife ’ s handle (1.00),heavy or light (0.99),none,none,none,none
What are the introductory mistakes everyone makes when cooking pasta?,introductory (0.77),cooking (0.87),pasta (0.98),mistakes (0.98),none,none
How do you choose and cook your pasta so that it sticks well to the sauce?,pasta (1.00),it sticks well to the sauce (0.72),none,none,none,none
How do I cook perogies in the oven?,perogies in the oven (1.00),none,none,none,none,none
How come when I cook things go well but when I cook for other people it goes terrible?,things go well (1.00),other people (0.99),none,terrible (0.77),none,none
Why are aprons important when cooking?,cooking (0.53),none,none,aprons (0.88),none,none
What is the best way to cook Bockwurst?,bockwurst? (1.00),none,none,none,none,none
What colour should basa be when cooked?,cooked (0.57),none,none,colour (0.74),basa (0.55),none
"What does one mean when they say they ""can't cook""?","they "" can't cook "" (1.00)",none,none,one (0.42),none,none
What is the cooking time and temperature for roast beef?,roast beef (1.00),none,none,cooking time and temperature (0.85),none,none
Why are my waffles not cooking in the middle?,waffles (1.00),middle (0.85),none,none,none,none
How do I cook food in the forest?,food in the forest (0.87),none,none,none,none,none
Is marjoram used in Italian cooking?,##joram (0.84),italian cooking (0.99),none,mar (1.00),none,none
"I’ve got a pizza, how do I cook it without tin foil?",pizza (1.00),it (0.88),none,tin foil (1.00),none,none
What are the advantages of using unbleached flour in baked goods?,unbleached flour in baked goods (1.00),none,none,none,none,none
How did you get good at cooking?,none,none,none,cooking (0.99),none,none
How could cooking be creative?,none,none,none,cooking (0.92),none,none
Are you proud of your cooking?,none,none,none,cooking (0.95),none,none
Is it possible to cook a steak on a pan as well as you can on a grill?,steak on a pan as well as you can on a grill (1.00),none,none,none,none,none
How long do you cook dried beans?,dried beans? (1.00),none,none,none,none,none
How long does it take to cook frozen meatballs in a crockpot?,frozen meatballs in a crockpot (1.00),none,none,none,none,none
How do I cook spaetzle swabian egg noodles?,spaetzle swabian egg noodles? (1.00),none,none,none,none,none
Can you use any flour for a sourdough starter?,sourdough starter (1.00),none,none,flour (1.00),none,none
Does cooking corned beef longer make it more tender?,corned beef longer (0.88),it (0.58),tender (0.48),none,none,none
Why do some recipes recommend chilling cookie dough for several hours in the refrigerator?,chilling cookie dough for several hours in the refrigerator (1.00),none,none,recipes (0.83),none,none
"What is the ""dry hand, wet hand"" method in cooking?",""" dry hand, wet hand "" method (0.91)",none,none,cooking (0.85),none,none
How do clarified butter and ghee affect baking?,clarified butter and ghee affect baking (1.00),none,none,none,none,none
Is it safe to cook button mushrooms if they are a week passed the sell by date?,button mushrooms if they are a week passed the sell by date (1.00),none,none,none,none,none
How long does it take to cook a beef pot roast?,beef pot roast (1.00),none,none,none,none,none
