utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
When do you use instant yeast instead of other yeast products?,instant yeast instead of other yeast products (1.00),none,none,none,none,none
What are some American Chinese food that are unheard of in China?,american chinese food that are unheard of in china (1.00),none,none,none,none,none
"I'd like to buy some goat cheese, but I want it to be from happy goats. Where can I buy humane goat cheese? (e.g: not from farm factories)",goat cheese (1.00),from happy goats (0.99),humane goat cheese? ( e. g : not from farm factories ) (0.93),none,none,none
How do you know if a watermelon is ripe before opening it?,watermelon is ripe (1.00),it (0.99),none,opening (0.60),none,none
Why doesn't McDonald’s sell hamburger in India?,mcdonald ’ s sell hamburger (1.00),india (1.00),none,none,none,none
Can you eat the pasta that was left out overnight?,pasta that was left out overnight (1.00),none,none,none,none,none
Why are little amounts of food making me feel full?,little (0.86),none,none,food (1.00),none,none
How do you feel about legalizing horse meat for consumption?,legalizing horse meat for consumption (1.00),none,none,none,none,none
What’s the weirdest meal you were ever served at a friend’s house (as either a child or an adult)?,weirdest meal (1.00),were ever served (0.97),friend ’ s house ( as either (0.84),none,none,none
What do you eat whenever the weather is cold?,weather (0.93),cold (0.32),none,none,none,none
Do people in Italy usually skip breakfast?,italy (0.68),breakfast (0.51),none,none,none,none
I just had a meal and I'm about to go on a car ride. Does eating food make motion sickness worse?,meal (0.85),car ride (1.00),motion sickness worse (0.83),eating food (0.57),none,none
"If you do not get food for 1 day, what would you do?",food (0.68),1 day (0.84),none,none,none,none
Is obsession with race healthy or unhealthy in the USA?,none,none,none,race healthy or unhealthy in the usa (0.94),none,none
What are the easy ways to digest pizza?,easy (0.97),pizza (1.00),none,none,none,none
What do you put on waffles?,waffles (1.00),none,none,none,none,none
How many protein bars is it safe to eat in one day?,day (0.75),none,none,protein bars (1.00),none,none
What is the best time to eat lunch and dinner?,lunch and dinner (1.00),none,none,none,none,none
"Is it unhealthy if I only eat chicken breast, rice and vegetables?",unhealthy (0.70),"chicken breast, rice and vegetables (1.00)",none,none,none,none
How long does milk stay fresh?,milk (0.93),fresh (0.53),none,none,none,none
What is the most natural way to eat?,most (0.67),natural (0.65),eat (0.51),none,none,none
"What would happen if I went to an Italian restaurant, ordered a pizza, and when it arrived, opened a can of pineapple slices and put them all over the pizza?",italian restaurant (1.00),pizza (1.00),it arrived (0.82),them (0.96),all (0.38),none
"Are vegans against all suffering, or only animal suffering in the context of meat factories (and not in the contexts of being driven from their homes to make room for vegetable farms)?",vega (0.91),or (0.64),meat factories ( (0.94),"all suffering, (0.96)",only animal suffering (0.93),none
"Why do lovers of good wine, when they taste it, almost seem to be making love with it?",good wine (0.93),when they taste it (0.92),none,love (0.35),none,none
What do most people with an under-eating disorder consume?,none,none,none,under - eating disorder (1.00),none,none
Can we take Eno after a meal?,eno (1.00),meal (0.77),none,none,none,none
What are some meal plan tips for college students?,meal plan (1.00),college students (1.00),none,none,none,none
My cat broke her veganism by stealing ham. I am so devastated. I knew I shouldn't have allowed my friends to bring their own food. What do I do?,cat (0.77),veganism (0.99),stealing ham (0.72),friends (0.27),none,none
Is it wrong for my dad to go get food for himself and his wife but not get any food for his kids at home when he knows we are all hungry and have no food in the house?,food (1.00),and his wife (0.77),kids (0.55),food (0.98),no (0.85),food in (0.99)
My friend's puppy doesn't like her food because it is vegetables and she refuses to give her meat as she's a vegan. How do I convince my friend to let the puppy eat some meat?,friend (0.48),puppy (0.95),food (0.34),vegetables (0.98),none,none
Why are most Taco Bell’s combined with KFC?,taco bell ’ s combined with kfc (1.00),none,none,none,none,none
I left my opened Buffalo Wild Wings wild sauce out of the refrigerator for 2 days. It should be okay to use right?,opened buffalo wild wings wild sauce out of the refrigerator (1.00),2 days (0.98),? (1.00),right (0.63),none,none
"What would you do if you saw a werewolf rummaging around your kitchen, eating your food?",werewolf rummaging around (1.00),kitchen (1.00),food (0.43),none,none,none
How do you stop people from stealing lunch from your office fridge?,lunch from (1.00),office fridge (1.00),none,none,none,none
Is it illegal to display an old food hygiene rating? The place I work displays a 5 from 2014 despite the current rating from 2021 being a 1.,old food hygiene rating (1.00),place (1.00),5 from 2014 despite the current rating from 2021 (0.98),1 (0.72),none,none
"What foods should a person with fatty liver eat, and which ones should they avoid at all costs?",foods (0.86),person (0.61),none,fatty liver eat (1.00),ones (1.00),costs (0.62)
Is chicken the only bird meat that is dangerous when undercooked?,bird (0.74),meat (0.38),when underco (0.50),chicken (0.96),dangerous (0.76),##oked (0.70)
"If a food bank gives away severely dented cans of evaporated milk, could this be a possible risk factor for contracting botulism?",food bank (1.00),severely dented cans of evaporated milk (1.00),risk factor (0.82),contracting (0.54),none,none
"Am I right to feel patronised when a friend says they're proud of me every time I eat, even though eating has never been an issue for me?",patron (0.77),when (0.50),friend (0.45),##ised (0.79),eating (1.00),none
Why do pizzas in Italy have only two or three main toppings compared to the six or seven on the typical American pizza?,pizzas (0.99),italy (0.38),none,only (0.89),two or three main toppings compared to (0.98),the (0.66)
What do you get a chocolate lover for their birthday?,chocolate lover (1.00),their birthday (0.86),none,none,none,none
What is the tastiest sandwich in the US in your opinion?,tastiest sandwich in the us (1.00),none,none,none,none,none
Is it true that Americans have no food culture?,americans (0.99),none,none,food culture (1.00),none,none
What are the types of pufferfish you can't eat?,pufferfish you can't eat (1.00),none,none,none,none,none
Where is the bile produced and stored? Which component of the food does it help to digest?,none,none,none,bile produced and stored (0.92),component (0.63),food (0.28)
What is the most ethical meat to eat?,ethical (0.64),meat (0.96),none,none,none,none
"Why is it important that wild animals never view humans as a source of food, shelter, or affection?",wild animals (0.99),", (0.49)",or (0.48),humans (0.65),food (0.94),shelter (0.99)
How do I use a microwave omelet maker?,microwave omelet maker (1.00),none,none,none,none,none
"Is it okay to eat say an apple, pear, banana, some cherries, and strawberries each day?","apple, pear, banana, some cherries, and strawberries each (0.99)",none,none,none,none,none
How many blueberries are too much to eat in one day?,##berries (0.96),much (0.53),day (0.85),blue (0.87),none,none
Why does butter turn brown on heating?,butter (1.00),brown on (0.95),none,heating (0.49),none,none
How many slices of pizza are in a Pizza Hut large pizza?,slices (0.73),pizza (1.00),pizza hut large pizza? (1.00),none,none,none
Did anyone buy chocolates today to celebrate National Chocolate Day?,chocolates (1.00),national chocolate day (1.00),none,none,none,none
Can I sue an UberEats deliveryman for stealing my fries?,ubereats deliveryman (1.00),fries (1.00),none,none,none,none
What do people with eating disorders usually think when someone invites them to lunch or dinner?,lunch or dinner (0.88),none,none,eating disorders (1.00),none,none
Do cinnamon and vanilla go together?,cinnamon and vanilla (0.79),none,none,none,none,none
What are some of the best types of stews that are best for their nutrients?,the best types of stews that (1.00),best for (0.72),none,nutrients (0.95),none,none
"What is the vegetable ""karela"" called in English?","vegetable "" karela "" called in english (0.97)",none,none,none,none,none
Why do I feel better after eating steak?,steak (1.00),none,none,none,none,none
How do you know when dehydrated tomatoes are done?,dehydrated tomatoes are done (1.00),none,none,none,none,none
How do you know if pet food is healthy for your pets?,pet food (1.00),for (0.52),pets (0.63),none,none,none
What food or drink do you enjoy that many other people dislike?,many other people dislike (0.69),none,none,food or (0.67),drink (0.41),none
What food contains the most carbohydrates?,food (0.61),none,none,most (0.38),carbohydrates? (1.00),none
Why does my 14-month-old dog have a reaction to adult food despite being weaned off of puppy food for 2 weeks? Does that mean she will need to be on puppy food forever?,14 - month - old dog (1.00),reaction (0.53),food (0.92),adult (1.00),despite (0.74),2 (0.59)
"Should I be worried if I ate bad rice? I’m not sure how old it was, I ate a good amount of it probably like 10 tablespoons full until I realized it just wasn’t right.",bad rice (1.00),old it was (0.94),good amount (0.93),right (0.75),none,none
"Which one is correct, “did you take lunch” or “had your lunch”?",lunch ” (1.00),” (0.81),none,lunch (0.97),none,none
What will happen to a 15 year old kid if he/she eats 1-3 eggs every day for a year?,15 year old kid if he / she eats 1 - 3 eggs every day for (0.98),year (0.74),none,none,none,none
I want to use stevia instead of sugar but don’t like the taste- what brand or type of stevia do you use?,stevia instead of sugar (1.00),- what brand or type of stevia (1.00),none,the (0.68),taste (0.54),none
What goes with deep fried chicken?,deep fried chicken? (0.99),none,none,none,none,none
Can you use vanilla powder to make vanilla sugar?,vanilla powder (0.99),vanilla sugar (1.00),none,none,none,none
How do I make sauce out of tomatoes?,sauce out of tomatoes (1.00),none,none,none,none,none
Why do people make a chomping sound when they eat?,chomping sound when they eat (0.95),none,none,none,none,none
Will it be okay to drink a glass of lemon after having meals?,glass of lemon after having meals (0.99),none,none,none,none,none
Why does intentionally gorging on greasy fast food and full-fat milk tend to exacerbate chronic pancreatitis symptoms?,intentionally gorg (0.92),greasy fast food and full - fat milk tend (0.99),exacerba (0.97),none,none,none
Can I temporarily stop eating carbohydrates (just for 1 month of calorie deficit)?,carbohydrates ( just for 1 month of calorie deficit )? (1.00),none,none,none,none,none
Have you ever been poisoned by eating the wrong type of mushroom? What type of long-term damage did you suffer?,wrong type of mushroom (0.97),- term (0.79),none,long (1.00),damage (0.88),none
How does religion influence food choices?,food (0.97),none,none,religion (1.00),choices (0.84),none
I just had a fresh mango for the first time in forever and it reminded me a lot of peaches. Are mangos and peaches related biologically?,fresh mango for the first time in forever (1.00),it (0.99),peaches (1.00),biologically (0.59),none,none
Have you ever torn a few bananas from a large bunch at a supermarket because you only want to buy a few?,bananas from a large bunch (1.00),supermarket (0.61),few (0.49),none,none,none
Is fried okra healthy?,fried okra healthy (0.98),none,none,none,none,none
Why is our cat so hungry all the time? How many times a day should a cat eat?,cat (1.00),hungry all (0.64),many times (0.66),none,none,none
Is it okay to force someone to become vegan?,vegan (1.00),none,none,none,none,none
How long should I boil pasta?,pasta (1.00),none,none,none,none,none
Does Kobe beef have to be from Japan?,kobe beef (0.95),japan (0.61),none,none,none,none
Why is steaming faster than baking?,none,none,none,steaming faster (0.78),baking (0.94),none
Is Honey Nut Cheerios low carb?,honey nut cheerios low carb? (1.00),none,none,none,none,none
How do I keep fresh pasta from sticking?,fresh pasta from sticking? (1.00),none,none,none,none,none
For years my wife has been making dinner for me but I came home last night and out of the blue she said I had to make my own dinner. I asked her why and she just told me she's tired of cooking for me. What should I say?,dinner (1.00),out (0.33),blue (0.36),the (0.47),cooking (0.62),none
"What is better in dry cat food, rice or corn?","dry cat food, rice or corn? (1.00)",none,none,none,none,none
What are some healthy foods that you should eat frequently?,none,none,none,healthy foods (0.97),frequently (0.43),none
What will happen if you put a powder in the freezer?,powder in the freezer? (1.00),none,none,none,none,none
Would you eat a peanut butter and spam sandwich?,peanut butter and spam sandwich (1.00),none,none,none,none,none
Are McDonald fries halal in the USA?,mcdonald fries halal (1.00),usa (0.96),none,none,none,none
Can you eat or is it better not to eat before taking MDMA?,before (0.52),mdma (0.77),none,taking (0.72),none,none
Why do South Koreans eat dogs? I have a dog and I can’t imagine eating her. Ewwww! No! Why do they do this?,south koreans (1.00),dogs (1.00),dog (1.00),none,none,none
Why do people say they don’t like white chocolate?,none,none,none,white chocolate (0.88),none,none
Is it fair if Muslim students are told to eat vegetarian options when the school does not offer halal meals?,muslim students (0.91),vegetarian options when (0.85),school (0.53),hal (1.00),none,none
How do you get your child to eat without a TV?,child (0.99),none,none,a (0.98),tv (1.00),none
Is it healthy to blend fruits with yogurt?,fruits with yogurt (0.99),none,none,none,none,none
My husband has hired a chef for him and never eats food cooked by me. Should I accept this? What should I do?,none,none,none,food cooked (0.64),none,none
"I’ve had 3 bologna sandwiches within the last 2 weeks, one in which I just ate yesterday. I just read that it’s safe to eat heated up but I did NOT heat them. 30 weeks preg I’m worried I harmed baby. What will happen? Someone plz help I’m stressed…",3 bologna sandwiches (0.97),2 weeks (1.00),one in (0.71),pl (0.33),none,none
"If one slice of bread molds, do you throw away the entire loaf or just that slice?",slice (0.99),bread molds (1.00),the entire loaf or just that slice (0.89),none,none,none
How could green beans be stored to have them available all year round?,green beans (1.00),them available all year round (0.92),none,none,none,none
What is the best food I can eat to lose weight if I don't work out?,best food (0.84),out (0.54),none,weight (0.63),none,none
Why am I more irritable when I don’t eat?,ir (0.62),##ritable when (0.41),none,eat (0.71),none,none
How many shots of espresso are in a white chocolate mocha?,shots (0.39),espresso are in (1.00),white chocolate mocha? (1.00),none,none,none
How much do you expect to pay for a burger?,burger (1.00),none,none,none,none,none
Is Chinese food very expensive in the United States?,chinese food (0.86),united states (0.61),none,none,none,none
Is there a right time as to when or when not to eat a restaurant's free bread?,right (0.61),or when not (0.96),restaurant's free bread (1.00),when (0.80),none,none
"Today I felt very acidic in my stomach. I vomited about 5 times today, especially after I eat even the smallest foods. I even started to vomit my own stomach acid and blood. What should I do?",stomach (0.40),5 times (0.71),even the smallest foods (0.92),none,none,none
What can I eat instead of rice on keto diet?,rice on keto diet (0.93),none,none,none,none,none
Are Cheetos halal?,cheetos halal (1.00),none,none,none,none,none
How did competitive eater Joey Chestnut eat 76 hotdogs in 10 minutes?,competitive eater joey chestnut eat 76 hotdogs in 10 minutes (1.00),none,none,none,none,none
What would you do if you saw your dog eating expensive dog food in your neighbor's yard and your neighbor grinning from ear to ear watching?,dog eating expensive dog food in your neighbor's yard (1.00),your neighbor grinning from ear to ear watching (0.97),none,none,none,none
"If a doctor’s instructions for a colonoscopy prep states that one should have no nuts for 48 hours before the test, does that also include non solid forms of nuts, such as almond milk and peanut butter, and why or why not?",doctor (0.95),colonoscopy prep states that one (1.00),nuts for 48 hours before (0.98),no (0.97),non (0.99),none
How much food would I have to eat to create a black hole in my stomach?,black hole in (0.88),stomach (0.98),none,food (1.00),none,none
Why do people like eating breakfast in bed? It seems more like a nuisance than a luxury.,breakfast (1.00),bed (0.70),nuisance (0.76),luxury (0.96),none,none
"If I occasionally urinate in an empty milk container after I've finished the milk in it, is it then okay to put the container with urine in a trash container that gets picked up by the city?",empty milk container (1.00),finished the milk in it (0.97),container (1.00),urine (1.00),none,none
What is the best way to eat maca powder?,maca powder? (1.00),none,none,none,none,none
What should you eat to nourish your body?,body (0.49),none,none,nouri (0.66),none,none
How warm does the environment temperature have to be to activate dry yeast?,warm (0.28),environment temperature (0.81),dry yeast (1.00),none,none,none
Are Australian lobsters considered superior in the quality of its meat as compared to Maine lobsters?,australian lobsters (0.95),its (0.50),compared (0.43),quality (0.88),meat as (0.97),maine (0.72)
Should kibble (pet food) be mixed with water? How long does wet kibble last?,kibble ( pet food ) (1.00),mixed with water (0.96),kibble (1.00),wet (0.85),last (0.63),none
What kind of meat is in meat tortellini?,meat (0.66),meat tortellini? (0.95),none,none,none,none
Why do ice and salt make ice cream?,ice and salt make ice cream (1.00),none,none,none,none,none
Why doesn’t ice cream smell like sherbet?,ice cream (1.00),sherbet (1.00),none,none,none,none
What is your opinion on Beyond Meat launching meat-free chicken tenders in the United States?,beyond meat launching meat - free chicken tenders in the united states (0.97),none,none,none,none,none
What vegetable do you hate that everyone loves?,everyone (0.37),none,none,vegetable (0.56),none,none
What happens if we eat papaya during periods?,papaya during periods (1.00),none,none,none,none,none
"If I attend a black family’s cookout, what type of food should I expect to be served?",black family ’ s cookout (1.00),food (1.00),served (0.48),none,none,none
Why do most cheap foods that taste good also end up being really unhealthy?,cheap foods (0.98),taste (0.48),also (0.94),good (0.46),unhealthy (0.51),none
Why does everything I eat taste like vomit? I have been trying to eat food all day and nothing tastes good.,food (1.00),day (0.40),none,vomit (0.89),nothing (0.87),good (0.96)
"Your father says he's going to grab some milk, it's been 15 years and he actually returns home with the milk. What do you say/do?",milk (1.00),it (1.00),been 15 years (0.73),milk (0.98),/ (0.52),none
What is the best technique to ensure pan-fried sandwiches (e.g. a reuben) does not fall apart when you flip it?,pan - fried sandwiches ( e. g. a reuben ) does not fall apart when (1.00),it (0.85),none,none,none,none
"I had a Chinese takeaway last night, but today made from scratch a beef mince and vegetable puff pastry pie. Is it because of Brexit? Or, just a crazy thought, but might some things not be because of Brexit, good or bad, and might've been anyway?",chinese takeaway (1.00),made from scratch a beef mince and vegetable puff pastry pie (1.00),crazy thought (0.96),brexit (0.97),brexit (0.99),none
"I’m 14 and I’m a very picky eater, I don’t eat any vegetables or any meat that is partly done. I’ve also had traumatic memories with veggies when I was little. How can I bring myself to try new foods?",very picky eater (0.98),vegetables or any (0.54),foods (0.95),meat that (0.56),partly (0.87),done (0.95)
Are McDonald's apple pies really made out of potatoes and high-fructose corn syrup?,mcdonald's apple pies really made out of potatoes and high - fructose corn syrup (1.00),none,none,none,none,none
I’m 19. How do I fake being ill so I can go to the hospital just to eat their free food? I don’t get food at home. My dad never buys me any.,ill (0.65),hospital (0.83),free food (0.98),food (1.00),none,none
"My cat won't move; not even to eat or drink. She is still breathing, and conscious, and cries sometimes. She's old, but has seemed healthy before. What is wrong with her?",cat (0.98),move (0.47),or drink (0.52),", (0.36)",seemed (0.34),none
"I stopped eating and completely lost my appetite and don’t feel hungry anymore, and recently my body parts have been shaking for no reason at all and I feel really weak. Why? I am a teen.",body (0.63),shaking (0.40),none,appetite (0.47),hungry anymore (0.73),parts (0.63)
Does Chicago-style pizza exist in Italy?,chicago - style pizza (1.00),italy (0.69),none,none,none,none
"If humans don't need meat to survive, why did we choose to eat meat for thousands of years?",humans (0.57),meat for thousands (0.62),years (0.33),meat (1.00),none,none
Are people working at fast food restaurants allowed to eat from the food stations present there? Who doesn't fancy free food right?,fast food restaurants allowed (1.00),eat from the food stations present there (1.00),who doesn't fancy free food right (1.00),none,none,none
"You have to invite your neighbors over for dinner. Either the ones to the left of you, right of you or directly across from you. Who do you invite and why?",neighbors (0.86),dinner (0.62),ones (0.56),directly (0.29),none,none
What should vegans avoid?,vega (0.98),none,none,none,none,none
Is cheese still edible if left out of the fridge overnight?,cheese (0.99),edible if left out of the fridge overnight (0.87),none,none,none,none
"Is it true that Italians always take the garlic out when cooking, whereas the French keep it in the food and eat it? What explains this difference?",italians (0.96),garlic out when cooking (1.00),french (0.90),it (0.58),difference (0.52),none
Can I make some cookies?,cookies (1.00),none,none,none,none,none
What are the best fish for making sushi?,sushi? (1.00),none,none,none,none,none
"I can eat natural cow milk, yogurt, sweet, chocolate, and ice cream without any problems, but eating cheese hurts my stomach. What are the problems? This should not happen as cheese contains less lactose.","natural cow milk, yogurt, sweet, chocolate, and ice cream (1.00)",cheese (0.72),problems (0.46),any (1.00),problems (1.00),lac (0.96)
"If relationship tastes like a drink, what does yours taste like?",relationship (0.79),drink (0.99),none,yours (0.90),none,none
"As a waiter or waitress, what's the strangest combination of main and side order that you've ever seen a customer order?",waiter or waitress (0.71),strangest combination of main and side order that (0.99),ever (0.48),none,none,none
Why do some children not like sweets/sugar?,children (1.00),sugar? (0.76),none,sweets / (0.97),none,none
I've never gotten high from edibles. Should I eat a whole 500mg edible?,from edibles (0.91),whole 500mg edible (1.00),none,none,none,none
How does stuff get out of my lungs? For example when a piece of food or water goes down the wrong way?,lungs (0.41),piece (0.93),food or water goes down the (0.75),stuff (0.69),none,none
Why does whole milk give me diarrhea but not others?,milk (0.79),diarrhea but not others (0.90),none,whole (0.86),none,none
"My mom is too busy to feed me. She always pushes me off and leaves me to cook my own food, but I'm only 12. I haven't ate anything today because there's no food here either. What do I do?",food (0.94),anything (0.81),none,food here either (0.89),none,none
Is there a certain stage of banana that we should eat eat for workout?,that (0.61),eat for workout (0.84),none,banana (0.84),none,none
How do you discipline a dog who eats his food bowls?,dog (1.00),eats his food bowls (1.00),none,none,none,none
"When a recipe calls for a teaspoon or a tablespoon of something, is the default a level or heaping one if not specified?",recipe (0.92),teaspoon or a tablespoon of something (1.00),level or heaping one (1.00),default (0.54),specified (0.91),none
What can you cook on an outdoor griddle?,outdoor griddle (1.00),none,none,none,none,none
Is it true that part of the Markle problem was her total lack of British table etiquette and an inability to use a knife and fork in the European manner?,markle problem (1.00),table et (0.97),##tte (0.67),british (1.00),##ique (0.61),none
"If a religion prohibits eating pork, what happens if a child who is brought up with this religion eats pork? What are the ramifications? How strict is this rule?",religion (0.85),pork (0.96),child (0.98),religion (0.41),pork (0.96),ramification (0.85)
How many 15 oz cans make a pound?,pound? (0.98),none,none,15 oz cans (0.98),none,none
Would you put ice cream on top of a hamburger?,ice cream on top of (1.00),hamburger (1.00),none,none,none,none
What kind of sausage patty does McDonald’s use?,sausage patty (1.00),mcdonald ’ s use (0.99),none,none,none,none
Why do eggs sometime give you a nauseous feeling after eating?,sometime (0.99),nauseous feeling after (0.99),none,eggs (0.94),eating (0.97),none
What is the hardest diet in the world?,hardest (0.85),none,none,none,none,none
"Malaysian food: What are the differences among Mee Rebus, Mee Jawa and Mee Rojak Mamak?",malaysian food : (0.78),"mee rebus, mee jawa and mee rojak mamak? (1.00)",none,none,none,none
"Every day, I typically eat 6 oz of salmon, 4-6 veggie meatballs, and 6oz of blueberries. Am I consuming too many calories?","6 oz of salmon, 4 - 6 veggie meatballs, and 6oz of blueberries (1.00)",many calories? (1.00),none,none,none,none
Do you feed your cat milk?,cat milk (1.00),none,none,none,none,none
Is Australian Wagyu as good as Japanese Wagyu?,australian wagyu (0.99),good as japanese wagyu? (0.97),none,none,none,none
Which is the food that is stolen the most?,food (0.86),stolen (0.38),the (0.31),none,none,none
"A simple ""Yes"" or ""No"" question. Can you get diabetes from honey?","simple "" yes "" or "" no "" question (1.00)",diabetes from honey (0.99),none,none,none,none
What alcohol is good with fried chicken?,none,none,none,alcohol (0.32),fried chicken? (1.00),none
How long should a person wait after a meal to take fruits?,person (0.50),meal (1.00),none,fruits (0.96),none,none
"Why does water taste so good, even though it tastes like nothing?",water (0.77),good (0.33),it (0.45),nothing (0.96),none,none
My cat ate a crumb (about a gram) of chocolate that I accidentally left out and ate it. Will she be okay?,cat (0.71),crumb ( about a gram ) of chocolate that (1.00),accidentally left out (1.00),none,none,none
Would you recommend Blue Buffalo wet kitten food? My 4 1/2 month old kitten seems tired by the same 4 choices (Fancy Feast).,blue buffalo wet kitten food? (1.00),4 1 / 2 month old kitten seems tired by the same 4 choices ( fancy feast ). (0.98),none,none,none,none
