utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
Can you make your own pasta that is actually healthy?,pasta (1.00),actually healthy (0.76),none,none,none,none
What is a good substitute for potatoes?,potatoes (1.00),none,none,none,none,none
Are there rice cookers that can cook just small amounts of rice?,rice cooke (1.00),just small amounts of rice (1.00),none,none,none,none
What three deep fried foods are okay to eat once a week?,three (0.38),deep fried foods (1.00),once a week (0.91),eat (0.93),none,none
Should you remove the skin before cooking chicken?,chicken (1.00),none,none,skin (0.80),none,none
What is the healthiest way of making fries?,healthiest (0.98),fries (0.99),none,none,none,none
Why are fried foods so tasty to human beings?,fried foods (0.99),human beings (0.67),none,tasty (0.49),none,none
What can I use to purify used cooking oil aside from ginger?,purify used cooking oil aside from (0.98),none,none,ginger (0.91),none,none
Is it socially acceptable to spoon cream cheese into my mouth?,cream cheese into (0.88),mouth (0.83),none,socially (0.55),none,none
What are good side dishes with steak and lobster?,good side dishes with (1.00),and lobster? (0.87),none,steak (0.99),none,none
Does cooking vegetables change their nutritional value?,vegetables (0.97),none,none,nutritional value (0.97),none,none
How do I fix too much garlic powder?,too much garlic powder (1.00),none,none,none,none,none
Is it best to prep vegetables and spice mixes before starting a recipe or as you go along?,vegetables and spice mixes (1.00),recipe or (0.82),none,as (0.57),none,none
What is the best cooking oil to use that's healthy for the heart and keeps cholesterol healthy?,the best cooking oil (1.00),' s healthy for the heart and keeps cholesterol healthy (0.96),none,none,none,none
Is cooking with olive oil toxic?,none,none,none,olive oil toxic (0.96),none,none
How important is it to change your frying oil regularly when you deep fry foods at home?,frying oil regularly when you deep fry foods (1.00),none,none,none,none,none
How do I test whether a food item has MSG (monosodium glutamate)/Ajinomoto in it?,food item (1.00),none,none,msg ( monosodium glutamate ) / ajinomoto in it (1.00),none,none
"What meals are at least semi-healthy, easy to make, and delicious?",meals (0.89),"semi - healthy, easy to make, and delicious (0.79)",none,none,none,none
Is baking veggies healthier than sauteeing them?,baking veggies healthier than sauteeing them (1.00),none,none,none,none,none
"If you are one of the many people that fear pressure cookers, what are you afraid will happen?",none,none,none,pressure cookers (0.79),none,none
"If you follow the recipe to a T, if your cookies always turn out hard, why?",t (1.00),your cookies always turn out hard (0.79),none,none,none,none
What is the best dish you can cook? Can you share the preparation methods?,the best dish (0.98),preparation (0.80),none,methods (0.70),none,none
Why did our ancestors switch from eating raw meat to eating cooked meat?,raw meat (1.00),cooked meat (1.00),none,eating (0.53),none,none
"What are some good, cheap and easy vegetarian recipes?","good, cheap and easy vegetarian recipes (1.00)",none,none,none,none,none
"What source do you use to reach for updated healthy meal recipes, simple good ones without weird ingredients?","updated healthy meal recipes, simple good ones (1.00)",none,none,weird ingredients (1.00),none,none
What is an interesting and healthy spinach dish that some people might not have prepared?,interesting and healthy spinach dish (1.00),people (0.40),not (0.87),prepared (0.94),none,none
Can you work wonders with very few ingredients but make a tasty meal?,few (0.99),tasty meal (1.00),none,very (1.00),ingredients (0.85),none
What are some of the ways you can make your regular every day food healthier?,regular every day food healthier (1.00),none,none,none,none,none
Are french fries cooked in olive oil actually good for you?,french fries cooked in olive oil actually good (0.95),none,none,none,none,none
How do I make Creamy Leche Flan quickly and easily?,creamy leche flan quickly and easily? (1.00),none,none,none,none,none
Which food recipes use both grilling plus another cooking method?,food (0.73),none,none,both grilling plus another cooking method (1.00),none,none
"What is the difference between polenta, grits and cornmeal?","polenta, grits and cornmeal (1.00)",none,none,none,none,none
What’s the recipe to the easiest and best dish that you make?,the easiest and best dish that you make (1.00),none,none,none,none,none
How firm should pasta be cooked?,firm (0.66),pasta (0.93),cooked (0.68),none,none,none
Is Tilapia fish healthy to eat?,tilapia fish (1.00),none,none,eat (1.00),none,none
Do people in Sweden use olive oil extra virgin for cooking? I like to make cook sophisticated recipes and I was wondering what do they use.,olive oil extra virgin for cooking (1.00),sophisticated recipes (0.94),none,sweden (0.43),none,none
"How many things do you add to your salad that makes it the most delicious, most healthy thing you can eat?","salad that makes it the most delicious, most healthy thing (0.98)",eat (0.38),none,none,none,none
How long is cooked oatmeal good for?,cooked oatmeal good for (0.93),none,none,none,none,none
What is an easily made and healthy dish for dinner?,easily made and healthy dish (1.00),dinner (1.00),none,none,none,none
What are the easy and healthy ways to make desserts?,easy and healthy (1.00),desserts (1.00),none,none,none,none
What's the healthiest oil for stir frying? Olive oil?,healthiest oil for stir frying? olive oil? (0.98),none,none,none,none,none
What's the healthiest way to eat cabbage?,healthiest (1.00),cabbage? (0.94),none,none,none,none
Is hamburger grease a terrible choice to cook food in?,hamburger grease (0.94),food in (1.00),none,none,none,none
What is the nutritional difference between Celtic Sea salt and Mediterranean Sea salt?,celtic sea salt and mediterranean sea salt (1.00),none,none,nutritional difference (0.75),none,none
"What are some healthy, inexpensive, filling snacks that involve little to no prep work or cooking?","healthy, inexpensive, filling snacks that (0.94)",to no prep work or (0.95),none,little (1.00),cooking (0.65),none
Why do my brussels sprouts taste like horseradish/wasabi?,brussels sprouts taste like horseradish / wasabi? (0.99),none,none,none,none,none
How do you prepare a perfect tasty lentil ragout with an enveloping taste?,perfect tasty lentil ragout with an enveloping taste (1.00),none,none,none,none,none
How do you modify recipes around what you have in stock?,none,none,none,what (0.86),in (0.51),stock (0.80)
How long does it take to cook beans after soaking?,beans after soaking? (1.00),none,none,none,none,none
How do I make the best keto recipes?,the best keto recipes (1.00),none,none,none,none,none
How do I cook beans properly?,beans properly (1.00),none,none,none,none,none
Which dishes must be slow cooked for the best results?,dishes (0.97),slow cooked for the best results (0.99),none,none,none,none
When cooking is it a big deal if you cut meat and vegetables on the same cutting boards?,big (0.85),meat and vegetables on the same cutting boards (1.00),none,none,none,none
What should every cook know?,cook (0.43),none,none,none,none,none
How do I limit cooking and still eat healthy?,cooking (0.51),? (0.83),none,healthy (0.94),none,none
What is the right order to cook in order to retain nutrients?,none,none,none,nutrients (0.91),none,none
How come every cook says to use more garlic than the recipe calls for? Aren't recipes written by cooks? Who is responsible for all these garlic-deficient recipes?,more garlic than the recipe calls (0.95),recipes (0.80),garlic - deficient (0.98),cooks (0.94),none,none
"Which is healthier, sunflower seed oil or olive oil?","healthier, sunflower seed oil or olive oil? (1.00)",none,none,none,none,none
What is your favorite dip recipe?,favorite dip (1.00),none,none,none,none,none
What are some good broccoli recipes?,good broccoli recipes (1.00),none,none,none,none,none
What is a healthy recipe with just a few ingredients that can be made quickly and will last a family for several days?,healthy (1.00),family (0.97),for several days (0.37),just (1.00),few ingredients that (0.82),be made quickly (0.65)
"What is the cheapest, healthiest, and most nutritionally complete recipe you know?","cheapest, healthiest, and most nutritionally complete recipe (1.00)",none,none,none,none,none
What are some recommendations on healthy chicken dinner recipes that have seasoning?,healthy chicken dinner recipes that have seasoning? (0.94),none,none,none,none,none
Do you need to wash the inside of cabbages?,inside (0.99),cabbages (0.99),none,none,none,none
How do you know when oats are cooked?,oats (1.00),cooked (0.95),none,none,none,none
Do I have to cook soaked beans right away?,soaked beans (1.00),none,none,none,none,none
Is fresh garlic better than garlic powder to use in cooking?,fresh garlic better than garlic powder (0.89),none,none,cooking (0.45),none,none
"How do I eat healthy? My mum gets takeaway or lets me make my own dinner. The only issue is I'm not very good at cooking and have low motivation. What are some ways I can make processed, pre made food healthier?",healthy (1.00),##away or (0.83),dinner (1.00),take (0.98),issue (0.45),cooking (1.00)
Sometimes I eat spaghetti with chopsticks. Am I alone? Has the way we eat meals evolved?,spaghetti with chopsticks (1.00),meals (0.98),none,evolved (0.62),none,none
How long before food starts to go bad while cooking (e.g. in a slow cooker or pot of broth)?,food (0.99),go bad while cooking ( e. g. in a (1.00),slow cooker or pot of broth ) (1.00),none,none,none
Is kamut flour healthier than regular flour?,kamut flour health (0.92),than regular flour (0.92),none,none,none,none
"How do I cook beef meat recipes, healthy dinner ideas, and good recipes?","beef meat recipes, healthy dinner ideas, and good recipes (1.00)",none,none,none,none,none
How do I make fruit salad?,fruit salad (1.00),none,none,none,none,none
How can you afford to make healthy meals 3 times a day and not break the bank?,healthy meals 3 times a day (1.00),bank (0.95),none,none,none,none
What are some good recipes that include tuna fish?,good (0.74),none,none,tuna fish? (0.99),none,none
Should you fry onions with oil or butter?,onions with oil or butter (1.00),none,none,none,none,none
Do air fryers fry or bake your food?,air fryers fry or bake (1.00),food (1.00),none,none,none,none
What are some great garlic-free pasta recipes?,great garlic - free pasta recipes (1.00),none,none,none,none,none
What are recipes for kachori?,kachori (1.00),none,none,none,none,none
How long does it take to cook dry pinto beans?,dry pinto beans? (1.00),none,none,none,none,none
Where can I find low-carb keto recipes?,low - carb keto recipes (1.00),none,none,none,none,none
"Is it inadvisable to cook olive oil, and why?",inadvis (0.57),"olive oil, and why (0.99)",none,none,none,none
How healthy and nutritious are Japanese frozen meals?,healthy and (0.59),nutritious (0.63),japanese frozen meals (0.98),none,none,none
What are some good roasted chicken recipes?,good roasted chicken recipes (1.00),none,none,none,none,none
I've seen people using oil to cook rice. Isn't it unhealthy? Why don't they use water only?,rice (1.00),un (0.37),none,oil (1.00),##healthy (0.84),water only (1.00)
What low-calorie foods can you eat in large volumes?,low - calorie foods (1.00),large volumes (0.67),none,none,none,none
Is cooking food with olive oil healthier or natural salted butter?,food (1.00),none,none,olive oil healthier or natural salted butter (1.00),none,none
"What is your favourite low cost, easy cook, Uber healthy recipe?","favourite low cost, easy cook, uber healthy recipe (0.96)",none,none,none,none,none
How can popcorn be made to taste good and also be healthy for you?,popcorn (0.99),taste good (0.53),none,healthy (0.45),none,none
What's the best method for removing fat off a whole chicken?,best (0.45),fat off a whole chicken? (0.99),none,none,none,none
"What is your recipe to cook turnips (شلجم) for a meal, delicious yet healthy?","turnips ( شلجم ) for a meal, delicious yet healthy (1.00)",none,none,none,none,none
How do I make garlic infused olive oil?,garlic infused olive oil (1.00),none,none,none,none,none
Which is healthier chicken or mutton?,healthier chicken or mutton? (1.00),none,none,none,none,none
"Which quick, nutritious, and delicious recipe is suitable for many guests?","quick, nutritious, and delicious recipe (1.00)",guests (0.98),none,none,none,none
"Which is better, black rice or quinoa?",black rice or quinoa? (1.00),none,none,none,none,none
Are raw green beans healthier than cooked?,raw green beans healthier than cooked? (1.00),none,none,none,none,none
What is the most delicious food item (except fried rice) that can be made with rice?,most delicious food item ( except fried rice ) that can (0.95),made with (0.91),none,rice (0.68),none,none
How does an infra red cooker work? Is it bad for health if we eat food cooked in it?,infra red cooker work (0.97),cooked in it (1.00),none,health (0.98),food (0.79),none
"What is the superior food, and why: Pizza or Calzone?",superior food (0.96),why (0.57),pizza or calzone? (0.92),none,none,none
Are most foods (vegetables) healthier to eat when they are partially cooked?,foods (0.90),vegetables (0.96),health (0.27),) (0.44),##ier (0.29),eat (0.64)
"How do I cook tasty healthy meals with no spice, citrus, tomatoes, onion or garlic to get started due to stage 3 GERD? Keep cheese and eggs to a min for cholesterol. Herbs, soy sauce, balsamic vinaigrette, vegan butter & salt are ok.","tasty healthy meals with no spice, citrus, tomatoes, onion or garlic to get started due to stage 3 gerd (1.00)","cheese and eggs to a min for cholesterol. herbs, soy sauce, balsamic vinaigrette, vegan butter & salt (1.00)",. (0.78),none,none,none
What are your favorite vegetarian Instant Pot recipes?,favorite vegetarian instant pot recipes (1.00),none,none,none,none,none
What is healthy to cook this week?,week (0.50),none,none,none,none,none
How can you use prekese in cooking?,prekese in cooking (1.00),none,none,none,none,none
What foods are inherently healthy but that are often prepared in an unhealthy way?,foods (0.97),often (0.37),##healthy way (0.80),healthy (0.62),prepared (0.35),un (0.62)
What is the difference between roasting and rotisserie cooking?,roasting and rotisserie cooking (1.00),none,none,none,none,none
What are some of the popular foods in Russia?,popular foods (0.89),russia (0.41),none,none,none,none
Can one get food poisoning from cooked food?,food poisoning from cooked food (0.99),none,none,none,none,none
What are the best slow cooker recipies?,the best slow cooker recipies? (0.99),none,none,none,none,none
What home cooked meals taste better the second day?,home cooked meals (1.00),better the second day (0.94),none,none,none,none
What are easy recipes to get into so that I can stop eating out?,out (0.75),none,none,eating (0.61),none,none
Which spices do well in both sweet and savory recipes?,both sweet and savory recipes (0.99),none,none,spices (0.93),none,none
"Which is healthier: steamed, boiled or fried dumplings?","steamed, boiled or fried dumplings? (0.98)",none,none,health (0.87),none,none
"What vegetable recipes are filling, low fat, cheap, and easy?",vegetable (0.59),"filling, low fat, cheap, and easy (0.97)",none,none,none,none
What is the easiest meal to cook?,none,none,none,none,none,none
How can I substitute eggs in homemade pasta?,eggs in homemade pasta (1.00),none,none,none,none,none
Can you safely eat asparagus raw or is it healthier for you to cook it first before consuming?,asparagus raw (1.00),it healthier (0.75),it first (0.73),consuming (0.97),none,none
What’s different about instant oatmeal that allows it to be made quicker than regular oatmeal?,instant oatmeal that allows it (1.00),be made quicker than regular oatmeal? (0.99),none,none,none,none
What are some healthy recipes that I can make on a budget? And easy to make?,budget? (0.78),easy (0.55),none,healthy recipes (0.84),none,none
Does it conserve more nutrients when rice/pasta is cooked in high heat quickly or in low heat but cooked more slowly? Which is the healthiest method of cooking?,when (0.44),rice / pasta is cooked in (0.96),high heat quickly or in (0.83),nutrients (1.00),low (0.54),cooking (0.79)
Why am I always burning my butter when I fry eggs? I use an plain old frying pan but the butter always turn brown and the egg won’t cook fast enough.,butter when (0.97),fry eggs (1.00),plain old frying pan (1.00),brown (0.72),egg (0.92),none
What are some healthy baking recipes that I can use tofu in? I have a bunch of tofu that I have to use before it goes bad but I don’t like the texture. Can I hide it in something?,healthy baking (0.99),tofu in (0.82),it goes bad (0.65),tofu that (0.91),the (0.93),texture (0.82)
How could you fry food without oil and fat apart from air fryers?,food (1.00),none,none,oil and fat apart from air fryers (1.00),none,none
What are some substitutes for minced garlic?,none,none,none,substitutes for minced garlic (0.87),none,none
Would it make much difference to the health benefit of tomatoes to cook them rather than eat them raw?,health benefit of tomatoes (1.00),them (0.90),none,raw (0.57),none,none
Is steak tartare healthy?,steak tartare healthy (1.00),none,none,none,none,none
"I heard that French fries should be cooked twice to make them crispy, how do I do that?",french fries (1.00),cooked twice to make them crispy (1.00),none,none,none,none
How healthy is wonton soup?,wonton soup (0.99),none,none,none,none,none
Is it wrong to bake your oatmeal for making oatmeal bars?,oatmeal for making oatmeal bars (1.00),none,none,none,none,none
What are some common mistakes people make when cooking chicken?,chicken? (0.93),none,none,common mistakes (1.00),cooking (0.59),none
"Do baked beans in a can give you the most bang for your buck in terms of protein, value, nutrition, and ease of use?",baked beans in a can (1.00),the most bang for your buck (0.97),terms (0.99),protein (1.00),nutrition (0.97),ease (0.70)
What are some of the healthy recipes that utilize air fryer?,healthy recipes (0.82),fryer (1.00),none,air (0.68),none,none
Can You get sick by eating half cooked fish?,half cooked fish (1.00),none,none,none,none,none
What's your secret to cooking baked potatoes?,baked potatoes? (1.00),none,none,none,none,none
What's your favourite way to have potatoes?,potatoes (1.00),none,none,none,none,none
What is the best pan for deep frying?,the best pan (0.87),deep frying (1.00),none,none,none,none
"Do some nutrients lose while cooking, and what would be a better way to cook?",none,none,none,nutrients lose while cooking (0.95),none,none
"What food can I make, that lasts a long time without refrigeration and is reasonably satisfying to eat?",food (0.93),lasts (0.80),long time (0.90),refrigeration (1.00),reasonably satisfying (0.47),eat (0.80)
What is the healthiest and tastiest way to cook endives?,healthiest and tastiest (1.00),endives (1.00),none,none,none,none
What’s the most unusual recipes you have using fresh garlic?,most (0.92),garlic? (0.96),none,unusual (0.41),fresh (0.73),none
What are some cheap keto recipes?,cheap keto recipes (1.00),none,none,none,none,none
What's the best recipe for cake without an oven?,best (1.00),cake (1.00),none,an (1.00),oven (0.98),none
Can you give me 3 reasons why homemade food is always better than food from the majority of restaurants?,homemade food is always better than food from the majority of restaurants (0.99),none,none,none,none,none
Does sauerkraut lose its probiotic benefits if it's been stewed with pork all day?,##uerkraut (0.88),probiotic benefits if it's been stewed with pork all day (1.00),none,sa (0.98),none,none
How can you make healthy meals interesting?,healthy meals interesting (1.00),none,none,none,none,none
How long does it take to cook steamed vegetables?,steamed vegetables? (1.00),none,none,none,none,none
What are some examples of food preparation and making that make food the most nutritious and authentic?,food the most nutritious and authentic (0.96),none,none,food preparation and making that (0.93),none,none
Sandwiches: Is it acceptable to slice both meat and cheese on a deli slicer?,both meat and cheese on a deli slicer? (1.00),none,none,sandwiches (0.47),none,none
Is OPOS - One Pot One Shot cooking technique healthy?,opos - one pot one shot cooking technique (1.00),healthy (0.30),none,none,none,none
How do I cook food more nutritiously?,food more nutritiously? (1.00),none,none,none,none,none
What are the foods that make a person feel full for the longest period of time?,foods (0.71),person (0.98),full for the longest period of time (0.64),none,none,none
What are some preparing/cooking tips and tricks when consuming healthy food?,none,none,none,preparing / cooking tips and tricks when consuming healthy food (0.99),none,none
Are stir-fry dishes healthier than regular dishes?,stir - fry dishes healthier than regular dishes (1.00),none,none,none,none,none
"Which cooking option is better for vegetables so that it does not loose its nutritional value: steaming, boiling, or cooking them in olive oil?",vegetables so (0.90),it (0.99),its (0.64),cooking (0.72),nutritional value (0.87),steaming (0.89)
What can you add to make your oatmeal tastier?,oatmeal tastier (1.00),none,none,none,none,none
"How do you cook spinach for an alternative, quick, and tasty lunch?","spinach for an alternative, quick, and tasty lunch (1.00)",none,none,none,none,none
"Is there different levels of quality, e.g., taste, nutritional value, cooking time, of the same type of non-organic rice?",non - (0.86),rice (0.55),none,"quality, e. g., (0.80)","taste, nutritional value, cooking time (0.91)",same (0.56)
Is cooking oatmeal with milk healthy?,oatmeal with milk healthy (1.00),none,none,none,none,none
What are the new innovations for cooking food easily?,food easily (1.00),none,none,none,none,none
What is a good substitute for raw onion in salads and other recipes that do not cook the onion?,raw onion in salads and other recipes (1.00),the onion (0.95),none,none,none,none
"Which is healthier to cook with, lard or shortening?","with, lard or shortening (1.00)",none,none,health (0.98),none,none
Have you felt planning what to cook for a week (3 times) is tougher than actual cooking?,for a week ( 3 times ) is tougher than (0.99),cooking (1.00),none,actual (0.73),none,none
Why do cooked onions taste the sweeter than raw onions?,cooked onions (1.00),sweeter than raw onions (0.94),none,none,none,none
What new meals did you learn how to cook during Covid and proud of?,meals (0.83),during covid and proud of? (1.00),none,new (0.37),none,none
Which raw beans and raw grains cook the fastest?,beans and raw grains (0.90),the fastest? (1.00),none,raw (0.85),none,none
What can I do/add to make oatmeal less bland tasting?,oatmeal less bland tasting (1.00),none,none,none,none,none
What are the ingredients in döner kebab meat?,doner kebab meat (1.00),none,none,none,none,none
What are some substitutes for garlic cloves?,substitutes (0.50),garlic cloves? (0.88),none,for (0.95),none,none
Is frying with olive oil healthy?,fry (1.00),with olive oil healthy (0.95),none,none,none,none
What are the healthiest and least healthy oils to cook with?,healthiest and least healthy oils (1.00),none,none,none,none,none
What seasoning can be used to replace msg?,msg? (1.00),none,none,season (1.00),##ing (0.81),none
How do I cook without oil or butter?,without oil or butter? (1.00),none,none,none,none,none
"Which ones are the pros and cons of eating spicy food, and why?",pros and cons of eating spicy food (0.93),none,none,none,none,none
Are scrambled eggs healthy?,scrambled eggs (1.00),none,none,none,none,none
Do professional chefs eat mushroom stems?,mushroom stems (1.00),none,none,none,none,none
"Why do humans like to cook meat before they eat it? Why do humans like the taste of cooked things, which were invented/discovered, not natural? Why is there a need to add spices, salt, fat, etc.? Why aren't we more partial to natural tastes?",meat (1.00),it (1.00),"things, which were invented / discovered, not natural (0.89)",taste (0.30),cooked (0.93),natural tastes (1.00)
What’s a good potato recipe for a terrible cook like myself?,good potato (1.00),terrible cook (0.77),none,none,none,none
Is it dangerous to cook tomatoes with aluminum cookware and does it harm the cookware? I've read elsewhere on Quora that tomatoes are acidic and leach metals. Is there a health risk?,tomatoes with aluminum cookware (1.00),cookware (0.99),quora (0.82),it (0.81),tomatoes (0.91),acidic (0.80)
Where can I find Nutri-pot recipes?,nutri - pot recipes (1.00),none,none,none,none,none
What are some good recipes we can make with simple things that are still healthy?,simple things (0.94),still (0.59),none,good recipes (0.87),healthy (0.82),none
Does smoked salmon need to be cooked or heated before eating? Why or why not?,smoked salmon (1.00),cooked or heated before (0.84),? why (0.82),eating (0.50),why (0.48),none
What are some healthy alternatives for shortening in recipes?,shortening in recipes (0.83),none,none,healthy alternatives (1.00),none,none
How do I cook broccoli without making it soggy?,broccoli (1.00),it soggy? (1.00),none,making (0.96),none,none
What are good recipes to use up leftover sesame seeds?,leftover sesame seeds (1.00),none,none,none,none,none
What food is good for your heart?,heart (0.81),none,none,food (0.99),none,none
Is an omelette healthy?,omelette healthy (1.00),none,none,none,none,none
How good is salmon for you?,salmon (0.98),none,none,none,none,none
Is it necessary to add oil and salt when cooking rice? How is it different to just using salt in the rice?,oil and salt when cooking rice (1.00),in the rice (1.00),none,salt (0.44),none,none
How do you replace minced garlic with garlic powder?,minced garlic with garlic powder (1.00),none,none,none,none,none
"What are some good, quick and healthy dinner recipes for children? No finger foods.","good, quick and healthy dinner (1.00)",children? no finger foods (1.00),none,none,none,none
What is some tasty and easy to cook food that can be cooked within 5-10 minutes?,food (0.79),be cooked within 5 - (0.79),none,tasty and easy (0.84),cook (0.80),10 minutes (0.56)
Can we eat garlic leaves?,garlic leaves (1.00),none,none,none,none,none
Why aren't cereals stirred during cooking?,cereals stirred during cooking (1.00),none,none,none,none,none
"What's an easy, healthy, workday breakfast?","easy, healthy, workday breakfast (1.00)",none,none,none,none,none
How can you enjoy sauces on your vegetables and still lose weight?,sauces on your vegetables (1.00),none,none,weight (1.00),none,none
Should vegetable salad be eaten with cooked food when Ayurveda prohibits cooked and raw food to be eaten together?,vegetable salad (1.00),food when ayurveda prohibits cooked and raw food (0.99),eaten (0.37),cooked (1.00),none,none
Meals: What are the quick and easy meal recipes that you use to prepare meals for a family that is always on the go?,quick and easy meal recipes (0.98),meals (0.98),family (0.82),meals (0.64),go (0.56),none
Is it healthier to use pepper than salt on one's food?,pepper than salt on one's food (1.00),none,none,none,none,none
What are your go-to healthy weeknight meals?,go - to healthy weeknight meals (1.00),none,none,none,none,none
Are the health benefits of spinach preserved if baked into buns?,spinach preserved if baked into buns (1.00),none,none,health (0.38),none,none
