utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
"What is the best recipes for home made Doner Kebab? I do not own any specific tools, just common household appliances",best (1.00),home made doner kebab (1.00),tools (0.96),specific (0.99),none,none
What is the best and wuiest way to make shake and bake meth with step-by-step instructions?,the best and wuiest (1.00),shake and bake meth with step - by - step instructions (1.00),none,none,none,none
Why does Subway sandwich taste so much better than homemade sandwich?,subway sandwich (1.00),much better than homemade sandwich (0.96),none,none,none,none
How do you make homemade lasagna noodles with the ripples in them?,homemade lasagna noodles with the ripples in them (1.00),none,none,none,none,none
What is the best homemade night cream?,the best homemade night cream (1.00),none,none,none,none,none
How do you make a homemade voice changer (programmable) that is small enough you could insert it into a Halloween mask?,homemade voice changer ( programmable ) that is small enough (1.00),halloween mask (1.00),none,none,none,none
What is the quickest and easiest homemade bread recipe?,quickest and easiest homemade bread recipe (1.00),none,none,none,none,none
"Is homemade kombucha safe to brew, pack, and sell?","homemade kombucha safe to brew, pack, and sell (0.99)",none,none,none,none,none
Is homemade pizza dough better than store-bought?,pizza dough (0.84),store - bought (0.86),none,none,none,none
How do I make coriander powder at home?,coriander powder (1.00),none,none,none,none,none
Where can I learn how to make homemade propane/MAPP gas torch tips?,homemade propane / mapp gas torch tips (1.00),none,none,none,none,none
What is the best homemade shower cleaner?,the best homemade shower cleaner (1.00),none,none,none,none,none
What can you add to homemade ground beef burgers to prevent them from breaking apart on barbecues?,homemade ground beef burgers to (0.92),them (1.00),breaking apart on barbecues (0.92),none,none,none
"Is it worth the effort to make homemade tortillas? If so, why?",homemade tortillas (1.00),none,none,none,none,none
"While living in the Northeastern USA, what homemade foods are you able to learn how to make at home?",northeastern usa (0.99),homemade foods (0.81),none,none,none,none
What kind of DIYs can you make with old bars of hand soap?,diys (0.87),with old bars of hand soap (0.99),none,none,none,none
Why does all my homemade black powder tend to be so hard to ignite and always burn so slowly?,homemade black powder tend (1.00),so hard to ignite (0.95),always burn so slowly (0.72),none,none,none
How do you make fake crystal meth shards?,fake crystal meth shards (1.00),none,none,none,none,none
Why does restaurant fried chicken taste so much better than homemade?,restaurant fried chicken taste so much better than homemade? (0.95),none,none,none,none,none
"How anyone can make ""THE EDIBLE WATER BOTTLE"" at home?",the (0.99),"edible water bottle "" (1.00)",none,none,none,none
Should I tip a lady that is baking me a homemade cake?,lady (1.00),homemade cake (1.00),none,none,none,none
"What is the botulism risk from homemade pizza sauce (pizza, botulisms, food safety, cooking)?",botulism risk from (0.99),"homemade pizza sauce ( pizza, botulisms, food safety, cooking ) (0.99)",none,none,none,none
Is it legal to sell homemade cannons?,homemade cannons (1.00),none,none,none,none,none
What foods are not safe to make at home?,foods (0.96),none,none,none,none,none
Is a surgical mask better than a homemade cloth mask?,surgical mask (1.00),homemade cloth mask (1.00),none,none,none,none
Is it safe to add essential oils to the home made candles that I plan to give for Christmas?,essential oils to (0.90),home made candles (1.00),christmas (0.94),none,none,none
What is your go-to homemade meal when you want to eat something good but don't feel like putting in much effort?,go - to homemade meal when (0.96),something good (0.99),none,putting (0.88),in (0.55),much (0.58)
What's the best way to make a homemade mashed potato?,homemade mashed potato? (1.00),none,none,none,none,none
What is the most westernised homemade ramen recipe out there?,most westernised homemade ramen recipe (0.94),none,none,none,none,none
Which concrete handicrafts homemade things -DIY - are very popular or would be in great demand?,concrete handicrafts homemade things - diy - (0.99),popular (0.97),none,none,none,none
How can I make a homemade shotgun with simple materials?,homemade shotgun with simple materials (1.00),none,none,none,none,none
What homemade material did the MythBusters discover was highly explosive?,material (0.70),mythbusters (1.00),highly explosive (0.97),homemade (0.63),none,none
What are the advantages of using corn syrup vs. sugar when making homemade ice cream?,corn syrup vs. sugar when making homemade ice cream (1.00),none,none,none,none,none
Do you have a recipe for homemade skin whitening cream?,homemade skin whitening cream (1.00),none,none,none,none,none
Is it legal to sell homemade blades?,homemade blades (1.00),none,none,none,none,none
I have combination skin and I’m 13. I was wondering what are some good homemade face masks that I can make?,13 (0.65),good homemade face masks (1.00),none,combination skin (0.99),none,none
Why are the biscuits at Bob Evans better than the ones I make at home?,biscuits at (0.84),bob evans better than the ones (0.98),none,none,none,none
How do I make a photo frame at home?,photo frame (1.00),none,none,none,none,none
"What can I add to my own homemade peanut butter (only roasted peanuts) to make it better for bodybuilding purposes (eg royal jelly, flax seed…)?",homemade peanut butter ( only roasted peanuts ) to (1.00),it (1.00),"bodybuilding purposes ( eg royal jelly, flax seed … ) (0.98)",none,none,none
What are some good homemade crock pot recipes?,good homemade crock pot recipes (1.00),none,none,none,none,none
"When making homemade ice cream, should I add whole milk or condensed milk to heavy whipping cream?",homemade ice cream (1.00),whole milk or condensed milk to heavy whipping cream (1.00),none,none,none,none
Is it just me or is it really rude to tell someone what to bring specifically to a dinner stating that it can’t be store bought and has to be homemade?,specifically (0.24),dinner (1.00),it can ’ t be store bought (0.95),homemade (0.73),none,none
"Why is my homemade bread crust so hard when it comes out of the oven? It always feels like a rock. For context, I've tried to use a water bath but that didn't work either. I bake it at 250° for 40-50 minutes in an electric oven.",homemade bread crust so hard when it comes out of the oven (0.96),it always (0.97),rock (0.47),none,none,none
"Is homemade pho worth the effort, or (as a mediocre American home chef) am I more likely to get better pho from local restaurants?",homemade pho (1.00),( as a (0.72),mediocre american home chef (1.00),effort (0.98),better (0.79),none
I just made a mini card bag by myself. I’m pretty satisfied with my work but how could I make the leather less coarse?,mini card bag (1.00),leather less coarse (0.82),none,work (0.99),none,none
Is it legal or illegal to sell a homemade power generator or use a home made power generator to generate power for an individual house for a profit?,homemade power generator (1.00),made power generator (1.00),for (1.00),home (0.82),power (0.54),none
What is the best homemade dip for pork rinds?,the best homemade dip for pork rinds? (1.00),none,none,none,none,none
What are some good healthy easy recipes to make?,good healthy easy recipes (1.00),none,none,none,none,none
What are the craft items that can be made with match sticks?,craft (0.95),made with match sticks (0.88),none,items (0.55),none,none
Where can I find the best homemade pizza sauce recipe?,the best homemade pizza sauce recipe (1.00),none,none,none,none,none
What are some healthy homemade snack options?,healthy homemade snack options (1.00),none,none,none,none,none
What are some good homemade weapons for the zombie apocalypse?,good homemade weapons (0.98),zombie apocalypse (0.99),none,none,none,none
Why don't homemade foods taste as good as restaurant food?,homemade foods (1.00),good as restaurant food (0.99),none,none,none,none
How do you make a homemade carburetor cleaner?,homemade carburetor cleaner (1.00),none,none,none,none,none
What is the most surprisingly easy to make at home pasta sauce we should all know about?,most surprisingly (0.68),home pasta sauce (0.86),none,none,none,none
Why does homemade pizza never taste the same as pizza from a restaurant? Am I missing some secret ingredient or method?,homemade pizza (1.00),taste (0.95),same as pizza from a restaurant (0.99),secret ingredient or method (1.00),none,none
Can you share a photograph of foreign cuisine you made at home?,foreign cuisine you made (1.00),none,none,none,none,none
What is the easiest way to make a pizza at home?,pizza (1.00),none,none,none,none,none
Why are home-made French fries not nearly as good as McDonald's French fries? Is it because of the potato variety?,home - made french fries not nearly as good as mcdonald's french fries (1.00),variety (1.00),none,potato (0.98),none,none
How do I make cup cakes at home?,cup cakes (1.00),none,none,none,none,none
What homemade food will hold up the best in the mail?,food (1.00),the best in the mail (1.00),none,homemade (0.81),none,none
What are some pictures of food cooked at home?,food cooked (0.97),none,none,none,none,none
Can we use any homemade face pack daily?,homemade face pack daily (1.00),none,none,none,none,none
How do you make a homemade glass tune with a bow?,homemade glass tune with a bow (1.00),none,none,none,none,none
What is the best marinara recipe?,the best marinara recipe (0.99),none,none,none,none,none
How can I build a homemade refrigerator?,homemade refrigerator (1.00),none,none,none,none,none
How do you make homemade Mentos?,homemade mentos? (1.00),none,none,none,none,none
How do you make a homemade air conditioner?,homemade air conditioner? (0.93),none,none,none,none,none
Can I sell homemade food products on college campuses?,homemade food products (1.00),college campuses (1.00),none,none,none,none
I need a good recipe for home made brownies? Does anyone have a great recipe that’s not from the internet?,home made brownies (1.00),great recipe (1.00),the internet (0.99),from (0.64),none,none
What are the best ingredients for homemade dog food?,homemade dog food (1.00),none,none,best (0.38),none,none
"Are home made cinnamon rolls worth the effort? I normally like to bake homemade goods when I go to a gathering, but I have heard that cinnamon rolls are one of those things that are not worth it",home made cinnamon rolls (1.00),bake homemade goods (0.97),gathering (0.51),effort (0.96),worth (1.00),it (0.64)
Why does my homemade Mac & cheese always get grainy?,homemade mac & cheese always get grainy? (0.97),none,none,none,none,none
Is it possible to make Xanax at home?,xanax (1.00),none,none,none,none,none
How do I make a touch pen at home?,touch pen (1.00),none,none,none,none,none
"How can you make homemade bread with a soft crust, similar to shops sliced packet bread?","homemade bread with a soft crust, similar to shops sliced packet bread (1.00)",none,none,none,none,none
Why isn't homemade pizza as good as a pizza joint one?,homemade pizza (1.00),good as a (1.00),pizza joint one (0.96),none,none,none
How do I make fancy coffee at home?,fancy coffee (1.00),none,none,none,none,none
How do I make homemade paint remover?,homemade paint remover (1.00),none,none,none,none,none
How can I make pizza at home without an oven?,pizza (1.00),none,none,an (1.00),oven (1.00),none
Why is my homemade candle not producing a scent?,homemade candle (1.00),scent (1.00),none,none,none,none
How can I make a nutrient dense compost tea that also contains high enough amounts of phosphorus to make for the best natural homemade fertilizer?,nutrient dense compost tea that also contains high enough amounts of phosphorus (1.00),for the best natural homemade fertilizer (0.97),none,none,none,none
What are the regulations to start a homemade food selling business in Canada as an international student?,homemade food selling business (1.00),canada (1.00),international student (1.00),none,none,none
What are the best ingredients for homemade burgers?,best (0.52),homemade burgers (1.00),none,none,none,none
How do I make homemade C4?,homemade c4? (1.00),none,none,none,none,none
How can I build a homemade water filter?,homemade water filter (1.00),none,none,none,none,none
What are the pros and cons of making grape wine at home?,pro (0.81),grape wine (0.99),none,##s and cons (0.63),none,none
How do you manufacture homemade hand sanitizer in case of an emergency?,homemade hand sanitizer (1.00),emergency (0.81),none,none,none,none
What is the best homemade hair oil? What is the recipe?,the best homemade hair oil (1.00),none,none,none,none,none
Are homemade silencers illegal?,homemade silencers (0.85),none,none,none,none,none
What do home-cooked meals look like where you come from?,home - cooked meals (1.00),where you (0.99),none,none,none,none
How do I make mint syrup with minimum water?,mint syrup with minimum water (1.00),none,none,none,none,none
How long does homemade tomato sauce last in a mason jar?,homemade tomato sauce last in a mason jar (0.98),none,none,none,none,none
What is a good homemade shoe cleaner?,good homemade shoe cleaner? (0.90),none,none,none,none,none
What is the most refreshing homemade drink in a heat wave?,most refreshing homemade drink in a (0.92),heat wave (0.98),none,none,none,none
"Is Shaoxing wine an absolute must in home made Chinese, why or why not?",shaoxing wine (1.00),"absolute must in home made chinese, why or why not (0.96)",none,none,none,none
Why does the homemade pesto dish tend to blacken after a few days and what to do to prevent this from happening?,homemade pesto dish tend to blacken after a few days (0.96),what (0.85),happening (0.40),this (0.67),none,none
How do I make a slate pencil at home?,slate pencil (1.00),none,none,none,none,none
How grossed out would you be if you received a homemade baked good from a friend and there was a hair in it?,out (0.94),homemade baked good (1.00),friend (1.00),hair (1.00),none,none
Is it possible to make a homemade or DIY breathing muscle trainer?,homemade or diy breathing muscle trainer (1.00),none,none,none,none,none
Can you microwave homemade pie dough till it is fully cooked?,homemade pie dough (1.00),it (1.00),fully cooked (0.69),none,none,none
"What is the best way to use turmeric for soft, clear and young-looking skin (DIY mask)?","turmeric for soft, clear and young - looking skin ( diy mask ) (1.00)",none,none,none,none,none
Is it possible to get food poisoning from homemade kimchi?,food poisoning from homemade kimchi? (1.00),none,none,none,none,none
How do I make a homemade knockout liquid?,homemade knockout liquid (1.00),none,none,none,none,none
What is the easiest way to make a handmade gift for your mom?,handmade gift (1.00),mom (1.00),none,none,none,none
What’s your favorite homemade meal that feeds 5-7 person family that doesn’t cost a small fortune and doesn’t contain cheese?,favorite homemade meal that feeds (0.93),5 - 7 person family that (0.96),small fortune (1.00),cheese (1.00),none,none
What are the differences between homemade beef jerky and storebought beef jerky?,homemade beef jerky and storebought beef jerky (1.00),none,none,none,none,none
How difficult is it to make homemade soaps in your home?,homemade soaps (1.00),none,none,none,none,none
"How do you make homemade peach jam properly (canning, cooking, and preserves)?","homemade peach jam properly ( canning, cooking, and preserves )? (1.00)",none,none,none,none,none
How much can I charge for homemade made from scratch cupcakes?,homemade made from scratch cupcakes (1.00),none,none,none,none,none
How do you make homemade espresso creamy?,homemade espresso creamy? (1.00),none,none,none,none,none
Is there any homemade recipes for truth serum?,truth serum (1.00),none,none,homemade (0.84),none,none
How can you make a homemade heater?,homemade heater (1.00),none,none,none,none,none
Is it possible to make a homemade vaporizer for congestion and colds?,homemade vaporizer for congestion and colds (1.00),none,none,none,none,none
What kind of vinegar is best for a homemade Italian dressing?,homemade italian dressing (1.00),none,none,vinegar (1.00),none,none
Should I use cooked or raw mushrooms on pizza?,cooked or raw (0.72),pizza (0.99),none,mushrooms (0.71),none,none
How can I make homemade pizza and tomato sauce the best way?,homemade pizza and tomato sauce the best way (1.00),none,none,none,none,none
My homemade buffalo sauce has oil separated. Where is it coming from?,homemade buffalo sauce has (1.00),it (0.81),none,oil separated (0.92),coming (0.47),none
How do build a homemade bodybuilding supplement that is not expensive?,homemade bodybuilding supplement that is not (0.93),none,none,expensive (0.67),none,none
I homemade built a fully automatic rifle back in 1984. Since it was illegal to build automatic firearms after 1985 and since it is perfectly legal for me to build a homemade rifle am I legally allowed to have it?,fully automatic rifle (1.00),1984 (0.84),automatic firearms after 1985 (0.92),perfectly (0.52),it (0.85),none
Which toppings go best on a home made pizza?,home made pizza? (0.98),none,none,topping (0.88),none,none
How easy is it to create a homemade bag of your own?,homemade bag of your own (1.00),none,none,none,none,none
Is it legal to sell homemade cleaning products? Do I need a license to manufacture? I'm in UK,homemade cleaning products (1.00),none,none,manufacture (1.00),uk (0.94),none
"How do I make homemade rawhide treats for my dog, and can I make them out of anything besides cowhide?",homemade rawhide treats for (1.00),"dog, (0.76)",them out of anything besides cowhide (1.00),none,none,none
What are the best homemade detox water recipes?,the best homemade detox water recipes (1.00),none,none,none,none,none
"I really want to make a homemade flesh lite but everyone online says to use a latex glove. I only have a latex-free glove. Is this okay? Also, what should I use as lube besides spit?",homemade flesh lite (1.00),online (0.73),##x glove (1.00),late (0.76),late (1.00),none
Homemade food is often regarded as better. What is a food that is always better when bought?,homemade food (1.00),food (1.00),none,better (0.83),always (0.45),better (0.98)
What is the best mushroom variety someone can add to their homemade spaghetti sauce?,the best mushroom variety (1.00),homemade spaghetti sauce (1.00),none,none,none,none
How do I make fast homemade food?,fast homemade food (1.00),none,none,none,none,none
How could you replace baking powder with very common products that are already at home?,baking powder with very common products that (0.97),already (0.45),none,none,none,none
Are homemade masks effective against COVID-19 at all? What is the best material for DIY?,masks (0.39),the best (0.83),diy (0.98),covid - 19 (0.99),none,none
Does anyone want to purchase eucalyptus soap that is homemade?,eucalyptus soap that is homemade (1.00),none,none,none,none,none
Is homemade chili fattening?,chili fattening (0.90),none,none,none,none,none
What are some good homemade snacks to take with you when you go camping?,good homemade snacks (1.00),when (0.98),camping (0.87),none,none,none
What are some of the traditional homemade food products that are forgotten by most people?,traditional homemade food products that (0.98),people (0.99),none,none,none,none
"I am genderfluid. Are homemade binders safe? I'm not out to my parents, and I can't secretly buy a binder.",genderfl (0.64),homemade binders safe (0.98),binder (1.00),none,none,none
What is cheap to produce but is sold for an unreasonable amount of money?,unreasonable amount (0.90),none,none,produce (0.58),money (0.97),none
What are the best homemade hair masks for healthy long hair?,the best homemade hair masks for healthy long hair (1.00),none,none,none,none,none
What is the best platform to sell homemade herbal products?,homemade herbal products (1.00),none,none,none,none,none
How do you make your own vegetable oil?,vegetable oil? (0.99),none,none,none,none,none
Is homemade bread considered processed food?,homemade bread (1.00),processed food (0.94),none,none,none,none
How long do homemade pickled cucumbers last?,homemade pickled cucumbers last (0.98),none,none,none,none,none
Why doesn't my homemade ouija board work?,homemade ouija board (1.00),none,none,none,none,none
How do I make homemade polish for bike or car?,homemade polish for bike or car? (0.97),none,none,none,none,none
What's your favourite homemade food?,favourite homemade food (0.96),none,none,none,none,none
What are some good tips for making homemade vinegar from cheaper fruits?,homemade vinegar from cheaper fruits (1.00),none,none,good (0.97),none,none
Is homemade vanilla better with vodka or bourbon?,homemade vanilla (0.79),or (0.77),none,vodka (1.00),bourbon (0.89),none
How do you make a homemade bubbler for smoking meth?,homemade bubbler for smoking meth? (1.00),none,none,none,none,none
Why does a homemade cake turns brown from inside?,homemade cake (1.00),brown from inside (0.93),none,none,none,none
How do you make homemade donuts from scratch without milk?,homemade donuts from scratch (1.00),none,none,milk (1.00),none,none
How do I make a pizza base at home?,pizza base (1.00),none,none,none,none,none
Is it true that making homemade cat food is cheaper? Are there any recipes for homemade kitten food that is really cheap?,homemade cat food is (0.97),homemade kitten food that is really cheap (1.00),none,cheaper (0.35),none,none
Does the baking soda and turmeric trick for hair removal actually work?,baking soda and turmeric trick for hair removal actually (1.00),none,none,none,none,none
How do you prevent your homemade potato salad from turning out watery?,homemade potato salad from turning out watery? (1.00),none,none,none,none,none
How do I make red chili powder at home?,red chili powder (1.00),none,none,none,none,none
Do you like the food that is made at your home daily? Why or why not?,food (1.00),made (0.86),daily (0.74),why (0.56),why (0.42),none
Are homemade masks as effective as the surgical and N95 masks?,surgical and n95 masks (1.00),none,none,masks (0.54),none,none
Do you prefer homemade vs. Restaurant vs. Fastfood? Why?,homemade vs. restaurant vs. fastfood? (1.00),none,none,none,none,none
What causes a white film on homemade wine?,white film on homemade wine (1.00),none,none,none,none,none
How do you make a homemade car battery charger?,homemade car battery charger (1.00),none,none,none,none,none
How do you make a homemade supercharger?,homemade supercharger? (1.00),none,none,none,none,none
How do I start a bakery business from home?,bakery business (1.00),none,none,none,none,none
What are some homemade cooking tips?,homemade (0.97),none,none,cooking tips (0.99),none,none
What is your favorite homemade birthday cake you had or made yourself?,favorite homemade birthday cake (1.00),made yourself (0.92),none,none,none,none
Do you need a license to sell homemade beauty products?,homemade beauty products (1.00),none,none,none,none,none
How do you make kratom gummies?,kratom gummies? (1.00),none,none,none,none,none
What are some homemade ice melt alternatives for driveways and stoops?,homemade ice melt alternatives for driveways and stoops? (1.00),none,none,none,none,none
How do I make homemade bubble tea?,homemade bubble tea (1.00),none,none,none,none,none
How do I make caramel apples at home?,caramel apples (1.00),none,none,none,none,none
"What are two chemicals that can be made at home, that when combined, cure very fast into a hard material?",", that when combined, cure very fast into (0.72)",hard material (0.96),none,chemicals (0.54),none,none
Can honey act as a fining agent when used to back sweeten homemade wines?,fining agent when used to back sweeten homemade wines (1.00),none,none,honey (0.99),none,none
How do I make a Chex mix at home?,chex mix (1.00),none,none,none,none,none
How can you make a homemade pizza stone?,homemade pizza stone (1.00),none,none,none,none,none
Can you use the top cream from boiled milk to make homemade heavy cream?,top cream from boiled milk (1.00),homemade heavy cream (1.00),none,none,none,none
"During Corona time, how are you making your homemade meals more interesting?",time (1.00),homemade meals more interesting (1.00),none,corona (0.79),none,none
"What is the best book or resource to learn about homemade cooking, not professional cooking?",the best book or (0.93),"homemade cooking, not professional cooking (0.97)",none,none,none,none
How do you make homemade ice cream without cream?,homemade ice cream (1.00),none,none,cream (1.00),none,none
Are black spots on homemade tempeh bad?,spots (1.00),homemade tempeh bad? (1.00),none,black (0.96),none,none
What are the best methods of making homemade face masks to combat the spread of CoronaVirus (Covid19)? What fabrics and other materials are required?,homemade face masks to combat the spread of coronavirus ( covid19 ) (1.00),other (0.80),none,fabrics (1.00),materials (0.84),none
How do you make ice cream from scratch?,ice cream (1.00),scratch (1.00),none,none,none,none
What restaurant dishes are the easiest to make at home while still maintaining restaurant level quality without breaking the bank?,restaurant (0.87),dishes (0.63),easiest (0.70),restaurant (0.85),breaking (1.00),bank (0.64)
Why does homemade bread get huge air bubbles in it?,homemade bread (1.00),huge air bubbles in it (0.89),none,none,none,none
Why is my homemade simple syrup brown?,homemade simple syrup brown (1.00),none,none,none,none,none
How do you get homemade chocolate chip cookies to be crisper?,homemade chocolate chip cookies to be crisper? (1.00),none,none,none,none,none
What can I use as fake meth?,fake meth? (1.00),none,none,none,none,none
How can I prepare a pseudo pizza at home that does not include the use of leavened dough?,pseudo pizza (1.00),##ned dough (1.00),none,leave (1.00),none,none
Do you have any easy DIY hamster toys you can share how to make?,easy diy hamster toys you can share how to make (0.97),none,none,none,none,none
"If we are using homemade masks, is it a good idea to dampen them with a disinfectant in an attempt to protect from the virus?",homemade masks (1.00),them with a disinfectant in (1.00),none,damp (0.49),virus (0.75),none
"Are cakes sweeter than they were 40 years ago? As a kid, I just don’t remember homemade cakes being so sweet.",cakes (1.00),sweet (0.95),they were (0.52),sweet (0.68),none,none
Should homemade tortillas be stored in a refrigerator?,homemade tortillas (1.00),refrigerator (0.99),none,none,none,none
What are some nice DIY handmade gifts that can be made for a daughter (preference toward work)?,nice diy handmade gifts that can be made for a daughter ( preference (1.00),) (1.00),none,work (1.00),none,none
What is the best homemade camera filter from everyday items?,the best homemade camera filter from everyday items (1.00),none,none,none,none,none
"What are the easiest and tastiest homemade ""hooch"" recipes?","easiest and tastiest homemade "" hooch "" (1.00)",none,none,none,none,none
How do restaurants make scrambled eggs taste better than homemade?,scrambled eggs taste better than homemade? (0.96),none,none,none,none,none
What's the best homemade meal you can make?,the best homemade meal you (1.00),make (0.85),none,none,none,none
Can you use iodized salt for making homemade saline solution for homemade piercing disinfection?,iodized salt (1.00),making homemade saline solution for homemade piercing disinfection (0.99),none,none,none,none
How can one start a homemade food business in Germany?,homemade food business (1.00),germany (1.00),none,none,none,none
How do I make a chocolate brownies recipe (homemade)?,chocolate brownies recipe ( homemade )? (1.00),none,none,none,none,none
"I want to block out all the sun from entering my car while parked. What are some easy home made “inventions” for doing so (like cardboard cutouts to match the window space, etc.)?",the sun from entering (1.00),car (1.00),parked (0.59),so (0.72),none,none
What is the healthiest preservative for homemade jam?,healthiest preservative for homemade jam? (0.99),none,none,none,none,none
What is the home remedy for hair fall control?,home (0.69),hair fall control (1.00),none,none,none,none
What is a homemade Alka-Seltzer?,homemade alka - seltzer? (1.00),none,none,none,none,none
What are some ideas for a homemade joker costume?,homemade joker costume (1.00),none,none,none,none,none
Why do restaurants grilled chicken salads taste better than homemade?,restaurants grilled chicken salads taste better than homemade (0.98),none,none,none,none,none
"What ingredients is best to store a homemade face cream, I want to make almond cream for day time but which ingredient should I add to store it for weeks?",homemade face cream (1.00),almond cream for day time (1.00),none,ingredients (0.97),ingredient (0.99),weeks (0.59)
What equipment do you need to make pottery/ ceramics? I’m trying to buy a friend this for Christmas.,pottery / ceramics (1.00),friend this (0.91),none,equipment (1.00),christmas (0.44),none
Can you share pictures of your mom's handmade food?,mom's handmade food (0.97),none,none,none,none,none
Do you agree that homemade food is much better than public catering?,homemade food is much better than public catering (1.00),none,none,none,none,none
How can you make quality ziti at home?,quality ziti (1.00),none,none,none,none,none
What does a homemade F1 engine look and sound like?,homemade f1 engine look and sound (0.88),none,none,none,none,none
What are the benefits of adding rubbing alcohol to homemade liquid soap?,rubbing alcohol to homemade liquid soap (1.00),none,none,none,none,none
How long does it take homemade jelly to set?,homemade jelly to set (1.00),none,none,none,none,none
What are the best homemade bug sprays?,the best homemade bug sprays (1.00),none,none,none,none,none
"How do you make cheddar cheese at home, and is there a video online that shows you how to make it?",cheddar cheese (1.00),it (1.00),none,none,none,none
Does Swiggy also deliver homemade food?,##iggy (0.97),homemade food (1.00),none,sw (0.94),none,none
Is it legal to sell homemade cosmetics?,homemade cosmetics (1.00),none,none,none,none,none
Can a homemade mutton korma be made with tomatoes only?,homemade mutton korma be made with tomatoes only (1.00),none,none,none,none,none
How long does homemade lasagna last in the freezer?,homemade lasagna last in the freezer (1.00),none,none,none,none,none
What is the perfect homemade focaccia?,perfect homemade focaccia? (1.00),none,none,none,none,none
Is it safe to make homemade sourdough starter?,homemade sourdough starter (1.00),none,none,none,none,none
Can we make designer dresses at home?,designer dresses (1.00),none,none,none,none,none
"If I purchase a store bought cake, bring it home and Frost it myself, can I claim that it's homemade?",store bought cake (1.00),it home (0.92),it myself (0.75),frost (0.48),homemade (0.61),none
How long do you let homemade or artisan bread cool before slicing it?,homemade or artisan bread cool before slicing it (1.00),none,none,none,none,none
How do I make red ground paprika at home?,red ground paprika (1.00),none,none,none,none,none
How hard is it for criminals to improvise their own homemade armor piercing ammo by seating a makeshift steel penetrator into a lead core bullet?,criminals (0.51),improvise their own homemade armor piercing ammo by seating (0.94),makeshift steel penetrator into (1.00),none,none,none
What kind of homemade hair masks can we use after the smoothening of hair?,homemade hair masks (1.00),after the smoothening of hair (1.00),none,none,none,none
Does cooking a homemade tortilla make the flour on it safe to eat?,homemade tortilla make the flour on it (1.00),none,none,eat (1.00),none,none
Why did my homemade chocolate melt fast?,homemade chocolate melt fast (1.00),none,none,none,none,none
How long does it take for homemade wine to mature?,homemade wine to mature (1.00),none,none,none,none,none
How do I get rid of unwanted pregnancy using homemade ingredients?,unwanted pregnancy using homemade ingredients (1.00),none,none,none,none,none
Is homemade milk healthy?,homemade milk healthy (0.94),none,none,none,none,none
Is it possible to make a jam-setting gelling agent at home?,jam - setting gelling agent (1.00),none,none,none,none,none
How long can homemade cookies be safe to eat?,homemade cookies (1.00),none,none,eat (0.89),none,none
Why does my homemade bread always burn on the bottom before it is baked through?,homemade bread (1.00),burn on the bottom before it (0.91),baked through (0.75),none,none,none
