utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
Is plant-based meat nutritionally equivalent to real meat?,plant - based meat nutritional (0.85),meat (0.98),none,##ly equivalent (0.58),real (0.71),none
What do we call a person who cuts and sells meat?,meat (0.67),none,none,none,none,none
What happens if we eat meat after a banana?,meat after a banana? (1.00),none,none,none,none,none
What is horse meat worth?,none,none,none,horse meat (0.89),none,none
"Why do vegetables go bad faster when cooked, yet the opposite is true for meat?",vegetables (1.00),bad faster when cooked (0.99),the opposite (0.78),meat (1.00),none,none
How long or how many days can we keep Qurbani meat according to Islam?,long (0.61),how many days (0.69),qurbani meat (1.00),islam (1.00),none,none
What is 'artificial chicken flavour'? Is it a meat product?,artificial chicken flavour ' (1.00),meat product (1.00),none,none,none,none
Is it rude to make a scandal at the table because others eat meat?,scandal at (0.85),table (1.00),others (0.86),meat (0.98),none,none
What should be done to meat and plants to prepare them in a survival situation to avoid getting illnesses from them?,meat and plants (0.99),them (0.90),survival situation (0.78),getting (0.74),illnesses from (0.58),none
How is it possible that meat placed in our freezer several days ago is frozen rock hard while a package of Klondike Ice Cream bars placed at the same time are soft to the touch?,meat placed in our freezer several days ago is frozen rock hard while a package of klondike ice cream bars placed (0.99),same (0.64),none,soft (0.71),touch (0.47),none
How rare can you eat a steak?,steak (1.00),none,none,none,none,none
"What is the recommended meat that is ""aged"" for 30 days?",recommended meat (0.88),""" aged "" for (0.82)",days (0.85),30 (0.78),none,none
I’m 14 years old and I am a very picky eater. I don’t eat any vegetables or any meat that is partly cooked. The last time I ate a full vegetable was when I was 9. How can I bring myself to eat more foods?,very picky eater (0.93),vegetables or (0.89),full vegetable (1.00),meat (0.78),partly (0.93),cooked (1.00)
Are there any parts of the pig people don't eat?,pig people don't eat (0.91),none,none,none,none,none
What is baby venison called?,baby venison called (1.00),none,none,none,none,none
What can you eat with A5 Wagyu?,wagy (0.82),? (0.91),none,a5 (0.72),##u (0.52),none
Do people cook expensive steak like wagyu beef well done?,expensive steak like wagyu beef well done? (1.00),none,none,none,none,none
What are the factors affecting post-mortem changes in muscle and meat quality?,post - mortem changes in muscle and meat quality (1.00),none,none,factors (0.79),none,none
"When we thaw meat (or simmer it), is the reddish liquid that comes out blood?",tha (0.78),"meat ( or simmer it ), is (0.93)",reddish liquid that (0.79),none,none,none
Where can I buy a meat cleaver?,meat cleaver? (1.00),none,none,none,none,none
Is Black Angus beef grass fed?,black angus beef grass fed (1.00),none,none,none,none,none
Are Beyond Meat's sausages any good?,' s sausage (0.68),none,none,meat (0.79),##s (0.92),good (0.38)
Why are baby chickens killed in the meat industry? Why not wait until they grow up and have more meat on them?,baby chickens (1.00),meat industry (1.00),they (0.93),meat (1.00),none,none
Are bloody stools normal after eating red meat?,bloody stools (1.00),after eating red meat? (0.93),none,none,none,none
What signs are there of your body rejecting meat products?,body (0.44),products (0.86),none,signs (0.45),meat (0.94),none
Is frozen meat as tasty to cook as fresh meat?,##sty (0.62),as fresh meat (1.00),none,frozen (0.44),meat (0.83),ta (0.89)
"How do you prepare ""bread steak""?","bread steak "" (1.00)",none,none,none,none,none
Why are so many people obsessed with eating almost raw steak?,almost raw steak (0.98),none,none,eating (1.00),none,none
How many tacos will 1 pound of meat make?,##cos will (0.87),1 pound of (0.98),meat make (0.86),ta (1.00),none,none
What do you call a person who eats meat and vegetables?,meat and vegetables (0.98),none,none,none,none,none
I live in Florida and there's a huge demand for gator meat from the Chinese market. I have about 120 loyal Chinese customers. How can I grow my gator meat business to reach the 2 billion Chinese people?,florida (0.71),##tor meat from the chinese market (1.00),chinese customers (0.77),ga (0.62),120 (0.44),loyal (0.48)
Can a 12-year-old stop eating red meat? I want to have beyond meat instead of red meat. Would that affect my health in any kind of way?,12 - year - old stop eating red meat (1.00),meat instead of red meat (1.00),none,beyond (0.95),none,none
What​ are the health benefits of donkey meat?,donkey meat (1.00),none,none,none,none,none
Would a butcher ever sell vegan meat and does a vegan expect them to sell it?,butcher ever sell vegan meat (1.00),vegan (0.98),it (0.95),none,none,none
Can you eat raw ground beef?,raw ground beef (1.00),none,none,none,none,none
Do you have full meat pizzas?,none,none,none,full meat pizzas (1.00),none,none
Is it ok to eat a piece of meat from the store that had part of the plastic wrap torn off?,piece of meat from the store that had part of the plastic wrap (0.98),off (1.00),none,torn (0.90),none,none
"Chicken, beef, or pork, you can't eat one of these three meats again, which do you choose and why?","chicken, beef (0.98)","or pork, (0.67)","you can't eat one of these three meats again, (0.86)",none,none,none
How does a bite from the lone star tick cause an allergic reaction to meat?,bite from the lone star tick (0.98),allergic reaction (0.94),none,meat (1.00),none,none
What is the secret to moist meatloaf that holds its shape and doesn't fall apart?,moist meatloaf that holds its shape and doesn't fall apart (1.00),none,none,none,none,none
Should you remove the bone from steak before cooking?,bone from steak (1.00),none,none,cooking (0.68),none,none
Does Italian pizza have meat?,italian pizza (1.00),none,none,meat (1.00),none,none
"When grilling meats, is there any practical reason for giving them a quarter turn before flipping them, other than to leaving the crisscross grill (char) marks?",meats (1.00),quarter turn (0.99),them (0.98),practical (0.83),flipping (0.48),none
What does the world think about cultivated meat? What would be the possible advantages and disadvantages?,cultivated meat (1.00),possible advantages and disadvantage (0.88),none,##s (0.46),none,none
"If frozen chicken is left out for 24 hours, is it still cookable?",frozen chicken (0.99),left out (0.65),24 hours (0.80),none,none,none
What is the best cut of pork to use if you're going to shred it?,best (0.91),pork to use if (0.99),##red it (0.98),sh (0.71),none,none
"If there was an apocalypse, would strict vegans and vegetarians eat meat?",apocalypse (0.98),strict vegans and vegetarians (0.98),none,meat (0.91),none,none
Do people eat bear meat?,bear meat (1.00),none,none,none,none,none
How concerned should we be about lab-grown meat? Something about it makes me distinctly uncomfortable. Are my concerns reasonable?,lab - grown meat (1.00),none,none,it (0.63),none,none
Why is kosher salt better for dry brining meat than table salt?,kosher salt (1.00),for dry brining meat than table salt (0.95),none,none,none,none
Why do people in France not understand that I like well-cooked meat?,- cooked meat (0.97),none,none,well (0.95),none,none
How can you eat meat daily for free?,meat daily (1.00),none,none,none,none,none
Do consumers of animal products including meat eaters feel the moral obligation to honor the sacrifices paid by the animals which they consume?,animal products including (1.00),eaters (1.00),sacrifices (0.40),meat (0.71),moral obligation (0.79),honor (0.48)
Where is the best steak in Europe?,the (0.98),best steak (0.77),europe (0.54),none,none,none
Why is my lamb meat green?,lamb meat green (1.00),none,none,none,none,none
"What would life be like in a universe where instead of burying / cremating etc. the deceased, people close to them cooked and served their meat in order to honor their soul, like it was a ""parting gift"" to give away their body to be used as food?",universe (0.84),soul (0.76),""" (0.42)",life (0.44),burying / cremating etc. the deceased (0.92),meat (0.90)
Can Qurbani meat be given to non-Muslims?,qurbani meat (1.00),non - muslims (0.67),none,none,none,none
What happens to your body when you give up meat in a diet?,meat in (0.99),none,none,body (0.61),none,none
Do most Swedes enjoy whale meat like Norwegians?,swedes (0.89),whale meat like norwegians (1.00),none,none,none,none
Is Crocodile or Alligator meat very tasty? What does it taste like? How commonly eaten and how expensive to order at a restaurant? How compared to snake meat? Does it make you sick?,crocodile or alligator meat (1.00),tasty (0.98),it (0.98),how (0.43),it (0.73),none
What kind of meat is used in the Subway Cold Cut Trio sandwich?,subway cold cut trio sandwich (1.00),none,none,meat (1.00),none,none
Is eating 100 calories worth of chocolate the same as eating 100 calories worth of meat?,100 calories worth of chocolate (1.00),same (0.91),100 calories worth (1.00),meat (1.00),none,none
Is it okay to cook a vegetarian meal for someone who likes meat if your family is vegetarian?,vegetarian meal (1.00),someone (0.86),none,meat (1.00),family (0.58),none
Is it considered hypocritical for meat-eaters to accuse people of eating dogs?,hypocritical for meat - eaters (1.00),people (0.54),dogs (0.89),none,none,none
Does Europe BBQ brisket?,europe bbq brisket (1.00),none,none,none,none,none
How do I retain meat without using a refrigerator?,meat (1.00),none,none,using (0.97),refrigerator (0.97),none
"You were served with pork or beef, but you don't eat any kind of meat. You are hungry and you are the guest. What will you do? Why?",guest (0.49),none,none,pork or beef (1.00),kind (0.54),meat (0.64)
Is lizard meat beneficial for human health?,lizard meat (0.83),human health (0.70),none,none,none,none
How long is thawed pork good for?,thawed pork good for (0.97),none,none,none,none,none
Do you put ketchup on your steak?,ketchup on (0.95),steak (0.86),none,none,none,none
"Question to vegans. If animals died peacefully with no pain or harm, old age for example, would you still eat meat? I’ve asked TVT and she never replied.",vegans (0.62),animals died peacefully with no (0.93),age (0.55),"pain or harm, old (0.85)",tvt (0.68),none
Do cows eat meat?,cows (1.00),meat (0.98),none,none,none,none
Does a vegan diet have better effects on your health than one containing meat?,vegan diet (1.00),effects (0.99),health than (0.86),better (0.99),one (0.42),meat (1.00)
"Why do we call cow meat ""beef"" and pig meat ""pork"" but no matter the poultry we call it the name of the animal such as chicken or turkey meat?","cow meat "" beef "" and pig meat "" pork "" (1.00)",animal (0.45),or turkey meat (1.00),poultry (1.00),chicken (0.94),none
How long should one keep fresh fish and meat in the fridge without it being frozen?,fresh fish and meat in the fridge (0.99),none,none,it (0.99),frozen (0.97),none
How can you tell if cooked pork chops are bad?,cooked pork chops are bad (1.00),none,none,none,none,none
Is it okay to eat the fat of a steak?,fat (0.98),steak (1.00),none,none,none,none
What makes olive wagyu so rare?,olive wagyu so rare (1.00),none,none,none,none,none
Will I die if I eat only ground chicken once every week?,only ground chicken once every week (1.00),none,none,none,none,none
How do you feel about legalizing horse meat for consumption?,legalizing horse meat for consumption (1.00),none,none,none,none,none
"If meat is so bad for you, why do Japanese people live the longest despite eating a lot of meat?",bad (0.39),japanese people (0.98),longest (0.35),meat (0.74),meat (0.99),none
I'm a 15 years old girl and I stopped eating meat in February but my skin condition has gotten so much worse. I have more acne than I used to and my cheeks get red all the time. Does somebody know why?,15 years old girl (1.00),meat (0.99),february (0.77),skin (0.45),worse (0.37),acne (1.00)
"When you make meat patty with ground beef what can you put in and mix with the ground beef to make it flavorful? I'm thinking about salt, pepper, garlic powder, onion flakes and paprika",meat patty with ground beef what can (1.00),put in and mix with the ground beef to (0.99),it flavorful? (0.91),none,none,none
What makes fish rot so quickly compared to other types of meat?,fish rot so quickly compared (0.92),other types of meat (0.90),none,none,none,none
How do I roast a prime rib bone in?,prime rib bone in? (0.99),none,none,none,none,none
Will a vegan cook meat for others?,vegan (1.00),meat for others (1.00),none,none,none,none
"Is it true that steak-lovers often make fun of people who like their steak well-done? If so, why?",steak - lovers often (1.00),fun of people (0.92),well - done? (0.99),steak (0.90),none,none
What part of the cow is filet Mignon?,cow is filet mignon? (0.88),none,none,none,none,none
How much pulled pork and roast beef is needed for a party of 60 people?,party of 60 people (1.00),none,none,pulled pork and roast beef is (0.85),none,none
What meat goes best with pad thai?,goes best with pad thai? (0.77),none,none,meat (0.89),none,none
I thought pork was the most hated meat in the world because so many cultures or religions are negative towards it. How is it that it's the most consumed type of meat in the world?,pork (1.00),most hated (0.48),meat (0.43),cultures (0.57),religions (0.54),consumed (0.50)
How do people who do not eat meat supplement their daily protein intake?,supplement their daily protein intake (0.99),none,none,meat (0.75),none,none
Where is the best place to buy thick steaks since grocery stores are often cut too thin (and many butcher shops as well)?,thick steaks since grocery stores are often cut too thin ( and many butcher shops (1.00),well ) (0.98),none,none,none,none
Where can I buy ostrich meat?,ostrich meat (1.00),none,none,none,none,none
Do you like meat in your taco?,meat in your taco (0.94),none,none,none,none,none
What are the healthiest combinations of meat and vegetables?,healthiest combinations (1.00),and vegetables (1.00),none,meat (0.98),none,none
Can vegetarians make up every single nutrient they sacrifice by not eating meat? Or is there any nutrient that they HAVE TO sacrifice?,vegetarian (0.50),single nutrient (0.77),none,not (0.88),eating (0.51),meat (0.95)
What is the price of crocodile meat in Australia?,crocodile meat (1.00),australia (1.00),none,none,none,none
Is it healthy to consume goat meat on a daily basis?,goat meat (1.00),daily basis (1.00),none,none,none,none
Is lab-grown meat ecologically better?,lab - grown meat ecologically better (0.93),none,none,none,none,none
What is cutter meat?,none,none,none,cutter meat (0.70),none,none
Which countries produce the highest quality beef in the world?  Order by ranking officially? Let’s say top 20,highest quality beef in the world? order (0.90),top 20 (0.92),none,ranking officially (0.99),none,none
How do you wash your hands after handling raw meat?,hands (0.97),raw meat (0.72),none,none,none,none
Why is ribeye the most marbled steak?,ribeye (1.00),most marbled steak (0.86),none,none,none,none
"If a raw steak falls on the floor, would you still cook and eat it?",raw steak (1.00),the floor (0.89),it (0.97),none,none,none
How can meat production contribute to global warming when it's part of the biogenic cycle?,global warming when it (0.83),biogenic cycle (0.87),none,meat production (0.93),none,none
"Do meat pies exist much around the rest of the world, or are they a British thing?",meat pies (1.00),rest (0.72),british thing (0.90),none,none,none
Is it true that red meat and sugar can make people look older? What type of food makes people look younger/youthful?,red meat (0.85),sugar can make people (0.82),older (0.98),and (0.59),food (0.84),none
Does chicken parmigiana have ham in it?,chicken parmigiana (1.00),none,none,ham in it (0.82),none,none
When will the stigma of eating dog meat ever end?,stigma (0.47),dog meat ever (1.00),none,none,none,none
What does baby beef liver taste like?,baby beef liver taste (0.98),none,none,none,none,none
What are the advantages and disadvantages of Chicken meat?,advantages and disadvantage (0.51),chicken meat (1.00),none,none,none,none
Discuss the type and use of growth promoters feed additives in animal nutrition? What are your recommendations for using feed additives for milk enhancement in dairy and meat production in beef animals.,growth promoters feed additives in animal nutrition (1.00),feed additives for milk enhancement (1.00),and (0.99),type (0.65),dairy (0.82),meat (0.86)
Why do people say we need meat to survive when there are tons of vegans for many years and they're still fine?,meat to survive when there are tons of (0.97),##ns for many years (0.98),they (0.65),vega (0.71),fine (0.77),none
"Is writing like cooking? Cooked meat tastes better if it's been rested. Likewise, isn't our writing better if we let the first draft rest before we revise?",cooked meat tastes better (0.98),it (0.99),been rested (0.70),writing (0.89),cooking (0.75),rest (0.43)
Is it wrong to ask a vegetarian to cook meat for you?,meat (1.00),none,none,none,none,none
"Why do some foods, like chocolate or smoked meats, cause cravings for more of the same? Do they trigger some sort of biochemical response?",foods (0.83),chocolate or smoked meats (0.96),the (0.71),more (0.77),same (0.79),biochemical response (0.92)
What are the pros and cons of eating pork versus beef?,pros and con (0.80),pork versus beef (0.96),none,##s (0.50),none,none
How long can a dog go without eating meat?,dog (1.00),none,none,eating meat (0.98),none,none
What are the disadvantages of eating tiger meat?,tiger meat (1.00),none,none,none,none,none
Who uses Beyond Meat?,none,none,none,beyond meat? (0.96),none,none
Is there such a thing as meat intorelince?,meat intorelince (0.96),none,none,none,none,none
What kind of meat can be used as rendang?,rendang? (0.90),none,none,meat (0.92),none,none
"Can I get all my proteins from eggs as the only animal source (no meat, no fish, no dairy)?",proteins from eggs as the only animal source ( no (0.96),", (0.93)",", (0.87)",meat (1.00),no (0.40),fish (0.98)
What benefits do the 10 essential nutrients in beef provide to the human body?,10 essential nutrients in beef (0.98),human body (0.58),none,none,none,none
What is the red fluid that comes out of meat?,red (0.97),that (0.74),out (0.70),fluid (0.83),none,none
How much is Wagyu in Tokyo?,wagyu (0.95),tokyo (0.37),none,none,none,none
What are the most overpriced cuts of meat that people often buy from their local butcher?,most (0.69),##priced cuts of meat (0.99),local butcher (0.64),over (0.51),none,none
How thick should a Wagyu steak be?,wagyu steak (1.00),none,none,none,none,none
What are some tips for trying to give up meat?,meat (1.00),none,none,none,none,none
How many briskets can you get per cow?,per cow (0.98),none,none,briskets (0.88),none,none
Does milk take the gamey taste out of venison?,gamey taste out of venison (1.00),none,none,milk (0.93),none,none
How is Subway’s steak prepared?,subway ’ s steak prepared (1.00),none,none,none,none,none
Why do meat eaters have hate against vegans/vegetarians?,meat eater (1.00),vegans / vegetarians (0.71),none,hate against (0.99),none,none
"Why do people assume I am vegetarian just because I don't eat meat often? I still eat meat, I just don't eat it in every meal.",meat (0.64),meal (0.77),none,meat often (0.99),it (0.63),none
Is New Zealand lamb shipped frozen?,new zealand lamb shipped frozen (1.00),none,none,none,none,none
Would you date a meat eater?,meat eater (1.00),none,none,none,none,none
How do I make gravy from a beef roast?,gravy from a beef roast (1.00),none,none,none,none,none
"For those who have grown up vegetarian, how would you describe the taste of different meats (chicken, beef, pork, etc.)?","different meats ( chicken, beef, pork, etc. ) (0.93)",none,none,none,none,none
What are some ethical reasons that justify eating factory-farmed meat?,factory - farmed meat (1.00),none,none,ethical reasons (0.97),none,none
Why does the smell of meat make me so nauseated?,nausea (0.89),none,none,smell (0.53),meat (0.96),none
Does McDonald's have meat alternatives?,mcdonald's (1.00),none,none,meat alternatives (1.00),none,none
What part of the cow is beef brisket?,cow (1.00),beef brisket (0.88),none,none,none,none
How long does it take to raise a cow for slaughter?,cow for slaughter (1.00),none,none,none,none,none
How much boneless meat can we get from 1 kg of chicken?,from 1 kg of chicken (0.88),none,none,boneless meat (1.00),none,none
Does meat or chicken lose any of its nutrients when ground up?,meat (0.85),chicken (0.67),when ground up (0.58),nutrients (0.94),none,none
What makes a “gamey” taste in meat?,“ gamey ” taste in (0.99),none,none,meat (1.00),none,none
Does deer eat meat?,deer (0.98),meat (0.92),none,none,none,none
How do you make homemade meat tenderizer?,homemade meat tenderizer? (1.00),none,none,none,none,none
How do I cook a turkey with cheesecloth?,turkey with cheesecloth? (1.00),none,none,none,none,none
How rare is too rare for steak?,steak (0.98),none,none,none,none,none
Can I eat a raw steak that has been in the fridge for 7 days?,raw steak that has been in the fridge for 7 days (0.94),none,none,none,none,none
What would cause you to start eating lab grown mean vs. meat from an animal?,lab grown mean vs. meat from an animal (0.98),none,none,none,none,none
"What will it take for meat prices to go back to pre-covid, and why haven't they already?",meat prices (1.00),"- covid, (0.99)",they (0.50),pre (0.92),none,none
"Is it elitist to be vegan? If so, why?",eli (0.79),vegan (0.79),none,none,none,none
Is it ok to eat hot dogs right out of the package?,hot dogs right out of the package (1.00),none,none,none,none,none
Is eating meat good for you?,meat (0.98),none,none,none,none,none
Why does Taco Bell’s meat taste different?,taco bell ’ s meat taste (0.98),none,none,none,none,none
How long does it take to roast a beef tenderloin?,beef tenderloin? (1.00),none,none,none,none,none
Is chewy lamb undercooked or overcooked?,chewy lamb undercooked or overcooked? (1.00),none,none,none,none,none
How do I broil bone in pork chops?,bone in pork chops (1.00),none,none,none,none,none
Why is red meat bad for adult’s health?,red meat (1.00),adult ’ s health (0.98),none,none,none,none
How can you prepare stuffed pork chops?,stuffed pork chops? (1.00),none,none,none,none,none
What do you think of dog meat festivals in China? Are you horrified by this or do you respect this because you think its cultural and not your business?,dog meat festivals (1.00),china (1.00),its cultural (0.73),this (0.93),business (0.94),none
Do you think they should sell venison at the grocery store for a price?,venison at the grocery store (0.95),none,none,none,none,none
What do you look for when buying steak?,when buying steak (1.00),none,none,none,none,none
"Which plant-based ""meat"" product would you recommend for kids?","plant - based "" meat "" product (1.00)",kids (0.98),none,none,none,none
What are the health benefits of eating quail meat?,quail meat (1.00),none,none,health (0.51),none,none
Why do Westerners eat semi-raw meat that is covered with the meat's flowing red blood?,western (0.94),semi - raw meat that is covered with the meat's flowing red blood (1.00),none,none,none,none
How long does it take red meat to be digested?,red meat to be digested (0.92),none,none,none,none,none
Is it bad to eat meat cold?,meat cold (1.00),none,none,none,none,none
Are insects considered meat?,insects (0.67),meat (0.67),none,none,none,none
How do I cook bacon on George Foreman?,bacon on george foreman (1.00),none,none,none,none,none
How often do you eat meat?,meat (1.00),none,none,none,none,none
Is vegetarian food more effective for building muscles or meat?,muscles or (0.98),none,none,food (0.74),meat (0.70),none
How much meat is a quarter cow?,quarter cow (1.00),none,none,meat (1.00),none,none
Is bear meat salty?,bear meat salty (1.00),none,none,none,none,none
How do I cook beef cubes on a stove?,beef cubes on a stove (1.00),none,none,none,none,none
Do nutrition labels on raw meat packaging assume how much doneness the cooked meat will have?,labels (0.81),raw meat packaging (1.00),much doneness the cooked meat will have (0.97),nutrition (0.91),none,none
Why are some meats darker than others?,meat (0.79),than (0.60),none,##s darker (0.89),others (0.81),none
What do we call the people who eat meat and fish?,meat and fish (1.00),none,none,none,none,none
Are vegans okay with people who hunt for their own meat?,vegans (0.81),none,none,people (0.97),meat (0.70),none
"If I was smelling raw meat to see if it was rotten and accidentally got too close and some touched the mucous membranes in my nose, will I get sick?",raw meat (0.90),it was rotten and accidentally got too close and some (0.89),the mucous membranes in (0.81),touched (0.89),nose (0.48),none
Can I raise my kids as vegan even though I am myself a hardcore meat eater?,kids (0.99),vegan (0.99),hardcore meat eater (1.00),none,none,none
Which animal has the best meat to eat?,animal (0.66),the (0.59),none,best meat (0.61),eat (0.61),none
Would we die if we never ate meat?,meat (1.00),none,none,none,none,none
Why does meat taste like metal to me but not others?,meat (0.92),metal (0.74),none,others (0.67),none,none
Is burnt food such as pizza or meat cancerous to eat?,food (0.82),pizza or meat cancer (0.89),none,burnt (0.49),eat (0.98),none
How do you guys handle steaks that have been cut too thin (1”)?,steaks that have been cut too thin ( 1 ” ) (1.00),none,none,none,none,none
Why is crab meat considered halal?,crab meat considered halal (0.96),none,none,none,none,none
How much is a pound of ham?,pound of ham (1.00),none,none,none,none,none
Is turkey meat halal or haram?,turkey meat halal or haram (0.99),none,none,none,none,none
How often should we eat raw meat?,raw meat (1.00),none,none,none,none,none
Do you consider the steak pictured here burnt?,steak pictured here burnt? (1.00),none,none,none,none,none
What is the preferred choice of meat in South Korea?,preferred (0.92),meat (1.00),south korea (0.96),none,none,none
Can pineapple juice dissolve steak and/or other meats?,pineapple juice dissolve steak and / or other meats (1.00),none,none,none,none,none
Is eating a rare hamburger more risky or a rare steak?,rare hamburger more risky (1.00),rare steak (1.00),none,none,none,none
"Aging meat and cheese, how it doesn't spoil?",meat and cheese (0.92),it (0.77),none,how (0.38),spoil (0.60),none
How hardcore can a vegan or meat eater be?,hardcore (0.39),vegan or meat eater (1.00),none,none,none,none
"How does beef achieve ""A5"" status?",beef (0.99),""" a5 "" status (0.99)",none,none,none,none
How do I make beef liver taste good?,beef liver taste good? (0.94),none,none,none,none,none
"Which one is tastier, duck or chicken?","tastier, duck or chicken? (1.00)",none,none,none,none,none
How much is a pound of meat?,pound (1.00),none,none,meat (0.99),none,none
What are your thoughts on eating gene edited meat? Is there an ethical argument against it?,gene edited meat (0.86),none,none,ethical (0.90),none,none
Can I eat a Beyond Meat or Impossible Burger raw?,beyond meat or impossible burger raw (1.00),none,none,none,none,none
"Can a vegan also exclude ""plant-based meat"" or any type of alternative?",vegan (1.00),"plant - based meat "" or any type of alternative (0.99)",none,none,none,none
Is it safe to leave raw beef on the counter for hours prior cooking?,raw beef on the counter for hours prior cooking (0.94),none,none,none,none,none
Is it really healthier to be a vegetarian but then people say it’s also not and can get health issues with not eating meat from the lack of nutrients? Which one is better?,health (0.57),’ (0.40),also not (0.82),it (0.29),not (0.98),eating (0.76)
Does Target sell impossible meat?,impossible meat (0.82),none,none,target (0.65),none,none
Are we being tricked into eating vegetables? Vegetables use less resources to grow than meat does. Studies have proved that humans should not eat vegetables.,vegetables (1.00),vegetables (0.46),humans (0.80),less (0.65),resources (0.96),grow than (0.70)
"Why doesn't chicken skin stick to the meat anymore? It used to be hard to peel it off 20 years ago, now it's barely attached.",chicken skin (1.00),the (0.57),meat anymore (0.92),attached (0.87),none,none
Why do so many cults want their members to stop eating meat?,cult (0.92),meat (0.99),none,members (0.31),none,none
Why is horse meat illegal in Australia?,meat (0.53),australia (0.39),none,horse (0.68),none,none
Why do I feel nauseous when I eat red meat?,nauseous (0.76),red meat (1.00),none,none,none,none
What name is given to goat meat?,goat meat (1.00),none,none,none,none,none
How big of a taste difference is there between prime and choice grade beef?,taste difference (1.00),between prime and choice grade beef (0.90),none,none,none,none
How much similar is dog meat to mutton?,dog meat to mutton? (0.99),none,none,similar (0.98),none,none
What makes Wagyu beef different from other beefs?,wagyu beef different from other beefs (1.00),none,none,none,none,none
"When grilling steaks outdoors, which gives a better result, a propane grill or a charcoal grill?",steaks outdoors (0.99),"better result, (0.77)",propane grill or a (0.91),charcoal (0.94),none,none
I have been thinking about this for days now. Is the heart considered organ meat or muscle meat?,or (0.82),none,none,heart considered organ meat (0.69),muscle meat (0.86),none
What meats do I need to use to make pepperoni?,pepperoni? (1.00),none,none,meats (0.82),none,none
What are the the most consumed meats in the world?,the most consumed (0.80),meats in (0.70),none,none,none,none
What is your opinion on Beyond Meat launching meat-free chicken tenders in the United States?,beyond meat launching meat - free chicken tenders in the united states (0.97),none,none,none,none,none
"I'm from a strict Hindu vegetarian caste and I ate meat out of curiosity to try it and due to stupid reasons and accidently ate on an festival but I never really enjoyed it, How do I reconcile with this?",strict hindu vegetarian caste (1.00),meat out of curiosity to try it and due to (0.95),reasons (1.00),stupid (0.62),really (0.42),none
"Which is healthier, chicken sausage or turkey sausage?","healthier, chicken sausage or turkey sausage (1.00)",none,none,none,none,none
What would happen if I only ate steak?,steak (1.00),none,none,none,none,none
