utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
What are some interesting ways to cook eggs?,eggs (1.00),none,none,interesting (0.77),none,none
What are some good recipes that include tuna fish?,good (0.74),none,none,tuna fish? (0.99),none,none
How can I make cauliflower rice bearable to eat?,cauliflower rice bearable to eat (0.99),none,none,none,none,none
Does marinating a steak in beer before grilling it help to improve the flavor?,steak in beer before grilling it (1.00),none,none,marina (0.99),flavor (0.56),none
"How can I make my chicken stock more chicken-y without using bouillon stock cubes? I already used a whole chicken, onion, garlic, ginger and a Bay leaf and added salt.",chicken stock more chicken - y without (1.00),bouillon stock cubes (1.00),"whole chicken, onion, garlic, ginger and a bay leaf and added salt. (0.97)",using (1.00),none,none
How long does it take to bake a pizza at 400 degrees?,pizza at (1.00),degrees (1.00),none,400 (0.98),none,none
"Are there any methods of cooking whole or just the caps (stem removed) of baby bella/cremini, white button, and Portobello mushrooms without them either becoming very watery nor without being burnt and losing their flavor?","whole or just the caps ( stem removed ) of baby bella / cremini, white button, and portobello mushrooms (1.00)",very watery nor (1.00),none,them (1.00),either (0.51),becoming (0.50)
How do I cook fresh beets and greens?,fresh beets and greens? (1.00),none,none,none,none,none
Can you deep fry a cake?,cake (1.00),none,none,none,none,none
Which vegetables go well with chocolate?,vegetables (0.98),none,none,chocolate (1.00),none,none
What is the best food on the menu at Starbucks?,the best food (0.99),menu (0.51),starbucks (0.85),none,none,none
Can recipes be legally protected from being copied?,recipes (0.88),protected (0.40),none,being (0.90),copied (0.52),none
Should you melt butter when making a cake?,cake (1.00),none,none,butter (0.98),none,none
How do I spice up canned spaghetti sauce?,canned spaghetti sauce? (0.95),none,none,none,none,none
What goes great with a salad?,salad (1.00),none,none,none,none,none
Is slow cooking always the best way to cook brisket?,cooking (0.53),brisket (1.00),none,slow (0.87),none,none
How do I cook a beef shank center cut?,beef shank center cut (1.00),none,none,none,none,none
What dishes are better the day after they're cooked?,dishes (0.96),day after (0.53),cooked (0.49),none,none,none
How long do you bake filet mignon?,filet mignon? (0.94),none,none,none,none,none
"If chicken-fried steak is a thing, why isn't there steak-grilled chicken?",chicken - fried steak (1.00),thing (0.94),steak - grilled chicken (0.92),none,none,none
What is the most popular food dish in Norway?,popular (0.62),food dish (0.88),norway (0.58),none,none,none
How do you like to cook a turkey in the oven?,turkey in the oven (1.00),none,none,none,none,none
What's your favourite recipe for lamb? What would you have with the lamb?,lamb (1.00),none,none,lamb (0.81),none,none
How do I bottle maple syrup in glass?,maple syrup in glass? (1.00),none,none,none,none,none
How do I make halal chicken over rice?,halal chicken over rice? (1.00),none,none,none,none,none
"When preparing cakes in a professional bakeshop, what will most bakers use to measure their ingredients?",cakes (1.00),professional bakeshop (0.99),bakers (0.96),most (0.61),measure (0.60),ingredients (0.99)
"What are some ""must cook"" recipes for new chefs?",""" must cook "" (0.94)",new chefs (1.00),none,none,none,none
Can I substitute butter for shortening in a pie crust recipe?,butter (0.91),##ening (0.99),pie crust recipe (1.00),short (1.00),none,none
How do I use extra white boiled rice left after lunch?,extra white boiled rice left after lunch (1.00),none,none,none,none,none
Are you able to make Vietnamese foods from scratch at home?,vietnamese foods from scratch (1.00),none,none,none,none,none
French baguettes are delicious when fresh but by the next day they are stale. The only use I can think if is making croutons. What else can you do with a stale baguette?,french baguettes (0.99),delicious when fresh (1.00),next day they (0.67),none,none,none
What are the best pans to cook with and have food not stick to it or burn?,the best pans (0.97),with and have (0.81),not (0.84),food (0.58),stick (0.70),it (1.00)
How do I make a mash potato with cheese?,mash potato with cheese (1.00),none,none,none,none,none
Why do so many hamburger aficionados recommend 80/20 meat for making hamburgers?,hamburger aficionados recommend 80 / 20 meat for making hamburgers? (1.00),none,none,none,none,none
What is the difference between sushi soy sauce and regular soy sauce?,sushi soy sauce and regular soy sauce (1.00),none,none,none,none,none
How long do you cook a beef roast at 350 degrees?,beef roast at 350 degrees (1.00),none,none,none,none,none
Do you cook the pasta before baking it with pasta sauce and cheese?,pasta before baking it with pasta sauce and cheese (0.99),none,none,none,none,none
"Paula is making French Toast Casserole for her family's breakfast. She needs eight whole large eggs for the recipe. If she were converting the eggs into tablespoons, eight eggs would be equivalent to how many tablespoons?",paula (0.35),french toast casserole for her family's breakfast (1.00),whole large eggs for the (0.99),eight (0.82),none,none
How do I roast cornish hens in an oven?,cornish hens in an oven (1.00),none,none,none,none,none
How do you cover a cake with ganache?,cake (1.00),none,none,ganache? (1.00),none,none
How is a Little Caesars stuffed crust pizza made?,little caesars stuffed crust pizza made (1.00),none,none,none,none,none
How many 1/8 cups does it take to make a cup?,1 / 8 cups (0.97),cup (1.00),none,none,none,none
What is your favorite hot sauce to use with eggs?,favorite hot sauce to use with eggs (0.98),none,none,none,none,none
What are some recipes that are warm and cozy for cold weather that are not soup and curries?,cozy for cold weather that are not (0.64),and currie (0.70),none,warm and (0.80),soup (0.41),##s (0.98)
What is a dish I can make for 20 family members at a get together that they will remember and talk about for years?,dish (0.99),20 family members at a get together (0.99),they (0.85),none,none,none
What is the strangest ingredient that you like to add to your food to enhance flavor?,strangest (0.92),food to enhance flavor (0.93),none,ingredient (0.60),none,none
How do I bake a 10-pound turkey?,10 - pound turkey? (1.00),none,none,none,none,none
Is vanilla the finest of the flavors?,finest (0.75),the (0.70),flavors (0.62),vanilla (0.64),none,none
"What is worse, pineapple on pizza or mayonnaise on pizza?",pineapple on pizza or mayonnaise on pizza (1.00),none,none,none,none,none
What is the best way to cook beef brisket?,beef brisket? (0.97),none,none,none,none,none
"When making your pizza at home, how do you apply the toppings?",pizza (1.00),? (0.37),none,the (0.99),toppings (0.81),none
What is the best sandwich recipe for breakfast?,the best sandwich (1.00),breakfast (1.00),none,none,none,none
"As a chef or cook, what is your favorite dish to prepare at home?",chef (0.85),favorite dish (0.99),none,none,none,none
Can you mix peanut butter into a brownie mix?,peanut butter into a brownie mix (0.98),none,none,none,none,none
"Why do certain recipes for German potato salad suggest to serve it warm and not cold (potatoes, salad, cooking)?","german potato salad suggest to serve it warm and not cold ( potatoes, salad, cooking ) (1.00)",none,none,none,none,none
How do I make buttermilk from 2 milk?,buttermilk from 2 milk? (1.00),none,none,none,none,none
How do I make unsweetened cocoa powder sweetened?,unsweetened cocoa powder sweetened? (1.00),none,none,none,none,none
What are some at home recipes for an inner fungus?,at home (0.97),inner fungus (1.00),none,none,none,none
How do you make pancakes that do not taste terrible? What are your favorite recipes?,pancakes (1.00),favorite (0.46),none,taste (0.95),terrible (0.98),recipes (0.53)
How do you make an egg roll?,egg roll (1.00),none,none,none,none,none
What should you never do when barbecuing chicken?,barbecuing chicken? (1.00),none,none,none,none,none
How do I make a French onion dip easily?,french onion dip easily? (0.99),none,none,none,none,none
What is a pepita seed?,pepita seed (1.00),none,none,none,none,none
What meats do I need to use to make pepperoni?,pepperoni? (1.00),none,none,meats (0.82),none,none
How do you season your turkey for Thanksgiving?,turkey for thanksgiving (0.84),none,none,none,none,none
What makes white bread soft?,white bread soft (1.00),none,none,none,none,none
"When a recipe calls for a teaspoon or a tablespoon of something, is the default a level or heaping one if not specified?",recipe (0.92),teaspoon or a tablespoon of something (1.00),level or heaping one (1.00),default (0.54),specified (0.91),none
What is the most delicious toast? What is the recipe?,most delicious toast (0.93),none,none,none,none,none
What is the secret recipe in your country that only a few people know?,secret (0.99),country (0.34),none,none,none,none
Why did the center of my cake fall?,center (0.66),cake (1.00),none,none,none,none
What is the baking method of cooking?,baking (0.99),cooking (0.50),none,none,none,none
How do I thaw hash browns for a casserole?,tha (0.69),hash browns for a (0.90),casserole? (1.00),none,none,none
What is the easiest way to cook meatballs?,meatballs (1.00),none,none,none,none,none
Have you ever used a wrong ingredient while cooking that turned into a disaster?,wrong ingredient (0.98),that turned into a disaster (0.98),none,none,none,none
Does the butter brand matter in baking?,butter brand (1.00),none,none,baking (0.61),none,none
What are the best dishes to make that can sit out at room temp for a long time? How? Why?,the best dishes (0.99),that can sit out at room temp for (0.99),long time (0.97),none,none,none
"Are squirrels edible? How is it best to cook them, and how do they taste?",them (0.99),none,none,squirrels (0.70),taste (0.68),none
What are some of the different preferences in which people order their eggs to be cooked? What is the most popular preference that the vast majority of people prefer?,different (0.40),eggs (0.95),cooked (0.84),preferences (0.75),popular preference (0.48),none
How do I keep guacamole fresh and green?,guacamole fresh and green? (1.00),none,none,none,none,none
Is lasagna only one flavour? Pasta have so many flavours but I only can find the same one lasagna recipe.,lasagna (0.99),one (0.58),pasta (0.50),flavours (1.00),none,none
What's a recipe to make pancakes without milk?,pancakes (1.00),none,none,milk (1.00),none,none
Can you get enough of Greek cuisine?,greek cuisine (1.00),none,none,none,none,none
How do you detect the difference between all-purpose and plain flour?,difference (0.67),all - purpose and plain flour (1.00),none,none,none,none
Why do some bread recipes call for more yeast?,bread recipes (0.81),? (0.86),none,yeast (0.50),none,none
What are some great recipes with mint leaves?,none,none,none,mint leaves? (0.90),none,none
Can a German potato salad be served cold?,german potato salad (1.00),served cold (0.96),none,none,none,none
"What is Kakdi called in English, and is there a recipe?",kakdi called (0.77),english (0.48),none,none,none,none
How do you make thick crust pizza?,thick crust pizza (1.00),none,none,none,none,none
How do you apply fondant decorations to the side of a cake?,fondant decorations to the side of (1.00),cake (1.00),none,none,none,none
"Is there a good cooking channel that focus on authentic Italian food, preferably in English or with English subtitles?",good cooking channel (0.89),"authentic italian food, preferably in english or with english subtitles (1.00)",none,none,none,none
How do you cook steak fajitas without the meat being too tough?,steak fajitas (1.00),none,none,the (1.00),meat being (0.75),tough (0.95)
How do I make chili Mac and cheese?,chili mac and cheese (1.00),none,none,none,none,none
Can I replace stout in a cake recipe with milk?,cake (1.00),none,none,stout (0.74),milk (1.00),none
Which Italian region has the tastiest cuisine?,italian region (0.63),none,none,tastiest cuisine (0.88),none,none
Why does homemade fried rice never taste the same as fried rice from a Chinese restaurant? Am I missing some secret ingredient or method?,homemade fried rice never taste the same as fried rice from a chinese restaurant (1.00),ingredient or (0.63),none,secret (1.00),method (0.94),none
What is the best recipe that you have seen on a video clip?,the best (1.00),video clip (0.99),none,none,none,none
How do I make granola bars with granola?,granola bars with granola? (1.00),none,none,none,none,none
How do I cook a 5lb beef tenderloin?,5lb beef tenderloin? (1.00),none,none,none,none,none
How do I make chicken fajitas at home?,chicken fajitas (1.00),none,none,none,none,none
What meat goes well with baked beans?,none,none,none,meat (0.96),baked beans (1.00),none
How do I cook jalapenos on the stove?,jalapenos on the stove (1.00),none,none,none,none,none
How do you keep lobster meat from sticking to the shell?,lobster meat from sticking to the shell (0.99),none,none,none,none,none
What is your method for making bread pudding?,bread pudding (1.00),none,none,none,none,none
What are your favorite seasonings or toppings you like to use when making roasted vegetables?,favorite seasonings or toppings (0.99),roasted vegetables (0.91),none,none,none,none
How do I make caramel without brown sugar?,caramel without (1.00),sugar (1.00),none,brown (1.00),none,none
"Why are truffles so expensive, and do they really make a difference in food?",##uffles (0.67),difference (0.47),none,tr (0.96),expensive (0.52),food (1.00)
Why do some recipes call for a specific variety of rice?,specific variety of rice (1.00),none,none,recipes (0.98),none,none
Can I bake pizza on wax paper?,pizza on wax paper (0.99),none,none,none,none,none
Why is roasting vegetables the best way to cook them?,roast (0.95),vegetables (0.99),best (0.75),none,none,none
What are the best deal management systems for private equity and venture capital firms to identify potential companies and manage the deal process internally?,the best deal management (1.00),private equity and venture capital firms (1.00),potential companies (0.89),internally (0.76),none,none
How can you replicate a restaurant quality Caesar salad at home?,restaurant quality caesar salad (1.00),none,none,none,none,none
How do I cook a rib eye roast in the oven?,rib eye roast in the oven (1.00),none,none,none,none,none
What tastes better when it's not made properly?,when it (0.48),properly (0.45),none,made (0.54),none,none
How do I make curly fries by hand?,curly fries (1.00),none,none,none,none,none
What can you use instead of baking powder for pancakes?,baking powder for pancakes (0.99),none,none,none,none,none
"I love baking and cooking, but I can't bake or cook anything. I can't even make a doughnut. What do I do?",bake or cook anything (0.83),doughnut (1.00),none,baking (1.00),cooking (0.83),none
How do I cook a 3 lb roast beef?,3 lb roast beef? (1.00),none,none,none,none,none
What happens to the mind with consciousness after spiritual awakening?,mind with consciousness after spiritual awakening (0.89),none,none,none,none,none
What is a good way to sweeten marinara sauce without sugar?,sweeten marinara sauce (1.00),none,none,sugar (1.00),none,none
How long does it take to cook chicken parmesan in an air fryer?,chicken parmesan in an air fryer (1.00),none,none,none,none,none
Which dish do you default to when you have no ideas on what to cook?,none,none,none,dish (0.40),ideas (0.74),what (0.83)
How long do you cook little smokies?,little smokies? (1.00),none,none,none,none,none
Can you mix Hennessy with Sprite?,hennessy with sprite (1.00),none,none,none,none,none
What are the easiest dishes to make that would look most impressive to a guest?,would look most impressive (0.91),guest (0.66),none,none,none,none
Can you cook Progresso soup in the can?,progresso soup in the can (1.00),none,none,none,none,none
How do you make instant noodles feel like an elite meal?,instant noodles feel like an elite meal (1.00),none,none,none,none,none
What is Yakitori sauce made of?,yakitori sauce made of (1.00),none,none,none,none,none
How do you keep your nachos from getting soggy in the oven?,nachos from getting soggy in the oven (1.00),none,none,none,none,none
Do I have to have cinnamon to bake an apple pie? Why couldn’t I just mix sugar in with the apples and that’s it then fill it in the pie?,ba (0.97),apple pie (1.00),sugar in with the apples and that ’ (0.87),cinnamon (1.00),none,none
How do I make icing sugar for cakes?,icing sugar for cakes (1.00),none,none,none,none,none
What are some of your favorite recipes?,favorite (0.96),none,none,none,none,none
How do I make buttermilk from sweet milk?,buttermilk from sweet milk? (1.00),none,none,none,none,none
How do you cook foods that you hate?,foods (1.00),none,none,none,none,none
Do you prefer to make your own pizza or buy it from a pizzeria? Why or why not?,pizza (1.00),it from a pizzeria (0.94),none,why (0.55),why (0.39),none
"What recipes do you routinely use more garlic cloves in than called for, and why?",garlic cloves in than called for (0.97),none,none,", (0.61)",none,none
How much sugar can you reduce from a cake recipe?,cake (1.00),none,none,sugar (1.00),none,none
What is an easily made and healthy dish for dinner?,easily made and healthy dish (1.00),dinner (1.00),none,none,none,none
What is your go-to 'save it from the trash’ recipe?,go - to'save it from the trash ’ (1.00),none,none,none,none,none
Guy is making Bananas Foster for dessert. The recipe calls for one quart of ice cream. How many cups of ice cream is Guy going to get from one quart of ice cream?,guy (0.40),bananas foster for dessert (1.00),recipe (0.99),none,none,none
Can you bake a bundt cake in a 9x13 pan?,bundt cake in a 9x13 pan (1.00),none,none,none,none,none
What are some healthy recipes for a fussy baby?,fussy baby? (1.00),none,none,healthy (0.94),none,none
What's the best thing you can make with a tomato?,best thing (0.80),with a (0.99),tomato? (0.84),none,none,none
How do you preserve tomatoes?,tomatoes (1.00),none,none,none,none,none
How do I make orange juice with oranges?,orange juice with oranges? (1.00),none,none,none,none,none
How do I make sure that my shrimp dumpling is not overcooked?,shrimp dumpling (1.00),##cooked? (0.98),none,over (0.99),none,none
What is your favorite potato dish recipe?,favorite potato dish (1.00),none,none,none,none,none
Is there a dish that requires months or years before it's ready to eat?,dish (0.99),none,none,months or years before it (0.86),eat (0.96),none
What are the main ingredients required for making a tempting shawarma at home?,ingredients (0.67),tempting shawarma (1.00),none,main (0.90),none,none
What are incredible vegetarian recipes that will make you forget about meat?,vegetarian (0.78),none,none,meat (1.00),none,none
How do I make spicy sauce for sushi?,spicy sauce for sushi? (1.00),none,none,none,none,none
How long does it take to bake hamburgers at 350?,hamburgers at 350? (0.90),none,none,none,none,none
I'm a South African currently living overseas. Can anyone help me with a traditional boerewors recipe?,south african (1.00),overseas (0.99),traditional boerewors (1.00),none,none,none
How do I make a sugar scrub at home?,sugar scrub (1.00),none,none,none,none,none
How do I make a perfect sunny side up every time?,perfect sunny side up every time (1.00),none,none,none,none,none
What is the best way to cook silverside?,silverside? (1.00),none,none,none,none,none
How long does it take to bake a cured ham?,cured ham (1.00),none,none,none,none,none
I am getting burned out on chocolate flavored desserts. What is the second most popular flavor that comes to desserts?,chocolate flavored desserts (1.00),second most popular flavor that (0.82),desserts (0.93),none,none,none
What is your cooking secret ingredient?,cooking secret ingredient (0.99),none,none,none,none,none
"Is it true that if someone attempts to grill frozen brats and hamburgers on the grill without unthawing them first, they will most likely burn the outside but leave the inside uncooked?",frozen brats and hamburgers on the grill (1.00),them first (0.96),uncooked? (0.55),unthawing (0.97),outside (0.62),inside (0.82)
What are the different types of pizza dough?,pizza dough (1.00),none,none,none,none,none
Can beef marinate in lemon juice longer than two hours?,beef marinate in lemon juice longer than two hours (0.98),none,none,none,none,none
What cooking ingredients should you always have?,none,none,none,cooking ingredients (0.96),none,none
"If you could make a new pizza roll flavor, what would you make?",new pizza roll flavor (1.00),what (0.88),none,none,none,none
How do you make blueberry pie filling from scratch?,blueberry pie filling from scratch? (0.97),none,none,none,none,none
What are some of the common Russian cuisines / dishes?,common russian cuisines / dishes (1.00),none,none,none,none,none
How do I make beef liver taste good?,beef liver taste good? (0.94),none,none,none,none,none
What is the best way to cook skinless chicken thighs?,skinless chicken thighs (1.00),none,none,none,none,none
What's the worst ingredient you have ever cooked with?,worst (0.55),cooked (0.46),none,ingredient (0.73),none,none
How do I use oyster sauce with shrimp?,oyster sauce with shrimp? (1.00),none,none,none,none,none
I have never eaten such delicious eggs. What is a simple and easy breakfast?,delicious eggs (1.00),simple and easy breakfast (1.00),none,none,none,none
Can you ferment your salad dressings?,fe (0.64),salad dressings (1.00),none,none,none,none
Can you use protein pancake mix for waffles?,protein pancake mix for waffles (1.00),none,none,none,none,none
"How do people do ""super fine"" garlic dice?",""" super fine "" garlic dice? (1.00)",none,none,none,none,none
How do you know when cocoa powder has spoiled?,cocoa powder has spoiled? (0.99),none,none,none,none,none
Are there any recipes that can't properly be made vegan?,' (0.67),be made vegan (0.96),none,t properly (0.41),none,none
What ingredient do you always add more than is called for in a recipe?,more than is called (0.69),in (0.56),none,ingredient (0.50),for (0.40),none
What makes an angel food cake have no fat?,angel food cake (1.00),? (1.00),none,no (0.99),fat (1.00),none
Is black pudding like summer sausage?,black pudding (0.99),summer sausage (1.00),none,none,none,none
What are the basic ingredients to make a delicious soup?,delicious soup (1.00),none,none,basic (0.71),none,none
What is the easiest way to make a pizza at home?,pizza (1.00),none,none,none,none,none
Why isn't homemade pizza as good as a pizza joint one?,homemade pizza (1.00),good as a (1.00),pizza joint one (0.96),none,none,none
What are some simple cooking tips that can make a quick and easy dish taste better?,quick and easy dish taste better (1.00),none,none,simple cooking tips (0.89),none,none
Why do I find it so exhausting to cook and eat?,none,none,none,none,none,none
What is the most interesting pizza topping you have had at a pizzeria?,most (0.93),pizza topping (0.98),pizzeria (0.92),interesting (0.36),none,none
What is a good substitute for adobo sauce?,adobo sauce (1.00),none,none,none,none,none
How do I make my fried hot wings stay crispy when sauced?,fried hot wings stay crispy when sauced? (0.99),none,none,none,none,none
How long does it take to cook a pecan pie?,pecan pie (1.00),none,none,none,none,none
Are Beyond Meat meatballs any good?,none,none,none,meat meatballs (0.83),good (0.47),none
Have you ever tried to follow a recipe from a cooking show? What happened?,recipe (1.00),cooking show (1.00),none,none,none,none
How do I cook a sirloin tri-tip steak?,sirloin tri - tip steak? (1.00),none,none,none,none,none
What are some toppings that do not go well with pizza?,with (0.34),none,none,toppings that (1.00),go well (0.74),pizza (0.99)
Is it okay to use dried herbs when recipes call for fresh?,dried herbs when recipes call (1.00),? (1.00),none,fresh (0.99),none,none
Is cranberry sauce actually a sauce?,cranberry sauce (1.00),sauce (0.88),none,none,none,none
What is the biggest no-no when making fried rice?,biggest no - no when making fried rice? (0.97),none,none,none,none,none
"What are some typical homemade dishes, that Greeks eat for dinner. What does a typical Greek dinner table look like? What sort of dishes are very typical in a Greek household?","typical homemade dishes, that greeks eat for dinner (0.97)",typical greek dinner table look (0.99),dishes (1.00),none,none,none
Do you prefer baked or fried chicken wings?,baked or fried chicken wings (1.00),none,none,none,none,none
How do I make tofu taste like steak?,tofu taste like steak (1.00),none,none,none,none,none
Can you use a dessert syrup instead of flavouring? I need a Raspberry flavouring to mix in with white chocolate or an alternative.,dessert syrup instead of flavouring (1.00),raspberry flavouring to mix in with white chocolate (1.00),an alternative (0.92),none,none,none
What do I do with a pork belly?,pork belly (1.00),none,none,none,none,none
How long does it take to cook pasta in the microwave?,pasta in the microwave? (1.00),none,none,none,none,none
What are five-ingredient dishes under 350 calories?,five - ingredient dishes (1.00),calories? (0.98),none,350 (0.98),none,none
What are some cheap body building foods?,cheap body building foods (0.98),none,none,none,none,none
How much is 16 oz of pasta?,16 oz of pasta (1.00),none,none,none,none,none
How do you make bread lighter and fluffy?,bread lighter and fluffy? (1.00),none,none,none,none,none
How can you make a homemade pizza stone?,homemade pizza stone (1.00),none,none,none,none,none
How long do you cook lamb chops?,lamb chops (1.00),none,none,none,none,none
What type of dish would you create at a luxurious feast with only vegetables and fruits?,dish (0.96),luxurious feast with only vegetables and fruits (0.88),none,none,none,none
What is the best recipe in your arsenal?,the best (1.00),arsenal (0.43),none,none,none,none
"What is your best ""poor people food"" recipe?","best "" poor people food "" (1.00)",none,none,none,none,none
What is the perfect amount of time to marinate meat before cooking?,perfect (0.97),meat (0.99),none,time (0.99),marinate (0.74),cooking (0.95)
Why do some bread recipes call for a second rise?,bread recipes (1.00),second rise (1.00),none,none,none,none
How do I cut beef for stir fry?,beef for stir fry (1.00),none,none,none,none,none
How long does it take to cook oatmeal in a microwave?,oatmeal in a microwave (1.00),none,none,none,none,none
What is your favourite dish that can be made with the cheapest of ingredients?,dish (0.99),made with the cheapest of ingredients (0.96),none,none,none,none
How do I steam kale without a steamer?,kale (0.73),none,none,steamer (1.00),none,none
What dish is absolutely unique to where you live?,dish (0.36),none,none,none,none,none
Which is your favorite spread to put on toast or bagels?,spread (0.73),toast or bagels? (1.00),none,none,none,none
What are some at home recipes for an inner toenail fungus?,at home (0.95),inner toenail fungus (1.00),none,none,none,none
"Will parboiling a potato with the skin on before I microwave it make it less lumpy? If so, how long should it be parboiled, or is there something better to get a quicker baked potato?",##bo (0.68),potato with the skin on before i microwave it (1.00),it less lumpy (1.00),par (0.98),par (0.99),none
How do I make thin flat burger patties?,thin flat burger patties? (0.97),none,none,none,none,none
Can I use celery flakes instead of celery?,celery flakes instead of celery (1.00),none,none,none,none,none
What type of cake is made without additional fat?,cake (1.00),none,none,additional fat (1.00),none,none
"How do you make a super chewy and fudgy brownie that's not too sweet? All the recipes I've looked at contain at least a cup of sugar, and my family doesn't really like treats that are too sweet.",super chewy and fudgy brownie that's not too sweet (1.00),cup of sugar (1.00),family (0.85),too (0.93),none,none
