utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
What would be a good non-dairy butter substitute for preparing a steak?,good non - dairy butter substitute for (1.00),steak (0.99),none,none,none,none
How do you crush grains at home?,grains (0.97),none,none,none,none,none
Have you ever cooked the eggplant like this? I can never stop cooking eggplant.,eggplant (1.00),this (0.80),eggplant (0.98),none,none,none
"What kind of meat should be used for fondue, and why?","fondue, and why (0.84)",none,none,meat (0.96),none,none
Can you grill and barbecue when it is raining outside?,when it (0.67),raining outside (0.85),none,none,none,none
How would you prepare the fastest and tastiest summer meal in a few minutes?,the fastest and tastiest summer meal (1.00),a few minutes (1.00),none,none,none,none
Do you use the same amount of pure vanilla as vanilla extract?,pure vanilla as vanilla extract (1.00),none,none,none,none,none
"Do you have to peel potatoes for a soup? E.g. Scotch Broth. When I bake potatoes I leave the skin on, that's the best bit isn't it?",potatoes for (1.00),soup? e. g. scotch broth. (1.00),bake potatoes i (0.97),skin (0.83),none,none
Has anyone ever tried heating or reheating food in a microwave using cooking oil?,or reheating food in a microwave using cooking oil (0.98),none,none,heating (0.99),none,none
Should I blanch vegetables before roasting?,vegetables before roasting (0.99),none,none,none,none,none
How large in diameter should one’s frying pan be for stir fry?,diameter (0.64),one ’ s frying pan (1.00),for stir fry (0.94),none,none,none
What are your techniques in cooking eggs to be delicious?,eggs to be delicious (1.00),none,none,none,none,none
What are some simple cooking tips that can make a quick and easy dish taste better?,quick and easy dish taste better (1.00),none,none,simple cooking tips (0.89),none,none
How can you incorporate leftover broccoli into other recipes?,leftover broccoli into other recipes (1.00),none,none,none,none,none
Is it worth getting canned whole tomatoes to then immersion blend them?,canned whole tomatoes to then immersion blend them (1.00),none,none,none,none,none
What if a recipe calls for two eggs but you have only one?,two eggs (1.00),none,none,one (0.99),none,none
How do you make blueberry pie filling from scratch?,blueberry pie filling from scratch? (0.97),none,none,none,none,none
How do I cook a 20 lb ham?,20 lb ham? (1.00),none,none,none,none,none
How do I bake a tri-tip roast?,tri - tip roast (1.00),none,none,none,none,none
"Is it really necessary to soak the potatoes in water, before putting them in the oven/pan?","potatoes in water, (1.00)",them (0.71),oven / pan (0.99),none,none,none
"When trying to sear a steak on the pan, is it best to have the pan as hot as possible before putting the steak on or cold?",steak on the pan (1.00),pan as hot as possible (0.86),steak (0.96),or (0.50),none,none
How do I avoid splatter when cooking with oil?,splatter when cooking with oil (1.00),none,none,none,none,none
What's the best method for removing fat off a whole chicken?,best (0.45),fat off a whole chicken? (0.99),none,none,none,none
How long should dry beans be soaked before cooking?,dry beans (1.00),soaked before (0.58),none,cooking (0.81),none,none
How many cloves of garlic should you use for one portion of pasta sauce?,cloves of garlic (1.00),one portion of pasta sauce (1.00),none,none,none,none
How do I cook a country cured ham?,country cured ham? (1.00),none,none,none,none,none
Can I use pasta sauce instead of tomato sauce?,pasta sauce instead of tomato sauce (1.00),none,none,none,none,none
How do I cook a petite tender beef filet?,petite tender beef filet? (1.00),none,none,none,none,none
How can you fix it when you overproof your pizza dough?,overproof your pizza dough (0.99),none,none,none,none,none
What is the best way to fix Yukon Gold potatoes?,yukon gold potatoes (1.00),none,none,none,none,none
How do I cook garlic in the microwave?,garlic in the microwave? (1.00),none,none,none,none,none
When I don't have an egg tray or egg carton how to carry eggs without breaking them?,egg tray or egg carton how to carry eggs (1.00),them (0.77),none,breaking (1.00),none,none
What is the most practical way to steam rice?,rice (1.00),none,none,none,none,none
What is the most difficult way to cook an egg?,egg (1.00),none,none,none,none,none
Is it okay to let the chicken marinate for 15-20 minutes before cooking?,chicken marinate for 15 - 20 minutes (1.00),none,none,cooking (0.85),none,none
Is dry ginger an option for fresh ginger in recipes?,ginger (1.00),fresh ginger in recipes (1.00),none,dry (0.86),none,none
What do you call foods cooked in a frying pan?,foods cooked in a frying pan (1.00),none,none,none,none,none
What is the best way to not have dough stick to your hands as you’re kneading it?,dough stick to (0.71),hands as (0.91),knead (0.98),none,none,none
Help! I forgot to put onions in my meatloaf. Meatloaf is already done so I cut it in half and stuffed raw onions in it. How long before onions are cooked on 375 in oven without overcooking meatloaf?,onions in my meatloaf. meatloaf is already done (1.00),it in half (0.80),stuffed raw onions in it (0.88),over (1.00),##ng (0.92),none
"Why should you gently fry/infuse your olive oil with garlic (or lime zest/salt etc.) and not the meat directly that you're pan-frying (cooking, technique, flavor, aroma, food science)?",fry (0.95),infus (0.99),olive oil with garlic ( or lime zest / salt etc. ) and (1.00),meat (1.00),none,none
What are some uncomplicated ingredients that can really make a boring dish tasty?,can really make (0.89),boring dish tasty (0.97),none,uncomplicated ingredients that (0.95),none,none
"What's a good, lightweight solution for portable cookware?","good, lightweight solution (1.00)",portable cookware (1.00),none,none,none,none
How long does steak last after being cooked?,steak (1.00),cooked (0.45),none,none,none,none
How do I cook a sirloin steak medium rare?,sirloin steak medium rare? (1.00),none,none,none,none,none
What can you cook in a multicooker?,multicooker (1.00),none,none,none,none,none
Why does ground beef get tougher the more it’s handled prior to cooking?,ground beef (1.00),##er the more it ’ s handled prior (0.93),none,tough (0.66),cooking (0.96),none
What is the difference between broiling and braising?,broiling and braising (1.00),none,none,none,none,none
Does a roasting pan have to have a lid to cook a large stuffed turkey properly?,roasting pan (1.00),large stuffed turkey properly (1.00),none,lid (1.00),none,none
Can you leave pizza dough to rise for hours?,pizza dough (1.00),rise for hours (0.99),none,none,none,none
How do I cook a 6-pound chicken?,6 - pound chicken? (1.00),none,none,none,none,none
What ingredients can be added to pasta dough to give it more flavor?,pasta dough (1.00),it (0.97),none,ingredients (0.99),flavor (0.49),none
What's your cooking tip that sounds gross but is actually amazing?,cooking tip that sounds gross but is actually amazing (0.98),none,none,none,none,none
What can you add to make your oatmeal tastier?,oatmeal tastier (1.00),none,none,none,none,none
How long do you cook string beans?,string beans? (1.00),none,none,none,none,none
How long does it take to cook pork at 350?,pork at 350? (1.00),none,none,none,none,none
What is the best way to clean a roasting tray/baking tray that has sauce burned onto it?,roasting tray / baking tray that has (1.00),burned onto (0.89),none,sauce (0.98),none,none
How do I cook a pork blade roast?,pork blade roast (1.00),none,none,none,none,none
"When you cook, do you often spice up your preparations? If so, what kind?",preparations (0.83),so (0.40),none,kind (0.34),none,none
"Can popcorn be made out of any kind of corn? If so, why don't we do that more often?",popcorn (1.00),made out of any kind of corn (0.99),often (0.55),none,none,none
"As a cooking enthusiast, what is one thing you absolutely could not do without in the kitchen?",cooking (1.00),absolutely could not (0.45),none,in (0.96),kitchen (0.63),none
With what do you balance a dish that turned out more spicy than you planned?,dish (1.00),out more spicy than (0.74),none,turned (0.98),none,none
How do I boil eggs to make them easy to peel?,eggs (1.00),them (0.99),easy to peel (0.91),none,none,none
What do you add to powdered gravy to make it better?,powdered gravy to (1.00),it better (0.98),none,none,none,none
Does the way you prepare garlic impact its flavor?,garlic impact its flavor (1.00),none,none,none,none,none
How long does it take to cook oatmeal in a microwave?,oatmeal in a microwave (1.00),none,none,none,none,none
How do you soften tough corned beef?,soft (1.00),tough corned beef (1.00),none,none,none,none
How can I make ham taste more interesting? The hams I cooked are usually very plain.,ham taste more interesting (1.00),hams (0.96),none,plain (0.62),none,none
How often do you cook a slow stew?,slow stew (1.00),none,none,none,none,none
How long does it take to reheat pasta in a microwave?,reheat pasta in a microwave (0.94),none,none,none,none,none
Can rice be cooked in a pressure cooker?,rice (0.99),pressure cooker (1.00),none,none,none,none
Is there any benefit of sous vide in butter?,vide in butter (0.93),none,none,sous (0.73),none,none
How do I cook a tender chicken breast?,tender chicken breast? (1.00),none,none,none,none,none
How do I cook tamales on the stove?,tamales on the stove (1.00),none,none,none,none,none
How long do you soak kidney beans?,kidney beans? (1.00),none,none,none,none,none
How much uncooked rice makes 1 cup cooked?,1 cup cooked? (1.00),none,none,uncooked rice makes (0.87),none,none
How do I cook a pork Boston butt steak?,pork boston butt steak? (1.00),none,none,none,none,none
Can pizza dough be made in advance?,pizza dough (1.00),made in advance (0.86),none,none,none,none
What are the advantages of brining a turkey?,turkey (1.00),none,none,br (0.95),none,none
How do I make Mac and cheese cheesier?,mac and cheese cheesier? (1.00),none,none,none,none,none
What did you cook last week?,last week (0.88),none,none,none,none,none
What cheap nice food can I cook on a budget?,cheap nice food (1.00),none,none,none,none,none
What can I do to drain my vegetables from the oil that I used too much of?,vegetables from the oil that (1.00),used (0.77),much of (0.70),none,none,none
How do I cook cabbage in a pot?,cabbage in a pot? (0.96),none,none,none,none,none
What are the best stocks you can use while cooking lamb?,lamb (0.99),none,none,best stocks (0.81),none,none
How long should a rub stay on meat before cooking?,rub stay on (1.00),meat before (0.84),none,cooking (0.76),none,none
How long does it take to cook uncooked chicken tenders?,uncooked chicken tenders (1.00),none,none,none,none,none
How do I cook chicken on a traeger?,chicken on a traeger? (1.00),none,none,none,none,none
How long do you let charcoal burn before cooking?,charcoal burn before cooking (0.98),none,none,none,none,none
How do I use a power pressure cooker?,power pressure cooker (1.00),none,none,none,none,none
How do I make my homemade yogurt less sour?,homemade yogurt less sour? (1.00),none,none,none,none,none
How do you cook steak fajitas without the meat being too tough?,steak fajitas (1.00),none,none,the (1.00),meat being (0.75),tough (0.95)
Why is it important to cut vegetables into a uniform size before cooking?,vegetables into a uniform size (0.94),none,none,cooking (1.00),none,none
How do I cook on a cast iron griddle?,cast iron griddle? (1.00),none,none,none,none,none
Is steak better if cooked in a stone/wood fired oven?,steak (0.80),cooked (0.78),stone / wood fired oven (1.00),none,none,none
How do I thicken pasta sauce without cornstarch?,thick (0.74),pasta sauce (0.93),none,cornstarch (1.00),none,none
How do you cook spinach without losing nutrients?,spinach (1.00),nutrients (1.00),none,losing (1.00),none,none
"Can you slow roast a Strip Steak to make it more tender? Our grocers meats are pretty bad, tasteless and tough. I've tried Sous Vide, reverse sear, brining and roasting . . . looking for the roasting trick to work.",strip steak (1.00),it more tender (1.00),our grocers meats (1.00),none,none,none
Can I use any chili paste as a substitute for sambal?,chili paste (1.00),sambal (0.98),none,none,none,none
How could you prepare an appetizing bruschetta in a few minutes?,appetizing bruschetta (1.00),a few minutes (0.91),none,none,none,none
What is your favorite ketchup recipe and/or unique recipe item for your ketchup?,favorite ketchup recipe and / or unique recipe item for (0.97),ketchup (1.00),none,none,none,none
Do different cooking methods affect meat taste?,meat taste (0.71),none,none,cooking methods (0.91),none,none
How long do you cook a medium rare steak on the stovetop?,medium rare steak on the stovetop (1.00),none,none,none,none,none
What are some safety precautions for cooking?,cooking (0.62),none,none,safety precautions (0.99),none,none
Can ragù be used for dishes that don't contain pasta?,dishes (1.00),none,none,ragu (0.99),pasta (1.00),none
How do I cook a pork shoulder roast?,pork shoulder roast? (0.92),none,none,none,none,none
What are the mistakes not to make because they would spoil the clams before cooking?,mistakes (0.84),because they would spoil the clams before (0.81),none,cooking (0.90),none,none
How long does it take to pressure cook a pork roast?,pork roast (1.00),none,none,none,none,none
How do you make bacon not crispy?,bacon not crispy? (1.00),none,none,none,none,none
How do I prepare steak on the stove?,steak on the stove (1.00),none,none,none,none,none
Can You cook sardines (canned) in many ways?,sardines ( canned ) in many ways (1.00),none,none,none,none,none
What is the best technique to ensure pan-fried sandwiches (e.g. a reuben) does not fall apart when you flip it?,pan - fried sandwiches ( e. g. a reuben ) does not fall apart when (1.00),it (0.85),none,none,none,none
How much rice should I cook for 4?,for 4? (1.00),none,none,rice (1.00),none,none
How do I slice cheese without a slicer?,cheese (1.00),none,none,a (0.99),slicer (1.00),none
What is bain marie in cooking? What benefits does it have for food?,bain marie (0.73),it (0.43),none,cooking (0.60),benefits (0.50),food (1.00)
I've put too much mustard in my potato salad. Do you have a remedy so I can salvage my dish?,mustard in my potato salad (0.90),dish (0.88),none,remedy (0.99),none,none
What will happen to my cake if I don't preheat the oven?,cake (1.00),the (0.40),none,pre (0.47),##hea (0.48),oven (0.44)
How do I cook white rice in an instant pot?,white rice in an instant pot? (0.97),none,none,none,none,none
Are woks practical for cooking for a family?,wo (0.54),family (0.99),none,##ks (0.70),none,none
Does steak from a supermarket cook quicker than steak from butchers?,steak from (1.00),supermarket (0.91),quicker than steak from butchers? (0.95),none,none,none
What are some tips for searing a steak?,steak (1.00),none,none,none,none,none
Are popcorn kernels edible?,popcorn kernels (1.00),none,none,none,none,none
What are some recipes for cooking corn on the cob?,corn on the cob? (1.00),none,none,none,none,none
How do I broil lamb chops in an oven?,lamb chops in an oven (0.99),none,none,bro (0.58),none,none
What are some easy tricks to prolong the life of your grill?,prolong (0.51),life (0.98),grill (0.81),easy tricks (0.93),none,none
Is it worth it to buy more expensive eggs?,more expensive eggs (0.94),none,none,none,none,none
How do I cook poached eggs without it sticking to the pan?,poached eggs (1.00),sticking to the pan (0.82),none,it (1.00),none,none
What's the recipe for a tempura worthy of the name?,tempura worthy of the name (1.00),none,none,none,none,none
How do you make cabbage interesting?,cabbage interesting? (1.00),none,none,none,none,none
Can I brush melted butter on the edges of a pizza before cooking it?,melted (0.71),on the edges (0.96),pizza (0.77),butter (0.68),none,none
How can you ruin an expensive cut of steak?,expensive cut of steak (1.00),none,none,none,none,none
Can hard boiled eggs be made in a steamer?,hard boiled eggs (1.00),made in a steamer (0.99),none,none,none,none
What’s a good potato recipe for a terrible cook like myself?,good potato (1.00),terrible cook (0.77),none,none,none,none
How do I rescue a dish which is too salty or too oily?,dish (1.00),none,none,salty or (0.85),too (0.48),oily? (0.80)
What are the best tomato sauces (with herb or without) you use while cooking?,the best tomato sauces ( with herb or without ) you (1.00),none,none,none,none,none
"What's the quickest way to cook pinto beans, so I can make homemade refried beans?",quick (0.97),pinto beans (1.00),homemade refried beans (0.92),none,none,none
How do I saute spinach with olive oil?,spinach with olive oil? (0.95),none,none,sa (0.83),none,none
How long does it take to cook a sirloin roast?,sirloin roast? (0.99),none,none,none,none,none
How long does it take to cook wings at 400?,wings at 400? (1.00),none,none,none,none,none
"When making your pizza at home, how do you apply the toppings?",pizza (1.00),? (0.37),none,the (0.99),toppings (0.81),none
"Can I combine meat and fruit in a main dish? If so, what do you suggest?",meat and fruit in (1.00),main dish (1.00),none,none,none,none
What is your go-to 'save it from the trash’ recipe?,go - to'save it from the trash ’ (1.00),none,none,none,none,none
Why isn't dry pasta salted?,dry pasta salted? (1.00),none,none,none,none,none
What are some grilling tools that everyone should have?,everyone (0.42),none,none,grilling tools (1.00),none,none
How do I cook a rib eye roast in the oven?,rib eye roast in the oven (1.00),none,none,none,none,none
How do I reuse an undercooked steak?,undercooked steak (1.00),none,none,none,none,none
Why do you have to stir pasta in the bowl to prevent it from sticking?,pasta in the bowl (1.00),it (0.94),none,sticking (0.93),none,none
How long does it take to broil thick pork chops?,broil thick pork chops (0.99),none,none,none,none,none
What is gratin in cooking?,##atin in cooking (0.75),none,none,gr (0.80),none,none
What is the best thing to add to leftover pizza to make it taste fresh?,leftover pizza to (1.00),it taste fresh (0.98),none,none,none,none
How do I make a beef eye round roast?,beef eye round roast? (1.00),none,none,none,none,none
What is the cheapest way to make plain pasta taste better?,cheap (0.58),plain pasta taste better (1.00),none,none,none,none
Do you love pepperoni grease? Would you buy jars of it to cook with?,pepperoni grease (1.00),jars of it to (0.89),with (0.97),none,none,none
Does it ruin pasta to cook without salt?,pasta (0.44),without salt (1.00),none,none,none,none
Which spices do well in both sweet and savory recipes?,both sweet and savory recipes (0.99),none,none,spices (0.93),none,none
How many recipes out of a cookbook do you actually use?,recipes out (0.74),cookbook (1.00),none,none,none,none
"Does adding salt while shallow frying onions make them fry quicker? If so, what’s the reason behind it?",shallow frying (0.88),them fry quicker (0.97),none,adding salt while (0.79),onions (0.64),none
How can you make your beans more watery when cooking?,beans more watery when cooking (1.00),none,none,none,none,none
What can I do in the kitchen with a searing torch?,kitchen (1.00),torch (0.95),none,searing (0.61),none,none
Why do some people store salt in the refrigerator?,people store salt in the refrigerator (1.00),none,none,none,none,none
"Device I can buy or build myself to make (roll) Cheeseballs (basically some grinded vegetables/spices and different types of cheese shredded as well) before adding the breadcrumbs and egg yolk, because I have to roll like alot of balls?",( roll ) cheeseballs ( basically some grinded vegetables / spices and different types of cheese shredded as well ) (1.00),"breadcrumbs and egg yolk, (1.00)",like alot of balls (1.00),roll (0.97),none,none
"Can you make delicious cube steak in the microwave? Something without heavy salt, garlic, or onions.",delicious cube steak in the microwave? something (1.00),none,none,"heavy salt, garlic, or onions (0.97)",none,none
How long does a whole chicken last in a crock pot?,long (0.92),whole chicken last in a crock pot? (1.00),none,none,none,none
What's the easiest way to spice up a boring ole hamburger or hot dog on the grill at a BBQ? How? Why?,boring ole hamburger or hot dog on the grill at a bbq? how (0.99),none,none,none,none,none
How is cookie dough different than cake batter?,cookie dough (1.00),than cake batter (1.00),none,none,none,none
When I fry beef this grey stuff often comes out? What is it and how do I avoid it?,beef this grey stuff often comes out (0.99),none,none,it (0.90),it (0.84),none
What is a good way to cook cauliflower rice if you are a person who doesn't like cauliflower very much?,cauliflower rice (1.00),##uliflower very much (1.00),none,ca (1.00),none,none
What is the best set of pots for those who cook every day?,the best (0.63),pots (0.95),every day (0.85),none,none,none
Are ceramic utensils always microwave oven safe?,ceramic utensils always microwave oven safe (1.00),none,none,none,none,none
What can I cook without meat?,without (0.97),none,none,meat (0.88),none,none
How do I cut vegetables without the knife going off at an angle?,vegetables (1.00),none,none,the (1.00),knife going off (0.98),none
How do you make tomato sauce less tangy?,tomato sauce less tangy? (1.00),none,none,none,none,none
How long does it take for potatoes in a crock pot?,potatoes in a crock pot? (1.00),none,none,none,none,none
How long does it take to cook zucchini on a stove?,zucchini on a stove (1.00),none,none,none,none,none
How do you avoid rice sticking to the cooker?,rice sticking to the cooker (0.99),none,none,none,none,none
What seasonings do you use for your homemade fries?,homemade fries (1.00),none,none,seasonings (0.99),none,none
Do pasta and beans go together?,pasta and beans (1.00),none,none,none,none,none
Do you have to cook pasta before putting it in a slow cooker?,pasta (1.00),it in a slow cooker (1.00),none,none,none,none
How do I cook bass in the oven?,bass in the oven (1.00),none,none,none,none,none
What is the best way to cook canned soup?,canned soup? (1.00),none,none,none,none,none
What happens if you forget to dust the pan with flour before pouring cake batter in it and putting it in the oven?,pan with flour before pouring cake batter in it (1.00),oven (0.81),none,none,none,none
Does oil or butter help rise the dough?,dough (1.00),none,none,oil or butter (1.00),none,none
Can you cook 4 2-pound meat loafs at the same time?,4 2 - pound meat loafs (1.00),none,none,none,none,none
What’s the best way to reheat ground beef in the oven?,reheat ground beef in the oven (0.98),none,none,none,none,none
What are some tips for cooking without making a huge mess?,huge mess (1.00),none,none,none,none,none
How do I make store bought Alfredo sauce taste better?,store bought alfredo sauce taste better (1.00),none,none,none,none,none
What can you use instead of baking powder for pancakes?,baking powder for pancakes (0.99),none,none,none,none,none
Is hard pasta an indication that it was overcooked or undercooked?,pasta (0.75),overcooked or undercooked? (0.89),none,hard (0.55),none,none
What are some substitutions for flour when cooking pasta sauces that need to thicken a bit?,when cooking pasta sauces that (0.96),##en a bit (0.67),none,substitutions for flour (0.97),thick (0.99),none
What can be used as a substitute for Dijon mustard when making deviled eggs?,dijon mustard when making deviled eggs (1.00),none,none,none,none,none
Why are some pizzas under cooked on the bottom and burnt on the top?,pizzas under cooked on the bottom and burnt on the top (0.99),none,none,none,none,none
How do you drain the blood from burgers before cooking?,blood from burgers before (0.94),none,none,cooking (0.79),none,none
How do I cook pasta in a crock pot?,pasta in a crock pot? (0.93),none,none,none,none,none
