utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
What Japanese desserts should a visiting foreigner try?,japanese desserts (0.97),visiting foreigner try (0.95),none,none,none,none
Do you like ice cream soda?,ice cream soda (1.00),none,none,none,none,none
What is the best dessert you've ever had?,best dessert (0.90),none,none,none,none,none
Why is it so hard to find bubblegum ice cream in a tub?,bubblegum ice cream in a tub (1.00),none,none,none,none,none
Can you use cream cheese instead of heavy cream?,cream cheese instead of heavy cream (1.00),none,none,none,none,none
Can vanilla extract be eaten raw like in ice cream?,vanilla extract (1.00),eaten raw like in ice cream (0.98),none,none,none,none
"What is the translation of ""ice cream"" to Japanese?",""" ice cream "" to japanese (0.98)",none,none,none,none,none
Bakers! Should I avoid freezing cakes/cupcakes if possible? Is it better to freeze and thaw or package well at room temp for an order that’s 3-4 days away?,bakers! (0.82),freezing cakes / cupcakes if possible (1.00),freeze and thaw or package well at (0.94),room (0.48),none,none
Why do you always have room for desserts no matter how much you are filled with the main course?,dessert (0.99),much (0.75),with (0.51),##s (0.96),the main course (0.97),none
Why am I having diarrhea over gelato but not ice cream or milk?,diarrhea over gelato but not ice cream or milk (1.00),none,none,none,none,none
"Do strange flavored ice cream exist like hamburger flavor, pizza flavor, and cigarette flavor?",strange flavored ice cream exist like (0.99),"hamburger flavor, pizza flavor, and cigarette flavor (1.00)",none,none,none,none
Is there a sugar-free cake mix?,sugar - free cake mix (1.00),none,none,none,none,none
Mrs. Bustista prepared leche flan for her office mates. She set aside two boxes of this dessert for her family activity this weekend. She placed them in the freezer. Is she right or wrong?,bustista (0.86),leche flan for her office mates (1.00),boxes (0.84),none,none,none
Is it okay to eat unopened cake frosting that has been expired for a year?,unopened cake frosting that has been expired for (0.99),year (0.59),none,none,none,none
How do I make a dessert with 3 ingredients?,dessert with (1.00),ingredients (1.00),none,3 (1.00),none,none
How are waffle cones made?,waffle cones (1.00),none,none,none,none,none
Are ice creams vegan/vegetarian?,ice creams vegan / vegetarian (1.00),none,none,none,none,none
Can melted ice cream be re-frozen?,melted ice cream (1.00),frozen (0.98),none,none,none,none
Why does melted ice cream not taste as good when melted then frozen again?,melted ice cream not taste (0.99),good when melted then frozen again (1.00),none,none,none,none
Which is the best flavor of peppermint ice cream?,best (0.92),peppermint ice cream? (1.00),none,none,none,none
What is the purpose of using both white sugar and brown sugar in some desserts?,both white sugar and brown sugar in some desserts (0.99),none,none,none,none,none
What do you call a person who makes ice cream?,ice cream? (0.88),none,none,none,none,none
How do people record a video inside the oven while the dessert is baking?,video inside (0.98),oven while the dessert (0.89),none,baking (0.44),none,none
"What is your favorite fast, no-bake keto dessert recipe?","favorite fast, no - bake keto dessert recipe (1.00)",none,none,none,none,none
"If my wife is going on a diet, why do I have to give up my ice cream as well?",ice cream (0.77),none,none,none,none,none
How do you store cannoli?,cannoli? (1.00),none,none,none,none,none
Can I mix two different brands of cream cheese for a cheesecake?,cream cheese for a cheesecake (1.00),none,none,none,none,none
Why does my lemon curd taste metallic? No one else seemed to notice but I immediately did. I want to fix it to have perfect lemon desserts.,lemon curd taste metallic (1.00),one else seemed (0.69),notice (0.46),none,none,none
What is the perfect cake frosting for your kitchen?,perfect cake frosting (1.00),kitchen (0.77),none,none,none,none
How many types of custards can go inside a mini tart?,custards (0.85),go inside (0.63),mini tart (1.00),none,none,none
How does ice cream make people fat?,fat (0.92),none,none,ice cream (0.99),none,none
What is your favorite flavor birthday cake?,favorite flavor birthday cake (1.00),none,none,none,none,none
What are the best limoncello plum tart recipes?,the best limoncello plum tart recipes (1.00),none,none,none,none,none
Are ice cream machines worth buying?,ice cream machines (1.00),none,none,buying (0.53),none,none
"When you make ice cream, do you boil your dairy or not? Why?",ice cream (1.00),dairy or not (1.00),none,none,none,none
What's better: butter cream icing or whipped cream?,better (0.57),butter cream icing or whipped cream? (1.00),none,none,none,none
"What happens when you're full, you can't eat another bite, then mom brings out a delectable dessert?",", you can't eat another bite (0.97)",mom (0.81),delectable dessert (1.00),none,none,none
How do you eat an ice cream?,ice cream? (1.00),none,none,none,none,none
How much does 2 liters of ice cream weigh in kgs in the frozen state?,much (0.74),2 liters of ice cream weigh in kgs in the frozen state (1.00),none,none,none,none
How can ice cream help my ice flares?,ice flares (1.00),none,none,ice cream (0.92),none,none
Why doesn’t ice cream freeze solid in a refrigerator ‘s freezer?,ice cream freeze solid in a refrigerator ‘ s freezer (1.00),none,none,none,none,none
"If you use milk that's one day past its sell by date to make ice cream, will it not last as long as it would have if you'd used fresher milk? Does it make a difference if it's a cooked custard ice cream?",milk that's one day past its sell by date to make ice cream (0.99),it (0.37),long (0.40),last (0.55),it (0.61),none
What is the difference in ice cream flavor between French Vanilla and Vanilla Bean?,ice cream flavor between french vanilla and vanilla bean (1.00),none,none,none,none,none
Ben & Jerry’s uses the last thing you ate as the basis for a new ice cream flavor. What was it and would you eat this?,ben & jerry ’ s (1.00),the (0.49),last thing you ate (0.90),none,none,none
Is ice cream a good first date?,ice cream (1.00),good first date (1.00),none,none,none,none
Where did ice cream originate from?,ice cream (1.00),none,none,none,none,none
Why is my custard like scrambled eggs?,custard like scrambled eggs (1.00),none,none,none,none,none
"How do I transport my ice cream from A to B, about a 35 minute drive, and without a cooler, without it melting?","ice cream from a to b, about a 35 minute drive (1.00)",none,none,cooler (1.00),it (1.00),melting (0.96)
How many ounces are in a pint of ice cream?,##s (1.00),pint of ice cream (1.00),none,ounce (1.00),none,none
Is any brand of keto ice cream actually healthy?,keto ice cream actually healthy (1.00),none,none,none,none,none
What are mix-ins in regards to ice cream bars such as ice cream bars from Blue Bunny?,ice cream bars such as ice cream bars from blue bunny (1.00),none,none,mix (0.98),none,none
Is ice cream bad for acne?,ice cream (1.00),for acne (0.99),none,none,none,none
Are there special considerations for making a pie with the express intention of freezing?,pie (1.00),none,none,express intention (0.97),freezing (1.00),none
Is it legal for kids under 21 to have rum raisin ice cream?,kids (1.00),21 (0.80),raisin ice cream (1.00),rum (0.66),none,none
How do I melt caramel for caramel apples?,caramel for caramel apples (1.00),none,none,none,none,none
How much cornstarch is needed to thicken apple pie?,thicken apple pie (1.00),none,none,cornstarch (0.99),none,none
How often does icing the kicker work?,ic (1.00),the kicker (1.00),none,none,none,none
What are some of the best desserts involving mangoes?,the best desserts involving mangoes (1.00),none,none,none,none,none
Why do I need to use an oven to make creme brulee?,oven (1.00),make creme brulee (0.99),none,none,none,none
Do you prefer ice cream or cake?,ice cream or cake (1.00),none,none,none,none,none
What are the tricks for making a perfect béchamel?,perfect bechamel? (1.00),none,none,none,none,none
What is your favorite ice cream and how old are you?,favorite ice cream (0.99),old (0.42),none,none,none,none
What is the best pancake recipe for the fluffiest pancakes in the world?,the best pancake (0.99),the fluffiest pancakes in the world (1.00),none,none,none,none
What are some desserts whose names start with the letter 'K'?,desserts whose (1.00),the letter'k ' (0.94),none,names (0.52),none,none
How do you make blackberry pie filling from scratch?,blackberry pie filling from scratch? (0.95),none,none,none,none,none
What is your favorite dessert?,dessert (0.99),none,none,none,none,none
How do I whip cream with a hand mixer?,cream with a hand mixer (0.90),none,none,none,none,none
What is a Boston roll?,boston roll (1.00),none,none,none,none,none
How do I become an ice cream man?,ice cream man (1.00),none,none,none,none,none
Does McDonalds serve ice cream year around?,mcdonalds (1.00),ice cream year around (1.00),none,none,none,none
Is a Wendy's Frosty actually ice cream?,wendy's frosty actually ice cream (1.00),none,none,none,none,none
Why is the McDonald’s ice cream machine always broken?,mcdonald ’ s ice cream machine always broken (1.00),none,none,none,none,none
What is the best 3 ingredient dessert you ever had?,best 3 ingredient dessert (1.00),ever (0.64),none,none,none,none
What kind of ice cream do you like the most?,ice cream (0.90),the most (0.77),none,none,none,none
What is bread and butter pudding?,bread and butter pudding (0.99),none,none,none,none,none
Is an ice cream a pure veg?,ice cream (1.00),pure veg? (0.88),none,none,none,none
What are some time-consuming desserts you can make at home that are worth it for a special treat?,time - consuming desserts (0.96),it for (0.42),special treat (0.99),none,none,none
The only ice cream flavor you can have for the rest of the year is the same flavor as the last thing you ate. What ice cream are you having?,ice cream flavor (0.99),rest of the year (0.67),the same flavor as the last thing (0.71),ice (0.99),none,none
What kinds of desserts can I make with cream cheese and fruits?,desserts (1.00),with cream cheese and fruits (0.90),none,none,none,none
What's the consensus on the quality of Hershey's chocolate from people who make dessert for a living?,quality of (0.73),hershey's chocolate from people who (0.99),dessert (1.00),none,none,none
Why do my peanut butter cookies not taste like peanut butter?,peanut butter cookies (1.00),taste (0.95),peanut butter (1.00),none,none,none
How do I make egg wash for pies?,egg wash for pies? (0.98),none,none,none,none,none
How does Sonic ice cream compare to Dairy Queen?,sonic ice cream (1.00),dairy queen (1.00),none,none,none,none
How can you tell if custard is thick enough?,custard is thick enough (1.00),none,none,none,none,none
Do ice cream trucks run late at night?,ice cream trucks (1.00),late (0.75),night (0.91),none,none,none
"What desserts start with ""P""?",dessert (0.98),none,none,""" p "" (1.00)",none,none
What is the perfect ice cream sundae?,perfect ice cream sundae (1.00),none,none,none,none,none
Am I the only person who doesn't like chocolate/sweets/desserts?,none,none,none,chocolate / sweets / desserts (1.00),none,none
Can having brain freeze by having too much ice cream be deadly?,much ice cream (0.97),none,none,brain freeze (0.84),deadly (0.40),none
How much cream cheese is in a cup?,cheese (0.91),cup (1.00),none,cream (0.89),in (0.42),none
How do I melt white chocolate for dipping?,white chocolate for dipping (1.00),none,none,none,none,none
What is any dessert that begins with the letter X?,dessert (0.99),none,none,the (0.56),letter x (0.63),none
What would a scoop of ice cream do in space?,scoop (1.00),ice cream do (0.80),none,space (0.56),none,none
Is there something I can do to keep ice cream soft?,ice cream soft (1.00),none,none,none,none,none
What kinds of fruits would taste nicely in pudding?,fruits (1.00),nicely in (0.67),none,pudding (0.37),none,none
What dessert goes with fried chicken?,dessert (0.35),? (0.94),none,fried chicken (0.83),none,none
"Does Scandinavian cuisine have any sweet custard pies? Dessert pies made with eggs and cream/milk? My Swedish Swedish husband says no, only savoury pies are made with eggs and cream/milk.",scandinavian cuisine (0.62),sweet custard pies? dessert pies made with eggs and cream / milk (1.00),swedish swedish husband (0.99),none,none,none
What is your favorite dessert to make for 4th of July get-togethers?,dessert (0.80),make for (0.83),4th of july get - togethers (0.95),none,none,none
What happens if you put a hot cheesecake in the fridge?,hot cheesecake in the fridge (1.00),none,none,none,none,none
Was croissant invented in Romania?,croissant (1.00),romania (0.74),none,none,none,none
Is it okay to have a cheat meal and dessert once a week?,cheat meal and dessert once a week (1.00),none,none,none,none,none
Would ice cream help heartburn?,heart (0.52),none,none,ice cream (1.00),##burn (0.86),none
What are some candy names that start with the letter R?,candy names (0.98),the letter r? (0.95),none,none,none,none
Guy is making Bananas Foster for dessert. The recipe calls for one quart of ice cream. How many cups of ice cream is Guy going to get from one quart of ice cream?,guy (0.40),bananas foster for dessert (1.00),recipe (0.99),none,none,none
How do you make creme brulee without a torch?,creme brulee (1.00),none,none,a (1.00),torch (1.00),none
Why does my homemade ice cream freeze so hard?,homemade ice cream freeze so hard (0.99),none,none,none,none,none
Do you make your own double cream that you add to your ice cream base?,double cream that (0.98),add to (0.75),ice cream base (0.97),none,none,none
What's the most popular ice cream flavor?,most popular (0.70),ice cream flavor (0.90),none,none,none,none
Can I eat ice cream before eating hot food?,ice cream (1.00),hot food (1.00),none,none,none,none
What's your favorite traditional dessert?,favorite traditional dessert (0.90),none,none,none,none,none
Can you freeze ice cream in glass containers?,ice cream in glass containers (1.00),none,none,none,none,none
What happens if you eat a bucket of ice cream every day?,bucket of ice cream (1.00),day (0.97),none,none,none,none
How do I make crème brûlée?,creme brulee? (1.00),none,none,none,none,none
"What happens if I add cream cheese or yogurt to molten chocolate, and will the mixing be solidifiable?",cream cheese or yogurt to molten chocolate (1.00),##ifiable (1.00),none,mixing (0.51),solid (0.54),none
"Hi Chef! I want to make Pavlova but I live in a very humid country, Philippines. Do I need to add anything or change anything in the recipe? My first time to make this if ever.",hi chef (0.88),pavlova (1.00),"very humid country, philippines (0.97)",anything (0.94),anything (0.31),recipe (0.36)
Where will I find the most traditional Italian handmade ice creams in Italy?,most traditional italian handmade ice creams in italy (1.00),none,none,none,none,none
Can you use large eggs instead of medium in a cake recipe?,large eggs instead of medium in a cake (1.00),none,none,none,none,none
What is considered a typical dessert in your country?,typical dessert (1.00),country (0.67),none,none,none,none
Which ice cream uses pig fat?,ice cream (0.99),? (0.98),none,pig fat (0.94),none,none
What is the best Swiss chocolate?,the best swiss chocolate (1.00),none,none,none,none,none
Is it okay to have a dessert every day as long as you're counting calories?,dessert every day as long as you're counting calories (0.94),none,none,none,none,none
How long does it take an ice maker to make ice?,ice maker (1.00),make ice (0.89),none,none,none,none
What do you think of people who allow their children (say 11 years old) to eat adult-sized meals and desserts in restaurants?,( say 11 years old ) (1.00),adult - sized meals and desserts (1.00),none,children (0.75),restaurants (0.93),none
The progressive American company Ben and Jerry's are purveyors of ice cream and other frozen treats. The company is named after the two original founders. What are their surnames?,progressive american company ben and jerry's are purveyors of ice cream and other frozen treats (1.00),company (0.68),two original founders (0.71),surname (0.76),none,none
"What is the difference between pudding, custard, mousse, panna cotta and pots de creme?","pudding, custard, mousse, panna cotta and pots de creme (1.00)",none,none,none,none,none
Why do I regularly eat entire pints of ice cream in one sitting?,entire pints of ice cream (1.00),sitting (0.96),none,none,none,none
"Whirlpool developed freeze-dried ice cream for NASA, but why was it unpopular and never used on space missions?",whirlpool developed freeze - dried ice cream (1.00),nasa (0.99),space missions (0.89),unpopular (0.39),never (0.34),none
What is your favorite ice cream? I need 300 responses for a math project.,favorite ice cream (0.89),responses (0.79),math project (0.91),300 (0.93),none,none
How do I control crystallisation in ice cream?,crystallisation in ice cream (1.00),none,none,none,none,none
Is the inside of a 'Ferrero Rocher' actually Nutella?,' ferrero rocher'actually nutella (1.00),none,none,none,none,none
What are the ingredients in Quiche Lorraine?,quiche lorraine? (0.98),none,none,none,none,none
How long can savory cream cheese dishes last?,savory cream cheese dishes (0.98),none,none,last (0.53),none,none
Are there any people who don't like ice cream?,none,none,none,ice cream (1.00),none,none
What kinds of desserts can I make with ladyfingers?,desserts (1.00),with ladyfingers (0.89),none,none,none,none
"Which is healthier to consume long-term, soda or ice cream?","long - term, soda or ice cream? (1.00)",none,none,none,none,none
What’s that one dessert or snack that many people usually think is bad for you but is surprisingly good for you?,one (0.66),dessert or snack (0.96),people usually (0.73),surprisingly (0.28),none,none
What are some delicious desserts of your country (pictures encouraged)?,delicious desserts of your country ( pictures encouraged ) (1.00),none,none,none,none,none
"If aliens made contact and asked you to impress them with one meal from anywhere on Earth, what would you serve them?",aliens (0.82),them with one meal from anywhere (0.98),earth (0.44),contact (0.41),none,none
What are the mini versions of desserts in a jar called?,mini versions (1.00),desserts in a jar called? (0.96),none,none,none,none
"Which is more delicious, ice cream or cake?",ice cream or cake (0.99),none,none,delicious (0.82),none,none
Is there anywhere to get Superman ice cream in New York or just the Blue Moon ice cream?,superman ice cream in new york or just the blue moon ice cream (1.00),none,none,none,none,none
Are black pudding and haggis the same thing?,black pudding and haggis the same thing (0.96),none,none,none,none,none
Why does ice cream sometimes turn grainy in taste?,ice cream (1.00),grainy in taste (0.90),none,none,none,none
How can I make ice cream at home without eggs?,ice cream (1.00),none,none,eggs (1.00),none,none
What is half baked flavor ice cream? I’ve had it many times but I don’t understand the meaning of the flavor half baked.,half baked flavor ice cream (1.00),many times (0.73),flavor half baked (1.00),it (0.88),none,none
Why is chocolate dipped vanilla ice cream instead of vanilla dipped chocolate?,chocolate dipped vanilla ice cream instead of vanilla dipped chocolate (1.00),none,none,none,none,none
How do I make 50 tasty cakes and desserts?,50 tasty cakes and desserts (1.00),none,none,none,none,none
Does the Amul Ice Cream contain pig fat in India?,amul ice cream contain (0.92),fat in india (1.00),none,pig (0.99),none,none
What makes a cake light and fluffy?,cake light and fluffy? (1.00),none,none,none,none,none
Why is it I can have all dairy products (I pretty much live off of milk and cheese) but ice cream upsets my stomach?,all dairy products ( i pretty much live off of milk and cheese ) but ice cream (1.00),none,none,stomach (0.49),none,none
What is the reason of using a wooden stick for ice cream?,wooden stick for ice cream (1.00),none,none,none,none,none
What is your favorite ice cream flavor which not many people have tried?,favorite ice cream flavor which (0.99),people (0.75),none,tried (0.76),none,none
What is your favorite dessert to make (and how do you make it?,dessert (0.96),( (0.70),how (0.80),none,none,none
Can children eat a dessert which contains small amounts of alcohol?,dessert (1.00),none,none,small amounts of alcohol (0.98),none,none
"What is a cherry-chocolate cake recipe that utilizes brandy? My grandmother had an amazing cake recipe that I just cannot remember, and I would like to make it in her memory.",cherry - chocolate cake recipe that utilizes brandy (1.00),cake (1.00),none,amazing (0.87),none,none
"Which is healthier, vanilla ice cream or whipped cream?","healthier, vanilla ice cream or whipped cream? (1.00)",none,none,none,none,none
Do you like mint ice cream?,mint ice cream (1.00),none,none,none,none,none
In K-pop why is mint ice cream mentioned so much?,k - pop (1.00),mint ice cream mentioned so much (0.99),none,none,none,none
What was the first ice cream ever made?,first (0.88),ice cream ever made (0.87),none,none,none,none
How do I make an ice cream with soda?,ice cream with soda? (0.95),none,none,none,none,none
Why does soft-serve ice cream give me diarrhea?,soft - serve ice cream (1.00),diarrhea? (1.00),none,none,none,none
Is it bad to eat mint chocolate chip ice cream?,mint chocolate chip ice cream (1.00),none,none,none,none,none
Can vegans eat ice cream? Why or why not?,vega (0.99),ice cream? why or why not (0.98),none,none,none,none
How do fruit cakes taste like?,fruit cakes (1.00),none,none,none,none,none
How much sugar is in an average bowl of ice cream?,average bowl of ice cream (1.00),none,none,sugar (1.00),none,none
"Which famous opera singer inspired the creation of a popular dessert, which is based on peaches and ice cream?",singer (0.99),popular dessert (1.00),##es and ice cream? (1.00),opera (0.94),peach (1.00),none
What is the best bagged ice cream recipe?,the best bagged ice cream recipe (1.00),none,none,none,none,none
What is your favorite recipe for simple buttery cookies?,simple buttery cookies (1.00),none,none,none,none,none
"What is the best Ice-Cream flavor, hands down?","the best ice - cream flavor, hands down (1.00)",none,none,none,none,none
"What's crunchy on the outside, and soft and delicious on the inside?",crunchy (0.89),outside (0.38),soft and delicious (0.78),none,none,none
What is the most loved dessert in America?,most (0.96),loved (0.53),dessert (0.97),none,none,none
Do Asians just eat fruit for dessert?,asian (0.98),fruit for dessert (1.00),none,none,none,none
What kinds of desserts taste nice with brown sugar?,desserts (0.92),nice with brown sugar (0.81),none,none,none,none
Is fruit puree thin enough to pour?,fruit puree thin (1.00),pour (0.69),none,none,none,none
How do you make blueberry pie filling from scratch?,blueberry pie filling from scratch? (0.97),none,none,none,none,none
What is Romanian food like?,romanian food (1.00),none,none,none,none,none
How do I make sugar glasses for cakes?,sugar glasses for cakes (1.00),none,none,none,none,none
What is the best Keto dessert or bread?,the best keto dessert or bread? (0.95),none,none,none,none,none
"Which is better, McDonald's ice cream or Wendy’s ice cream?",mcdonald's ice cream or wendy ’ s ice cream? (1.00),none,none,none,none,none
How do you saute shrimp in butter?,##ute shrimp in butter? (0.95),none,none,sa (0.70),none,none
What is your favorite ice cream flavor? Do you like your brownies warm or normal?,favorite ice cream flavor (0.93),brownies warm or normal (1.00),none,none,none,none
Do Chinese people eat ice cream with chopsticks?,ice cream with chopsticks (1.00),none,none,none,none,none
What is the “bread” on ice cream sandwiches made out of/called?,“ bread ” on ice cream sandwiches made out of / called? (1.00),none,none,none,none,none
How do you soften cream cheese quickly?,soften cream cheese quickly (0.98),none,none,none,none,none
"What is your favorite “light” ice cream with texture/flavor that tastes like normal ice cream (Nick’s, Halo Top, etc.)?","“ light ” ice cream with texture / flavor that tastes like normal ice cream ( nick ’ s, halo top, etc. ) (1.00)",none,none,none,none,none
"If I gave you an Oreo with an ice cream filling inside it, would you eat it? 👀👀",oreo with an ice cream filling inside it (1.00),👀👀 (0.75),none,none,none,none
How important is dessert?,none,none,none,dessert (0.53),none,none
"How would I make a cake that is mostly air, like 80%?",cake (1.00),none,none,mostly (0.98),"air, like 80 % (1.00)",none
There are 6 flavors of ice cream and 3 different cones in a grocery store. How many orders of ice creams can you make?,ice cream and 3 different cones (1.00),grocery store (0.98),orders (0.73),none,none,none
When do you crave ice cream the most?,ice cream the most (0.93),none,none,none,none,none
Why do people tend to eat ice cream when they're sad or is it just in tv shows?,ice cream when they're sad (1.00),it (0.93),tv shows (1.00),none,none,none
How is milk turned into ice cream?,milk turned into (0.98),ice cream (0.85),none,none,none,none
Why is ice cream with syrup called a sundae?,ice cream with syrup called a sundae (1.00),none,none,none,none,none
Why is it so uncommon to bite ice cream?,ice cream (0.98),none,none,none,none,none
What is the most eaten dessert in America?,most (0.79),eaten (0.59),dessert (0.99),none,none,none
What are some desserts that don’t have to taste sweet and won't affect my bulking up?,desserts (0.77),’ (0.37),t (0.41),to (0.94),taste sweet and (0.90),' (0.50)
What ice cream does start with the letter d?,ice cream does (0.84),the (0.44),letter d (0.72),none,none,none
"During the Wimbledon tennis event, strawberries and cream are often in the news, but of the two I find raspberries and cream far nicer, and if a few blackcurrants are added even better. Why is this superior delicacy so neglected?",wimbledon tennis event (1.00),strawberries and cream (1.00),raspberries and cream far nice (0.88),news (0.34),two (0.46),##r (0.46)
Do you like strawberry ice cream?,strawberry ice cream (1.00),none,none,none,none,none
What is the best ice cream for a root beer float? Why?,the best ice cream for a root beer float (1.00),none,none,none,none,none
"Which is better, cookies or ice cream?",cookies or ice cream (1.00),none,none,none,none,none
"Before baking a baked Alaska, what is the ice cream covered with?","baked alaska, (0.87)",ice cream covered with? (1.00),none,none,none,none
Why is ice cream so much more perishable compared to other food products?,ice cream so much more perishable compared to other food products (0.99),none,none,none,none,none
How do I make a delicious dessert without using the oven?,delicious dessert (1.00),none,none,using (1.00),the (0.78),oven (1.00)
What are some classes in San Jose for dessert lessons for 12+?,san jose for dessert lessons for 12 +? (1.00),none,none,none,none,none
What's worse ice cream or chips?,what (1.00),worse ice cream or chips? (1.00),none,none,none,none
Can you use 1/3 less fat cream cheese for cheesecake?,1 / 3 less fat cream cheese for cheesecake (1.00),none,none,none,none,none
"Whenever I eat something too sweet, I feel like throwing up. My friends can enjoy a doughnut/any other treat, but I just don’t feel like eating anything sweet ever. Does it have something to do with me being a little too slim for my height?",sweet (0.93),throwing up (0.78),friends (0.66),height (0.72),none,none
Why are desserts important in a meal?,dessert (0.94),meal (1.00),none,##s (0.98),none,none
Can you deep fry a cake?,cake (1.00),none,none,none,none,none
Do popsicles always have a stick?,popsicles (1.00),none,none,stick (1.00),none,none
"Does vanilla ice cream typically have vanilla, or is it just commonplace to refer to mundane things as vanilla?",vanilla ice cream (1.00),mundane things (0.75),none,vanilla (1.00),vanilla (0.90),none
Is lasagna a cake?,lasagna (0.90),cake (1.00),none,none,none,none
Can I make milk chocolate by adding milk to dark chocolate?,milk chocolate (1.00),adding milk to dark chocolate (0.98),none,none,none,none
"Which is correct, ""which do you want for dessert"" or ""what do you want for dessert""?","dessert "" (0.75)","dessert "" (0.80)",none,none,none,none
My Breyers ice cream didn’t come with a plastic seal. Is this normal? Should I be worried?,breyers ice cream (1.00),seal (0.99),normal (0.60),plastic (1.00),worried (0.46),none
What is the most delicious Turkish baklava?,most delicious turkish baklava? (0.99),none,none,none,none,none
Does Baskin-Robbins feature both dairy-based and plant-based frozen treats that ice cream lovers crave?,baskin - robbins (1.00),- based and plant - based frozen treats that ice cream lovers crave (0.98),none,dairy (0.93),none,none
What are the options for the main ingredient to make dairy-free ice creams?,main ingredient (1.00),dairy - free ice creams (1.00),none,none,none,none
Why do people say they don’t like white chocolate?,none,none,none,white chocolate (0.88),none,none
Why do you neee salt in the ice when you use ice cream maker to make ice cream?,neee salt in the ice when you use ice cream maker (1.00),ice cream (1.00),none,none,none,none
What is the most popular ice cream flavor in U.S. adults?,most popular (0.64),ice cream flavor in u. s. adults (1.00),none,none,none,none
Can we eat ice cream after 2 hours of eating fish?,ice cream after 2 hours of eating fish (1.00),none,none,none,none,none
How many scoops of ice cream are in one liter?,scoop (1.00),ice cream are in (0.73),one liter (0.73),none,none,none
"Are cinnamon and nutmeg interchangeable in desserts like apple pie, apple crumble, and rice pudding?",and (0.40),"##meg interchangeable in desserts like apple pie, apple crumble, and rice pudding (0.92)",none,cinnamon (0.74),nut (0.97),none
What is worse for you butter or whipped cream?,butter or whipped cream? (0.91),none,none,none,none,none
Should I eat ice cream or have a glass of Coke?,ice cream (1.00),glass of coke (0.97),none,none,none,none
How is it possible for someone to die from a whipped cream dispenser?,whipped cream dispenser (1.00),none,none,none,none,none
How could you replace the dessert after dinner with something less caloric but still greedy?,dessert after dinner (1.00),something less (0.99),##oric but still (0.91),cal (1.00),greedy (0.86),none
What are the best things to eat with cream cheese?,best (0.82),with cream cheese (0.81),none,none,none,none
What is the National Syrup or Sharbat of Pakistan?,national syrup or sharbat of pakistan (1.00),none,none,none,none,none
Should Yorkshire pudding batter be thick or runny?,yorkshire pudding batter (1.00),thick or runny? (0.93),none,none,none,none
How do I make a horseradish cream sauce?,horseradish cream sauce (1.00),none,none,none,none,none
"In banofee pie recipe, they place condensed milk in a sealed tin, inside a pressure cooker with water to turn it into toffee. Is this safe?",banofee pie (1.00),"condensed milk in a sealed tin, inside a (1.00)",pressure cooker with water (0.98),safe (0.43),none,none
