utterance,dishname_first (score),dishname_second (score),dishname_third (score),ingredient_first (score),ingredient_second (score),ingredient_third (score)
How do you make homemade lollipops?,homemade lollipops? (1.00),none,none,none,none,none
How long can you store homemade waffles?,homemade waffles? (1.00),none,none,none,none,none
Should I make my own butter?,butter (1.00),none,none,none,none,none
What are some homemade Rice Krispies recipes?,homemade rice krispies recipes (1.00),none,none,none,none,none
What is the best homemade Ukrainian borscht recipe?,the (0.84),best homemade ukrainian borscht recipe (1.00),none,none,none,none
How can we check the purity of butter at home?,purity of butter (1.00),none,none,none,none,none
What is your recipe for a homemade dip with your scrambled eggs?,homemade dip with your scrambled eggs (1.00),none,none,none,none,none
What are some good recipes with burger patties?,good (0.72),none,none,burger patties? (1.00),none,none
How long can you keep homemade hot sauce?,homemade hot sauce (1.00),none,none,none,none,none
How do I sell my homemade guacamole to grocery stores?,homemade guacamole to grocery stores (1.00),none,none,none,none,none
What is the best way to make homemade sauerkraut?,homemade sauerkraut? (1.00),none,none,none,none,none
What are your favorite homemade dishes using rice? How do you make them?,favorite homemade dishes (1.00),them (0.54),none,rice (1.00),none,none
"Can I use my flavored Milktea powder like salted caramel, and strawberry and turn it into ice cream?","flavored milktea powder like salted caramel, and strawberry (1.00)",it into ice cream (0.97),none,none,none,none
What homemade desserts are easy to make but sell for a lot?,homemade (0.59),desserts (0.95),but sell for (0.44),none,none,none
Can you freeze homemade baby food?,homemade baby food (0.99),none,none,none,none,none
"Do you make your own ghee? I want to try making it. Where can I go wrong when trying to make it, and what is your best tip for having it turn out well?",ghee (0.79),it (0.78),wrong (0.58),none,none,none
How can I make dog food at home for puppies?,dog food (1.00),for puppies (1.00),none,none,none,none
Is Vermont the home for maple syrup?,maple syrup (1.00),none,none,none,none,none
"If it is so time-consuming to make your own homemade pasta, why do you do it?",consuming (0.44),homemade pasta (0.99),none,time (0.70),none,none
How long does homemade cookie dough last in the refrigerator?,homemade cookie dough last in the refrigerator (0.96),none,none,none,none,none
Why is it so hard to make a tasty soup from scratch?,tasty soup from scratch (0.98),none,none,none,none,none
How can I make beef shaami kabab?,beef shaami kabab? (1.00),none,none,none,none,none
"How can you make crunchy baked vegetable snack puffs at home such as ""Peas Please""?",crunchy baked vegetable snack puffs (1.00),"such as "" peas please "" (1.00)",none,none,none,none
What are some pictures of family recipies you have made?,family recipies (1.00),none,none,pictures (0.51),none,none
Can you make home-made cheezies?,home - made cheezies? (1.00),none,none,none,none,none
What is a good recipe for a homemade cool whip?,homemade cool whip? (1.00),none,none,none,none,none
What is your recipe for homemade pasta that puts a new twist on the traditional method?,homemade pasta that puts a new twist on the traditional method (1.00),none,none,none,none,none
What is your favorite recipe for homemade marinara sauce?,homemade marinara sauce? (1.00),none,none,none,none,none
How do I make homemade horseradish?,homemade horseradish? (1.00),none,none,none,none,none
Have you made pizza in a cast iron skillet? Is it preheated and cooked in the oven?,pizza in (0.96),cast iron skillet (1.00),it (0.69),pre (0.67),none,none
What is a great homemade chicken strips sauce?,great homemade chicken strips sauce? (0.99),none,none,none,none,none
"What is a homemade medicinal recipe that you swear by, why, and how do you make it? Where did you learn this?",homemade medicinal (1.00),"by, why, and how (0.91)",it (1.00),none,none,none
How do I make homemade butter?,homemade butter (1.00),none,none,none,none,none
What are some of the best homemade recipes to make a cake without oven?,the best homemade (1.00),cake (1.00),none,oven (1.00),none,none
What are the best flavors for homemade kombucha?,the best (0.96),homemade kombucha? (1.00),none,none,none,none
What are the best homemade burgur recipes?,the best homemade burgur recipes (1.00),none,none,none,none,none
How do you make a plain carrot cake recipe in a pressure cooker?,plain carrot cake recipe in a pressure cooker (1.00),none,none,none,none,none
Do you think that homemade pasta tastes better than store-bought?,homemade pasta tastes better than store - bought? (1.00),none,none,none,none,none
How can I make coconut jam at home?,coconut jam (1.00),none,none,none,none,none
What are some homemade popcorn seasoning recipes?,homemade popcorn seasoning recipes (1.00),none,none,none,none,none
How do you make a homemade deicer?,homemade deicer? (0.98),none,none,none,none,none
Can you make homemade pasta the day before?,homemade pasta (1.00),day before (0.89),none,none,none,none
Do you have a really good recipe for homemade tamales?,really good (1.00),homemade tamales? (1.00),none,none,none,none
How do I make homemade mirin?,homemade mirin? (1.00),none,none,none,none,none
How do you make easy homemade food at home?,easy homemade food (1.00),none,none,none,none,none
Does homemade pasta taste better?,homemade pasta (1.00),none,none,none,none,none
